time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-24 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.21,76.26,76.40,76.15,,77.05,77.10,77.20,,,0,0
"2015-07-24 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19,76.23,76.40,76.07,,77.01,77.03,77.16,76.92,,0,0
"2015-07-24 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.16,76.33,76.00,,76.98,76.97,77.08,76.90,,0,0
"2015-07-24 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.07,76.10,76.24,75.95,,76.92,76.93,77.04,76.83,,0,0
"2015-07-24 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,76.05,76.21,75.85,,76.87,76.88,76.97,76.81,,0,0
"2015-07-24 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,76.01,76.19,75.87,,76.87,76.88,76.97,76.80,,0,0
"2015-07-24 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,76.00,76.21,75.85,,76.87,76.86,76.96,76.79,,0,0
"2015-07-24 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.95,75.99,76.19,75.85,,76.87,76.87,76.96,76.79,,0,0
"2015-07-24 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,76.00,76.19,75.87,,76.85,76.86,76.97,76.79,,0,0
"2015-07-24 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,76.02,76.17,75.87,,76.83,76.87,76.96,76.79,,0,0
"2015-07-24 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,76.04,76.21,75.88,,76.91,76.88,76.97,76.80,,0,0
"2015-07-24 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.06,76.24,75.90,,76.91,76.90,76.98,76.82,,0,0
"2015-07-24 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,76.07,76.22,75.90,,76.92,76.91,76.99,76.83,,0,0
"2015-07-24 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.10,76.26,75.97,,76.91,76.89,76.97,76.81,,0,0
"2015-07-24 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,76.10,76.26,75.97,,76.88,76.88,76.96,76.81,,0,0
"2015-07-24 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.09,76.26,75.95,,76.86,76.86,76.95,76.79,,0,0
"2015-07-24 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.06,76.24,75.90,,76.87,76.85,76.94,76.79,,0,0
"2015-07-24 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,76.06,76.21,75.92,,76.86,76.87,76.96,76.77,,0,0
"2015-07-24 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.06,76.22,75.92,,76.84,76.86,76.93,76.79,,0,0
"2015-07-24 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.43,71.66,76.22,66.42,,73.75,75.71,76.92,73.75,,0,0
"2015-07-24 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.99,62.97,66.47,61.81,,70.97,72.01,73.82,70.84,,0,0
"2015-07-24 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.81,61.94,62.23,61.68,,70.30,70.57,71.02,70.20,,0,0
"2015-07-24 13:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.32,61.92,64.32,60.81,,70.40,70.06,70.46,69.72,,0,0
"2015-07-24 13:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.83,64.11,66.12,61.80,,70.36,70.76,71.17,70.26,,0,0
"2015-07-24 13:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.48,61.73,64.54,60.68,,70.65,70.04,70.67,69.75,,0,0
"2015-07-24 13:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.08,62.77,65.59,60.53,,70.65,70.80,71.22,70.35,,0,0
"2015-07-24 14:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.79,63.39,65.38,60.75,,70.94,71.19,71.57,70.62,,0,0
"2015-07-24 14:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.29,63.35,65.42,60.51,,71.52,71.37,71.91,70.72,,0,0
"2015-07-24 14:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.62,63.11,65.74,60.81,,72.18,71.64,72.35,71.20,,0,0
"2015-07-24 14:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.78,62.22,64.64,61.52,,71.50,71.79,72.31,71.48,,0,0
"2015-07-24 15:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.43,62.08,62.51,61.76,,71.62,71.58,71.69,71.50,,0,0
"2015-07-24 15:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,62.71,63.00,62.39,,71.72,71.63,71.73,71.50,,0,0
"2015-07-24 15:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.31,63.19,63.43,62.91,,72.01,71.84,72.08,71.62,,0,0
"2015-07-24 15:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.00,63.71,64.11,63.25,,72.51,72.19,72.53,71.97,,0,0
"2015-07-24 16:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.29,64.70,65.30,63.97,,72.59,72.53,72.68,72.38,,0,0
"2015-07-24 16:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.74,63.09,65.31,60.56,,72.31,72.07,72.69,71.62,,0,0
"2015-07-24 16:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.18,63.07,65.37,60.67,,72.40,71.95,72.41,71.51,,0,0
"2015-07-24 16:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.29,63.16,65.44,60.87,,72.26,72.01,72.43,71.61,,0,0
"2015-07-24 17:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.96,63.22,65.52,60.87,,72.39,72.01,72.46,71.58,,0,0
"2015-07-24 17:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.93,63.07,65.33,60.97,,72.49,72.14,72.54,71.72,,0,0
"2015-07-24 17:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.88,63.13,65.45,60.85,,72.60,72.18,72.66,71.70,,0,0
"2015-07-24 17:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.35,63.03,65.39,60.91,,72.49,72.19,72.71,71.78,,0,0
"2015-07-24 18:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55,63.15,65.56,61.05,,72.37,72.13,72.54,71.75,,0,0
"2015-07-24 18:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.95,62.86,65.57,61.68,,72.04,72.10,72.47,71.84,,0,0
"2015-07-24 18:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.32,63.79,65.97,62.25,,72.11,72.26,72.55,72.01,,0,0
"2015-07-24 18:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.78,62.01,62.40,61.74,,71.20,71.53,72.17,71.14,,0,0
"2015-07-24 19:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.57,63.06,65.52,61.22,,71.62,71.41,71.90,71.00,,0,0
"2015-07-24 19:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.65,63.02,65.35,60.96,,71.74,71.55,71.93,71.19,,0,0
"2015-07-24 19:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.12,63.10,65.41,60.85,,71.68,71.55,71.92,71.16,,0,0
"2015-07-24 19:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.29,63.09,65.23,60.87,,72.05,71.60,72.12,71.17,,0,0
"2015-07-24 20:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.95,63.07,65.26,60.83,,72.08,71.87,72.27,71.55,,0,0
"2015-07-24 20:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.94,63.10,65.37,60.92,,72.08,71.74,72.15,71.35,,0,0
"2015-07-24 20:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.35,63.05,65.06,60.90,,72.16,71.82,72.29,71.48,,0,0
"2015-07-24 20:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,63.01,65.14,60.84,,72.13,71.90,72.19,71.63,,0,0
"2015-07-24 21:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.19,63.03,65.38,61.00,,71.98,71.73,72.16,71.39,,0,0
"2015-07-24 21:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.89,62.88,65.29,61.08,,71.66,71.60,72.04,71.24,,0,0
"2015-07-24 21:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.27,62.91,65.31,61.00,,71.61,71.54,71.87,71.14,,0,0
"2015-07-24 21:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.15,62.94,65.09,60.83,,71.44,71.62,71.98,71.21,,0,0
"2015-07-24 22:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.39,63.17,65.02,60.76,,71.09,71.48,71.84,71.02,,0,0
"2015-07-24 22:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.50,63.43,64.97,61.41,,71.51,71.56,71.88,71.04,,0,0
"2015-07-24 22:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.49,63.34,65.03,61.03,,71.67,71.63,71.96,71.24,,0,0
"2015-07-24 22:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.16,63.11,64.86,61.03,,71.90,71.59,72.01,71.19,,0,0
"2015-07-24 23:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.15,62.61,64.24,60.84,,71.61,71.48,71.95,71.19,,0,0
"2015-07-24 23:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,64.63,64.84,64.17,,72.05,71.96,72.17,71.59,,0,0
"2015-07-24 23:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.48,64.60,64.87,64.40,,72.08,72.10,72.24,71.98,,0,0
"2015-07-24 23:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.28,64.37,64.54,64.21,,71.91,72.03,72.14,71.86,,0,0
"2015-07-25 00:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.71,64.59,64.81,64.23,,71.57,71.70,71.97,71.56,,0,0
"2015-07-25 00:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.58,64.63,64.79,64.45,,71.50,71.57,71.66,71.48,,0,0
"2015-07-25 00:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.26,64.47,64.72,64.12,,71.40,71.47,71.57,71.34,,0,0
"2015-07-25 00:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.24,63.70,64.26,63.23,,71.24,71.29,71.46,71.18,,0,0
"2015-07-25 01:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,61.76,63.39,59.97,,72.37,71.22,72.37,70.55,,0,0
"2015-07-25 01:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.15,65.03,67.27,62.00,,74.12,73.42,74.18,72.33,,0,0
"2015-07-25 01:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.57,68.90,70.67,67.19,,74.74,74.45,74.77,74.08,,0,0
"2015-07-25 01:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.61,71.67,72.68,70.50,,75.12,74.95,75.18,74.71,,0,0
"2015-07-25 02:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.72,73.24,73.75,72.53,,75.37,75.25,75.44,75.05,,0,0
"2015-07-25 02:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.33,74.00,74.42,73.67,,75.58,75.50,75.64,75.29,,0,0
"2015-07-25 02:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.74,74.54,74.84,74.23,,75.76,75.67,75.84,75.55,,0,0
"2015-07-25 02:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.10,74.94,75.20,74.67,,75.87,75.83,75.96,75.67,,0,0
"2015-07-25 03:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.34,75.18,75.39,74.99,,76.00,75.96,76.06,75.82,,0,0
"2015-07-25 03:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.44,75.38,75.58,75.13,,76.10,76.04,76.14,75.94,,0,0
"2015-07-25 03:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.59,75.51,75.66,75.34,,76.15,76.13,76.25,76.04,,0,0
"2015-07-25 03:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.59,75.60,75.76,75.44,,76.27,76.20,76.32,76.10,,0,0
"2015-07-25 04:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.76,75.70,75.87,75.52,,76.27,76.28,76.37,76.19,,0,0
"2015-07-25 04:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.85,75.78,75.93,75.63,,76.36,76.34,76.42,76.23,,0,0
"2015-07-25 04:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.83,75.82,75.97,75.68,,76.43,76.42,76.49,76.32,,0,0
"2015-07-25 04:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.90,75.84,75.98,75.69,,76.46,76.45,76.54,76.37,,0,0
"2015-07-25 05:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,75.88,76.02,75.75,,76.47,76.47,76.57,76.41,,0,0
"2015-07-25 05:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.85,75.93,76.12,75.76,,76.55,76.52,76.63,76.44,,0,0
"2015-07-25 05:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,75.98,76.17,75.82,,76.60,76.58,76.65,76.48,,0,0
"2015-07-25 05:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.04,76.24,75.87,,76.58,76.60,76.69,76.50,,0,0
"2015-07-25 06:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.09,76.24,75.92,,76.68,76.64,76.74,76.56,,0,0
"2015-07-25 06:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,76.13,76.31,76.00,,76.73,76.69,76.78,76.62,,0,0
"2015-07-25 06:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19,76.18,76.36,76.04,,76.79,76.72,76.83,76.65,,0,0
