time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-26 06:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.76,75.83,76.00,75.69,,76.62,76.58,76.65,76.49,,0,0
"2015-07-26 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.87,75.84,76.00,75.71,,76.60,76.60,76.67,76.51,,0,0
"2015-07-26 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.83,75.85,76.00,75.71,,76.60,76.60,76.68,76.53,,0,0
"2015-07-26 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.85,75.86,76.05,75.73,,76.61,76.61,76.70,76.54,,0,0
"2015-07-26 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.85,75.86,76.00,75.73,,76.61,76.62,76.71,76.54,,0,0
"2015-07-26 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.95,75.87,76.05,75.75,,76.63,76.62,76.73,76.55,,0,0
"2015-07-26 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.97,75.88,76.05,75.76,,76.65,76.63,76.71,76.54,,0,0
"2015-07-26 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.87,75.90,76.09,75.76,,76.64,76.64,76.74,76.58,,0,0
"2015-07-26 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,75.91,76.10,75.78,,76.64,76.65,76.73,76.58,,0,0
"2015-07-26 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,75.94,76.09,75.78,,76.69,76.66,76.76,76.59,,0,0
