time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-27 06:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,76.01,76.19,75.85,,76.79,76.79,76.88,76.71,,0,0
"2015-07-27 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.04,76.19,75.88,,76.80,76.80,76.88,76.70,,0,0
"2015-07-27 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,76.06,76.22,75.90,,76.81,76.82,76.90,76.72,,0,0
"2015-07-27 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.07,76.09,76.26,75.93,,76.84,76.83,76.90,76.76,,0,0
"2015-07-27 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,76.11,76.26,75.95,,76.86,76.84,76.92,76.77,,0,0
"2015-07-27 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,76.13,76.28,75.98,,76.83,76.84,76.92,76.78,,0,0
"2015-07-27 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19,76.15,76.31,76.00,,76.84,76.86,76.95,76.79,,0,0
"2015-07-27 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.17,76.38,76.02,,76.90,76.87,76.96,76.79,,0,0
"2015-07-27 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.19,76.38,76.02,,76.91,76.90,76.97,76.82,,0,0
"2015-07-27 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.20,76.40,76.09,,76.91,76.91,77.02,76.83,,0,0
"2015-07-27 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.17,76.22,76.36,76.07,,76.94,76.92,77.01,76.82,,0,0
"2015-07-27 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.24,76.24,76.40,76.09,,76.96,76.95,77.04,76.86,,0,0
"2015-07-27 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27,76.26,76.41,76.14,,76.98,76.97,77.07,76.90,,0,0
"2015-07-27 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.33,76.29,76.46,76.15,,76.98,76.99,77.10,76.92,,0,0
"2015-07-27 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29,76.31,76.45,76.15,,77.06,77.01,77.12,76.93,,0,0
"2015-07-27 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.32,76.46,76.17,,76.98,77.01,77.11,76.94,,0,0
"2015-07-27 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27,76.34,76.50,76.22,,77.01,77.05,77.18,76.94,,0,0
"2015-07-27 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.34,76.36,76.51,76.22,,77.06,77.06,77.18,76.96,,0,0
"2015-07-27 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43,76.38,76.53,76.26,,77.10,77.08,77.19,76.98,,0,0
"2015-07-27 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.40,76.40,76.55,76.26,,77.08,77.10,77.21,77.01,,0,0
"2015-07-27 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.41,76.41,76.58,76.27,,77.14,77.12,77.23,77.04,,0,0
"2015-07-27 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.53,76.44,76.58,76.27,,77.14,77.12,77.21,77.03,,0,0
"2015-07-27 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.08,73.32,76.56,68.01,,74.76,76.26,77.24,74.76,,0,0
"2015-07-27 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,63.17,68.10,61.06,,71.31,72.70,74.78,71.29,,0,0
"2015-07-27 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33,63.64,65.64,60.91,,71.56,71.62,72.11,71.11,,0,0
"2015-07-27 13:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.42,62.82,65.44,60.73,,71.57,71.09,71.62,70.63,,0,0
"2015-07-27 13:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.98,62.47,65.46,60.63,,70.80,70.87,71.65,70.22,,0,0
"2015-07-27 13:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.31,64.19,65.26,61.26,,70.80,71.30,71.62,70.75,,0,0
"2015-07-27 13:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.31,62.76,64.42,60.41,,71.21,70.81,71.27,70.40,,0,0
"2015-07-27 14:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.84,64.13,64.37,63.76,,71.34,71.27,71.45,71.17,,0,0
"2015-07-27 14:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.14,63.49,63.93,63.09,,71.19,71.20,71.39,71.09,,0,0
"2015-07-27 14:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.69,62.86,63.26,62.55,,71.03,71.11,71.23,70.99,,0,0
"2015-07-27 14:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.31,62.87,63.40,62.51,,71.26,71.14,71.34,70.95,,0,0
"2015-07-27 15:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.10,63.75,64.13,63.24,,71.72,71.52,71.77,71.22,,0,0
"2015-07-27 15:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.87,64.45,64.91,64.02,,72.13,71.91,72.17,71.67,,0,0
"2015-07-27 15:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.19,63.76,65.18,61.16,,71.19,71.95,72.36,71.14,,0,0
"2015-07-27 15:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.03,63.16,65.31,60.99,,71.79,72.51,73.51,71.10,,0,0
