time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-29 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.20,76.30,76.12,,77.22,77.24,77.32,77.14,,0,0
"2015-07-29 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.18,76.19,76.29,76.10,,77.26,77.23,77.32,77.11,,0,0
"2015-07-29 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.18,76.17,76.27,76.09,,77.28,77.25,77.34,77.15,,0,0
"2015-07-29 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.16,76.26,76.09,,77.24,77.25,77.36,77.15,,0,0
"2015-07-29 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.16,76.27,76.07,,77.25,77.23,77.32,77.12,,0,0
"2015-07-29 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,76.14,76.24,76.07,,77.19,77.22,77.30,77.11,,0,0
"2015-07-29 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,76.13,76.22,76.04,,77.19,77.19,77.29,77.08,,0,0
"2015-07-29 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13,76.15,76.23,76.07,,77.21,77.19,77.29,77.08,,0,0
"2015-07-29 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.23,76.18,76.29,76.09,,77.19,77.22,77.31,77.12,,0,0
"2015-07-29 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.28,76.22,76.32,76.13,,77.23,77.22,77.32,77.12,,0,0
"2015-07-29 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,76.25,76.35,76.17,,77.27,77.25,77.34,77.15,,0,0
"2015-07-29 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29,76.28,76.36,76.20,,77.26,77.26,77.36,77.16,,0,0
"2015-07-29 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.30,76.38,76.22,,77.23,77.27,77.38,77.19,,0,0
"2015-07-29 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.35,76.32,76.39,76.25,,77.30,77.29,77.39,77.20,,0,0
