time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-30 06:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.48,76.48,76.65,76.34,,77.46,77.48,77.56,77.37,,0,0
"2015-07-30 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.39,76.38,76.61,76.26,,77.45,77.47,77.57,77.36,,0,0
"2015-07-30 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.39,76.38,76.46,76.28,,77.40,77.40,77.54,77.26,,0,0
"2015-07-30 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.33,76.35,76.43,76.28,,77.34,77.33,77.48,77.24,,0,0
"2015-07-30 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.35,76.33,76.41,76.26,,77.36,77.29,77.41,77.20,,0,0
"2015-07-30 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.35,76.33,76.42,76.27,,77.27,77.28,77.39,77.20,,0,0
"2015-07-30 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.30,76.33,76.42,76.21,,77.54,77.41,77.59,77.23,,0,0
"2015-07-30 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11,76.16,76.33,76.04,,77.31,77.44,77.62,77.28,,0,0
"2015-07-30 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.08,76.09,76.18,76.02,,77.38,77.37,77.51,77.26,,0,0
"2015-07-30 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11,76.11,76.20,76.02,,77.28,77.33,77.46,77.24,,0,0
"2015-07-30 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.16,76.25,76.06,,77.35,77.31,77.44,77.23,,0,0
"2015-07-30 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.22,76.31,76.11,,77.30,77.32,77.47,77.23,,0,0
"2015-07-30 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,76.24,76.34,76.15,,77.36,77.32,77.46,77.23,,0,0
"2015-07-30 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29,76.27,76.36,76.19,,77.30,77.33,77.46,77.24,,0,0
"2015-07-30 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.30,76.29,76.37,76.20,,77.25,77.30,77.42,77.22,,0,0
"2015-07-30 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.29,76.37,76.20,,77.24,77.29,77.40,77.21,,0,0
"2015-07-30 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.25,76.34,76.17,,77.25,77.28,77.38,77.19,,0,0
"2015-07-30 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.21,76.31,76.13,,77.31,77.26,77.36,77.16,,0,0
"2015-07-30 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11,76.16,76.27,76.07,,77.25,77.26,77.37,77.17,,0,0
"2015-07-30 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,76.11,76.22,76.05,,77.21,77.25,77.35,77.16,,0,0
"2015-07-30 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11,76.11,76.20,76.04,,77.22,77.25,77.35,77.14,,0,0
"2015-07-30 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.12,76.24,76.04,,77.36,77.28,77.39,77.17,,0,0
"2015-07-30 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55,71.50,76.26,65.51,,73.98,76.12,77.45,74.01,,0,0
