time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-31 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.21,76.41,76.07,,76.86,76.88,76.97,76.81,,0,0
"2015-07-31 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19,76.19,76.34,76.04,,76.88,76.88,76.97,76.81,,0,0
"2015-07-31 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.18,76.38,76.04,,76.88,76.88,76.97,76.80,,0,0
"2015-07-31 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29,76.19,76.33,76.04,,76.86,76.88,76.98,76.79,,0,0
"2015-07-31 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.19,76.38,76.07,,76.88,76.88,76.97,76.81,,0,0
"2015-07-31 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.20,76.34,76.07,,76.91,76.90,77.01,76.81,,0,0
"2015-07-31 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.20,76.34,76.07,,76.88,76.91,77.00,76.82,,0,0
"2015-07-31 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.21,76.34,76.09,,76.91,76.89,76.97,76.81,,0,0
"2015-07-31 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.22,76.36,76.09,,76.89,76.91,77.02,76.82,,0,0
"2015-07-31 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27,76.23,76.38,76.09,,76.89,76.91,76.99,76.82,,0,0
"2015-07-31 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.24,76.41,76.10,,76.93,76.92,77.00,76.84,,0,0
"2015-07-31 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.25,76.40,76.10,,76.96,76.95,77.05,76.86,,0,0
"2015-07-31 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.26,76.40,76.14,,76.94,76.93,77.03,76.83,,0,0
"2015-07-31 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.26,76.41,76.15,,76.94,76.94,77.04,76.86,,0,0
"2015-07-31 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.25,76.41,76.14,,76.90,76.91,77.00,76.82,,0,0
"2015-07-31 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.24,76.38,76.12,,76.92,76.90,76.99,76.81,,0,0
"2015-07-31 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.25,76.38,76.07,,76.96,76.94,77.09,76.85,,0,0
"2015-07-31 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.26,76.40,76.14,,76.94,76.99,77.08,76.90,,0,0
"2015-07-31 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.33,76.29,76.46,76.15,,76.97,76.96,77.05,76.88,,0,0
"2015-07-31 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.45,76.34,76.50,76.20,,77.04,76.98,77.12,76.89,,0,0
"2015-07-31 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.23,71.81,76.51,66.17,,73.88,75.94,77.13,73.88,,0,0
"2015-07-31 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.59,63.11,66.23,60.91,,71.63,72.23,73.91,71.34,,0,0
"2015-07-31 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.14,63.41,65.58,61.13,,70.59,71.45,72.03,70.57,,0,0
"2015-07-31 13:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.44,63.55,65.55,61.11,,71.35,70.82,71.38,70.31,,0,0
"2015-07-31 13:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18,62.96,65.82,60.37,,70.42,70.91,71.58,70.18,,0,0
"2015-07-31 13:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.15,64.25,64.55,63.10,,71.20,70.94,71.26,70.39,,0,0
