time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-08-01 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.14,76.31,75.97,,76.74,76.73,76.83,76.66,,0,0
"2015-08-01 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.12,76.33,75.95,,76.72,76.72,76.82,76.65,,0,0
"2015-08-01 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,76.11,76.28,75.95,,76.84,76.75,76.89,76.66,,0,0
"2015-08-01 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98,76.03,76.21,75.87,,77.13,76.99,77.23,76.77,,0,0
"2015-08-01 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.92,75.96,76.15,75.78,,76.87,76.94,77.20,76.79,,0,0
"2015-08-01 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.97,75.95,76.09,75.76,,76.82,76.85,76.92,76.78,,0,0
"2015-08-01 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,76.02,76.22,75.83,,76.85,76.84,76.92,76.77,,0,0
"2015-08-01 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.10,76.34,75.95,,76.88,76.85,76.92,76.79,,0,0
"2015-08-01 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.17,76.34,76.04,,76.86,76.86,76.95,76.79,,0,0
"2015-08-01 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19,76.22,76.41,76.07,,76.89,76.86,76.94,76.79,,0,0
"2015-08-01 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.24,76.40,76.09,,76.92,76.87,76.95,76.80,,0,0
"2015-08-01 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.25,76.41,76.12,,76.88,76.88,76.96,76.80,,0,0
"2015-08-01 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27,76.27,76.41,76.10,,76.86,76.90,76.98,76.81,,0,0
"2015-08-01 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.28,76.45,76.14,,76.93,76.89,76.98,76.81,,0,0
"2015-08-01 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.33,76.29,76.45,76.15,,76.87,76.89,76.98,76.81,,0,0
