time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-08-02 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.41,76.33,76.50,76.20,,77.14,77.09,77.20,77.00,,0,0
"2015-08-02 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,76.37,76.53,76.22,,77.21,77.12,77.23,77.03,,0,0
"2015-08-02 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.41,76.58,76.24,,77.11,77.16,77.27,77.07,,0,0
"2015-08-02 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.46,76.43,76.58,76.26,,77.20,77.18,77.30,77.08,,0,0
"2015-08-02 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,76.35,76.58,76.21,,77.23,77.19,77.30,77.10,,0,0
"2015-08-02 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,76.33,76.41,76.25,,77.24,77.25,77.33,77.12,,0,0
"2015-08-02 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.40,76.36,76.44,76.29,,77.28,77.26,77.35,77.16,,0,0
"2015-08-02 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.41,76.38,76.47,76.31,,77.37,77.28,77.41,77.20,,0,0
"2015-08-02 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.40,76.41,76.49,76.33,,77.28,77.29,77.39,77.22,,0,0
"2015-08-02 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43,76.44,76.52,76.34,,77.31,77.30,77.43,77.22,,0,0
"2015-08-02 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.45,76.45,76.54,76.37,,77.30,77.31,77.43,77.23,,0,0
"2015-08-02 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.50,76.46,76.54,76.40,,77.29,77.34,77.50,77.23,,0,0
"2015-08-02 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.49,76.48,76.57,76.42,,77.38,77.38,77.51,77.26,,0,0
"2015-08-02 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.49,76.49,76.58,76.41,,77.36,77.42,77.54,77.28,,0,0
"2015-08-02 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.55,76.52,76.62,76.44,,77.45,77.44,77.56,77.31,,0,0
"2015-08-02 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.56,76.55,76.66,76.46,,77.40,77.44,77.55,77.31,,0,0
"2015-08-02 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.57,76.57,76.66,76.47,,77.51,77.46,77.56,77.32,,0,0
"2015-08-02 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.61,76.59,76.68,76.50,,77.51,77.50,77.61,77.38,,0,0
"2015-08-02 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.64,76.61,76.70,76.54,,77.51,77.53,77.63,77.46,,0,0
"2015-08-02 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.68,76.64,76.74,76.55,,77.53,77.52,77.63,77.43,,0,0
"2015-08-02 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.66,76.65,76.74,76.57,,77.54,77.52,77.64,77.44,,0,0
"2015-08-02 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73,76.67,76.77,76.61,,77.51,77.54,77.67,77.47,,0,0
"2015-08-02 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.70,76.68,76.79,76.62,,77.56,77.54,77.65,77.47,,0,0
"2015-08-02 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73,76.70,76.79,76.62,,77.63,77.56,77.68,77.48,,0,0
"2015-08-02 13:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.79,76.72,76.83,76.63,,77.64,77.59,77.71,77.51,,0,0
