time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-24 07:30:00",0,0,0,1180511.25,1180552.75,41.53,4214.30,26.82,13.99,340145.78,1234702.13,1234741.75,39.64,49.00,-20.02,52.93,0.93,491.70,284.57,62.43,59.93,64.30,-19.15,67.34,454.05,30.87,462.50,0,-101.89,0,417481.91,395828.03,367242.78,21.63,15.36,4.54,1439.96,662.39,2111.95,19.75,4.24,2.83,0.07,0.15,13.77,127288.41,109446.41,103410.95,438807.69,411165.34,382694.06,35.28,16.02,18.68,18.35,16.34,14.30,-7.46,-6.13,-6.42,19.80,17.45,15.67,0.93,0.94,0.91,490.93,491.21,492.95,283.90,285.23,284.58,71.26,61.30,54.73
"2015-07-24 07:45:00",0,0,0,1180526.50,1180568.00,41.53,4214.32,26.82,13.99,340150.41,1234718.13,1234757.75,39.64,71.96,-20.92,74.93,0.96,489.22,283.14,86.60,60.02,62.31,-18.39,65.22,454.05,30.87,462.50,0,-101.89,0,417487.50,395833.16,367247.38,21.63,15.36,4.54,1439.96,662.39,2111.97,19.75,4.24,2.83,0.07,0.15,13.77,127290.33,109447.81,103412.28,438813.63,411170.69,382698.91,35.28,16.02,18.68,25.25,23.82,21.86,-4.83,-8.47,5.71,25.70,25.27,22.58,0.97,1.00,0.96,487.88,488.75,491.03,282.46,283.47,283.47,90.97,89.15,79.67
"2015-07-24 08:00:00",0,0,0,1180541.50,1180583.00,41.53,4214.33,26.82,13.99,340155.06,1234733.75,1234773.38,39.64,70.99,-11.02,71.84,0.99,488.98,283.00,85.82,59.99,63.10,-17.77,65.77,454.05,30.87,462.50,0,-101.89,0,417492.94,395838.22,367251.84,21.63,15.36,4.54,1439.96,662.39,2111.98,19.75,4.24,2.83,0.07,0.15,13.77,127292.27,109449.20,103413.59,438819.41,411175.97,382703.59,35.28,16.02,18.68,25.08,23.63,21.28,-6.64,-7.11,-6.57,25.93,24.67,22.26,0.98,1.00,0.99,487.70,488.83,490.41,282.18,283.57,283.23,91.88,86.98,78.59
"2015-07-24 08:15:00",0,0,0,1180556.25,1180597.75,41.53,4214.33,26.82,13.99,340159.84,1234749.25,1234788.88,39.64,70.88,-14.47,72.33,0.98,489.50,283.30,85.11,60.01,61.84,-18.15,64.60,454.05,30.87,462.50,0,-101.89,0,417498.31,395843.13,367256.22,21.63,15.36,4.54,1439.96,662.39,2111.98,19.75,4.24,2.83,0.07,0.15,13.77,127294.22,109450.61,103415.03,438825.19,411181.00,382708.19,35.28,16.02,18.68,25.02,23.93,21.93,-9.13,-3.32,-2.02,26.62,23.68,22.02,0.94,1.00,1.00,487.90,489.40,491.02,282.33,283.77,283.69,91.22,86.62,79.02
"2015-07-24 08:30:00",0,0,0,1180571.25,1180612.75,41.53,4214.33,26.82,13.99,340164.59,1234765.13,1234804.75,39.64,49.54,-20.45,53.59,0.92,492.11,284.81,62.79,60.01,58.61,-19.49,61.91,454.05,30.87,462.50,0,-101.89,0,417503.88,395848.25,367260.69,21.63,15.36,4.54,1439.96,662.39,2111.98,19.75,4.24,2.83,0.07,0.15,13.77,127296.21,109452.00,103416.41,438831.09,411186.34,382712.88,35.28,16.02,18.68,18.16,16.92,14.45,-9.28,-6.10,-5.07,20.39,17.98,15.30,0.89,0.94,0.94,491.24,491.70,493.40,284.16,285.32,284.96,70.62,63.13,54.62
"2015-07-24 08:45:00",0,0,0,1180587.13,1180628.63,41.53,4214.33,26.82,13.99,340169.03,1234781.75,1234821.38,39.64,51.57,-20.14,55.37,0.93,492.91,285.27,65.08,60.09,58.64,-19.20,61.94,454.05,30.87,462.50,0,-101.89,0,417509.63,395853.63,367265.50,21.63,15.36,4.54,1439.96,662.39,2111.98,19.75,4.24,2.83,0.07,0.15,13.77,127298.04,109453.33,103417.68,438837.16,411191.94,382717.88,35.28,16.02,18.68,19.31,17.13,15.13,-7.16,-8.51,-4.47,20.59,19.11,15.77,0.94,0.90,0.96,492.04,492.50,494.18,284.64,285.91,285.26,74.71,62.99,57.55
"2015-07-24 09:00:00",0,0,0,1180604.38,1180645.88,41.53,4214.61,26.82,13.99,340173.44,1234799.63,1234839.25,39.64,52.03,-19.23,55.47,0.94,492.41,284.98,65.97,59.96,61.18,-18.28,64.12,454.05,30.87,462.50,0,-101.89,0,417515.81,395859.38,367270.66,21.63,15.36,4.54,1439.97,662.44,2112.21,19.75,4.24,2.83,0.07,0.15,13.77,127299.88,109454.66,103418.87,438843.69,411197.88,382723.22,35.28,16.02,18.68,19.01,16.89,16.13,-8.26,-9.49,-1.48,20.71,19.37,16.06,0.92,0.87,1.00,490.81,492.24,494.18,284.20,285.22,285.52,73.32,62.84,61.75
"2015-07-24 09:15:00",0,0,0,1180619.88,1180661.38,41.53,4214.62,26.82,13.99,340178.28,1234816.00,1234855.63,39.64,50.67,-19.32,53.71,0.94,493.34,285.52,63.51,60.01,68.52,-16.53,71.30,454.05,30.87,462.50,0,-101.89,0,417521.50,395864.63,367275.34,21.63,15.36,4.54,1439.97,662.44,2112.22,19.75,4.24,2.83,0.07,0.15,13.77,127301.80,109456.16,103420.34,438849.69,411203.31,382728.16,35.28,16.02,18.68,18.95,16.16,15.56,-9.22,-6.14,-3.96,21.07,17.28,16.05,0.90,0.94,0.97,492.26,492.95,494.85,284.84,286.01,285.73,72.43,59.90,58.21
"2015-07-24 09:30:00",0,0,0,1180635.13,1180676.63,41.53,4214.63,26.82,13.99,340183.25,1234832.13,1234871.75,39.64,69.99,-15.29,71.65,0.98,492.79,285.21,83.67,60.02,62.56,-19.35,65.73,454.05,30.87,462.50,0,-101.89,0,417527.03,395869.75,367279.88,21.63,15.36,4.54,1439.97,662.44,2112.22,19.75,4.24,2.83,0.07,0.15,13.77,127303.79,109457.67,103421.79,438855.63,411208.66,382732.91,35.28,16.02,18.68,25.72,22.52,21.75,-6.09,-4.98,-4.22,26.42,23.06,22.14,0.97,0.98,0.98,491.92,492.31,494.15,284.57,285.76,285.29,93.15,80.28,77.59
"2015-07-24 09:45:00",0,0,0,1180649.88,1180691.38,41.53,4214.63,26.82,13.99,340188.13,1234847.63,1234887.25,39.64,75.74,-14.43,77.10,0.98,492.21,284.87,90.63,60.01,62.30,-19.47,65.50,454.05,30.87,462.50,0,-101.89,0,417532.44,395874.69,367284.25,21.63,15.36,4.54,1439.97,662.44,2112.22,19.75,4.24,2.83,0.07,0.15,13.77,127305.78,109459.13,103423.20,438861.41,411213.84,382737.53,35.28,16.02,18.68,26.73,25.56,23.45,-7.37,-1.41,-5.65,27.71,25.51,24.11,0.96,1.00,0.97,490.84,492.14,493.65,284.00,285.49,285.11,96.65,91.44,83.79
