time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-26 06:45:00",0,0,0,1185946.13,1185987.63,41.53,4271.76,26.82,13.99,341280.03,1240282.25,1240321.88,39.64,49.23,-17.87,52.37,0.94,491.50,284.45,62.38,60.02,58.54,-17.99,61.51,454.05,30.87,462.50,0,-101.89,0,419392.09,397633.38,368962.19,21.63,15.36,4.54,1460.17,675.52,2136.08,19.75,4.24,2.83,0.07,0.15,13.77,127702.40,109814.35,103763.26,440768.28,413004.22,384448.94,35.28,16.02,18.68,19.01,16.16,14.06,-8.36,-4.80,-4.71,20.75,16.85,14.82,0.92,0.96,0.95,491.05,490.31,493.12,284.18,284.88,284.30,73.62,59.93,53.59
"2015-07-26 07:00:00",0,0,0,1185963.25,1186004.75,41.53,4272.36,26.82,13.99,341283.78,1240299.88,1240339.50,39.64,50.81,-21.41,55.14,0.92,488.39,282.65,64.94,59.98,61.41,-16.81,64.25,454.05,30.87,462.50,0,-101.89,0,419398.44,397639.00,368967.34,21.63,15.36,4.54,1460.17,675.83,2136.37,19.75,4.24,2.83,0.07,0.15,13.77,127704.24,109815.31,103764.24,440775.00,413010.00,384454.25,35.28,16.02,18.68,20.49,16.26,14.07,-8.71,-5.55,-7.15,22.25,17.17,15.77,0.92,0.95,0.89,487.10,487.39,490.67,282.26,282.71,282.99,79.67,60.54,54.62
"2015-07-26 07:15:00",0,0,0,1185978.88,1186020.38,41.53,4272.41,26.82,13.99,341288.25,1240316.25,1240355.88,39.64,49.33,-20.20,53.30,0.93,490.39,283.81,62.97,60.02,63.81,-14.94,66.63,454.05,30.87,462.50,0,-101.89,0,419404.34,397644.16,368972.00,21.63,15.36,4.54,1460.17,675.83,2136.41,19.75,4.24,2.83,0.07,0.15,13.77,127706.16,109816.53,103765.54,440781.22,413015.31,384459.13,35.28,16.02,18.68,18.97,16.54,13.81,-9.12,-4.58,-6.49,21.04,17.16,15.26,0.90,0.96,0.91,490.01,489.44,491.72,283.47,284.43,283.54,74.45,61.79,52.66
"2015-07-26 07:30:00",0,0,0,1185994.50,1186036.00,41.53,4272.46,26.82,13.99,341292.72,1240332.50,1240372.13,39.64,69.79,-13.69,71.12,0.98,488.62,282.79,84.34,60.02,63.02,-17.53,65.73,454.05,30.87,462.50,0,-101.89,0,419410.09,397649.28,368976.69,21.63,15.36,4.54,1460.17,675.83,2136.46,19.75,4.24,2.83,0.07,0.15,13.77,127708.09,109817.81,103766.80,440787.28,413020.63,384464.00,35.28,16.02,18.68,25.28,23.38,21.45,-4.52,-6.28,-3.29,25.67,24.19,21.69,0.96,1.00,1.00,487.70,487.98,490.18,282.28,283.26,282.82,90.92,85.41,76.69
"2015-07-26 07:45:00",0,0,0,1186009.00,1186050.50,41.53,4272.48,26.82,13.99,341297.28,1240347.75,1240387.38,39.64,69.27,-10.35,70.04,0.99,488.39,282.66,83.82,60.02,63.08,-17.46,65.72,454.05,30.87,462.50,0,-101.89,0,419415.59,397654.00,368980.94,21.63,15.36,4.54,1460.17,675.83,2136.49,19.75,4.24,2.83,0.07,0.15,13.77,127710.10,109819.09,103768.11,440793.16,413025.56,384468.47,35.28,16.02,18.68,25.50,22.89,20.88,-4.97,-1.30,-4.08,25.97,22.84,21.26,0.98,1.00,0.98,487.41,487.61,490.16,282.14,283.05,282.78,93.57,82.54,75.35
"2015-07-26 08:00:00",0,0,0,1186023.75,1186065.25,41.53,4272.53,26.82,13.99,341301.88,1240363.25,1240402.88,39.64,78.81,-15.35,80.29,0.98,488.35,282.63,94.67,59.94,61.67,-17.11,64.29,454.05,30.87,462.50,0,-101.89,0,419421.06,397658.88,368985.22,21.63,15.36,4.54,1460.17,675.83,2136.53,19.75,4.24,2.83,0.07,0.15,13.77,127712.13,109820.41,103769.37,440799.03,413030.59,384472.97,35.28,16.02,18.68,28.31,26.10,24.39,-6.30,-4.75,-4.30,28.99,26.52,24.76,0.98,0.98,0.99,487.55,487.65,489.86,282.11,283.19,282.60,102.77,93.63,87.61
"2015-07-26 08:15:00",0,0,0,1186039.00,1186080.50,41.53,4272.53,26.82,13.99,341306.47,1240379.25,1240418.88,39.64,58.84,-18.93,61.81,0.95,489.72,283.43,73.42,59.99,58.78,-18.56,61.89,454.05,30.87,462.50,0,-101.89,0,419426.72,397663.94,368989.81,21.63,15.36,4.54,1460.17,675.83,2136.53,19.75,4.24,2.83,0.07,0.15,13.77,127714.08,109821.73,103770.67,440805.03,413035.81,384477.78,35.28,16.02,18.68,23.15,18.66,17.02,-7.74,-4.78,-6.41,24.40,19.25,18.18,0.95,0.97,0.94,488.21,489.27,491.69,282.70,283.79,283.80,87.56,68.22,64.49
"2015-07-26 08:30:00",0,0,0,1186054.63,1186096.13,41.53,4272.53,26.82,13.99,341310.88,1240395.50,1240435.13,39.64,54.39,-21.21,58.38,0.93,490.16,283.68,67.94,60.02,59.63,-18.72,62.70,454.05,30.87,462.50,0,-101.89,0,419432.63,397669.00,368994.47,21.63,15.36,4.54,1460.17,675.83,2136.53,19.75,4.24,2.83,0.07,0.15,13.77,127715.97,109822.93,103771.97,440811.28,413041.06,384482.66,35.28,16.02,18.68,21.58,17.99,15.03,-7.08,-6.09,-5.82,22.71,18.99,16.11,0.95,0.94,0.90,488.66,489.57,492.25,283.06,283.88,284.10,80.22,66.88,56.71
"2015-07-26 08:45:00",0,0,0,1186070.25,1186111.75,41.53,4272.60,26.82,13.99,341315.25,1240411.88,1240451.50,39.64,50.52,-18.52,53.80,0.94,491.63,284.53,64.31,60.02,59.16,-18.12,62.14,454.05,30.87,462.50,0,-101.89,0,419438.44,397674.19,368999.19,21.63,15.36,4.54,1460.17,675.83,2136.59,19.75,4.24,2.83,0.07,0.15,13.77,127717.84,109824.18,103773.25,440817.41,413046.41,384487.50,35.28,16.02,18.68,18.73,17.08,14.71,-11.16,-4.93,-2.43,21.80,17.76,14.50,0.86,0.96,1.00,490.50,491.06,493.35,284.01,284.87,284.72,73.84,62.74,56.34
"2015-07-26 09:00:00",0,0,0,1186086.13,1186127.63,41.53,4272.73,26.82,13.99,341319.66,1240428.38,1240468.00,39.64,50.15,-19.65,53.86,0.93,491.73,284.59,63.30,60.01,62.68,-17.45,65.36,454.05,30.87,462.50,0,-101.89,0,419444.28,397679.50,369003.91,21.63,15.36,4.54,1460.17,675.84,2136.73,19.75,4.24,2.83,0.07,0.15,13.77,127719.77,109825.46,103774.44,440823.56,413051.91,384492.44,35.28,16.02,18.68,19.01,16.86,14.27,-8.90,-4.95,-5.80,20.98,17.56,15.40,0.91,0.96,0.93,490.91,490.69,493.60,284.27,284.87,284.62,73.82,62.55,53.52
