time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-29 08:15:00",0,0,0,1196264.25,1196305.75,41.53,4321.07,26.82,13.99,343220.75,1250821.25,1250860.88,39.64,59.64,-23.76,64.20,0.93,483.28,279.70,76.37,59.95,60.04,-19.78,63.44,454.05,30.87,462.50,0,-101.89,0,422982.38,401036.22,372287.13,21.63,15.36,4.54,1481.75,681.55,2157.76,19.75,4.24,2.83,0.07,0.15,13.77,128389.17,110454.64,104376.95,444431.91,416458.22,387828.19,35.28,16.02,18.68,21.42,20.05,18.18,-9.33,-7.64,-6.78,23.35,21.44,19.39,0.92,0.93,0.94,482.19,483.06,484.59,278.89,280.36,279.85,83.99,75.44,69.69
"2015-07-29 08:30:00",0,0,0,1196279.50,1196321.00,41.53,4321.07,26.82,13.99,343225.63,1250837.38,1250877.00,39.64,57.09,-22.06,61.20,0.93,484.13,280.19,72.53,60.00,57.65,-20.57,61.36,454.05,30.87,462.50,0,-101.89,0,422987.91,401041.34,372291.75,21.63,15.36,4.54,1481.75,681.55,2157.76,19.75,4.24,2.83,0.07,0.15,13.77,128391.16,110456.08,104378.39,444437.75,416463.53,387833.09,35.28,16.02,18.68,21.39,19.31,16.39,-8.80,-3.87,-9.39,23.12,18.91,18.88,0.93,1.00,0.87,483.24,483.69,485.46,279.57,280.79,280.21,83.88,72.57,61.15
"2015-07-29 08:45:00",0,0,0,1196292.63,1196334.13,41.53,4321.07,26.82,13.99,343230.88,1250851.63,1250891.25,39.64,75.31,-12.34,76.31,0.99,484.71,280.53,91.47,60.02,57.58,-20.15,61.15,454.05,30.87,462.50,0,-101.89,0,422992.81,401045.69,372295.72,21.63,15.36,4.54,1481.75,681.55,2157.76,19.75,4.24,2.83,0.07,0.15,13.77,128393.30,110457.58,104379.99,444443.13,416468.16,387837.41,35.28,16.02,18.68,26.81,25.48,23.02,-2.11,-5.01,-5.21,26.88,24.97,23.59,1.00,1.00,0.98,483.90,484.29,485.93,279.83,281.15,280.60,97.70,93.60,83.10
"2015-07-29 09:00:00",0,0,0,1196307.13,1196348.63,41.53,4321.07,26.82,13.99,343235.94,1250866.75,1250906.38,39.64,58.01,-20.97,61.68,0.94,485.65,281.07,73.49,60.01,56.89,-20.22,60.56,454.05,30.87,462.50,0,-101.89,0,422998.03,401050.47,372300.09,21.63,15.36,4.54,1481.75,681.55,2157.76,19.75,4.24,2.83,0.07,0.15,13.77,128395.38,110459.06,104381.52,444448.78,416473.22,387842.03,35.28,16.02,18.68,21.34,19.73,16.94,-7.59,-7.27,-6.10,22.64,21.02,18.00,0.94,0.94,0.94,484.81,485.35,486.79,280.36,281.84,281.01,83.50,73.31,63.67
"2015-07-29 09:15:00",0,0,0,1196322.00,1196363.50,41.53,4321.07,26.82,13.99,343240.88,1250882.50,1250922.13,39.64,55.55,-19.03,58.72,0.95,486.30,281.45,70.80,60.01,54.66,-21.20,58.76,454.05,30.87,462.50,0,-101.89,0,423003.44,401055.44,372304.56,21.63,15.36,4.54,1481.75,681.55,2157.76,19.75,4.24,2.83,0.07,0.15,13.77,128397.40,110460.50,104383.00,444454.59,416478.34,387846.78,35.28,16.02,18.68,21.66,17.24,16.65,-3.11,-7.29,-8.63,21.87,18.71,18.74,0.99,0.92,0.89,485.30,485.54,488.06,280.88,281.86,281.60,84.44,62.97,65.00
"2015-07-29 09:30:00",0,0,0,1196336.25,1196377.75,41.53,4321.07,26.82,13.99,343245.94,1250897.88,1250937.50,39.64,80.25,-16.65,81.96,0.98,484.83,280.59,97.12,60.01,58.96,-19.62,62.32,454.05,30.87,462.50,0,-101.89,0,423008.75,401060.22,372308.88,21.63,15.36,4.54,1481.75,681.55,2157.77,19.75,4.24,2.83,0.07,0.15,13.77,128399.44,110461.99,104384.52,444460.28,416483.34,387851.38,35.28,16.02,18.68,27.60,27.72,24.93,-5.10,-6.68,-4.87,28.05,26.89,25.39,0.98,1.00,0.98,483.77,484.18,486.53,280.04,280.89,280.85,100.34,101.29,89.71
"2015-07-29 09:45:00",0,0,0,1196353.13,1196394.63,41.53,4321.11,26.82,13.99,343250.50,1250915.38,1250955.00,39.64,81.22,-20.48,83.76,0.97,484.42,280.36,98.02,59.93,62.70,-19.37,65.84,454.05,30.87,462.50,0,-101.89,0,423014.81,401065.78,372314.09,21.63,15.36,4.54,1481.75,681.57,2157.78,19.75,4.24,2.83,0.07,0.15,13.77,128401.21,110463.50,104385.80,444466.63,416489.06,387856.78,35.28,16.02,18.68,29.38,26.35,25.49,-5.21,-9.97,-5.31,28.90,28.16,24.92,1.00,0.94,1.00,483.23,483.85,486.19,279.72,280.79,280.57,106.63,94.68,92.76
"2015-07-29 10:00:00",0,0,0,1196370.50,1196412.00,41.53,4321.16,26.82,13.99,343254.88,1250933.25,1250972.88,39.64,57.56,-17.84,60.26,0.96,486.21,281.39,72.23,59.98,66.44,-17.77,69.07,454.05,30.87,462.50,0,-101.89,0,423020.97,401071.53,372319.44,21.63,15.36,4.54,1481.75,681.61,2157.80,19.75,4.24,2.83,0.07,0.15,13.77,128402.97,110464.81,104387.10,444473.03,416495.00,387862.31,35.28,16.02,18.68,21.01,19.08,17.47,-7.57,-5.33,-4.95,22.32,19.80,18.15,0.94,0.96,0.96,485.35,485.83,487.44,280.65,282.13,281.40,80.10,70.80,65.78
"2015-07-29 10:15:00",0,0,0,1196386.75,1196428.25,41.53,4321.16,26.82,13.99,343259.50,1250950.13,1250989.75,39.64,72.61,-15.87,74.03,0.98,485.66,281.08,88.13,60.01,66.14,-18.07,68.73,454.05,30.87,462.50,0,-101.89,0,423026.84,401076.94,372324.41,21.63,15.36,4.54,1481.75,681.61,2157.80,19.75,4.24,2.83,0.07,0.15,13.77,128404.85,110466.17,104388.48,444479.22,416500.56,387867.47,35.28,16.02,18.68,25.83,24.08,22.69,-6.30,-4.40,-5.17,26.58,24.47,23.27,0.97,0.98,0.98,484.51,484.99,487.12,280.29,281.46,281.27,94.76,87.20,82.47
"2015-07-29 10:30:00",0,0,0,1196401.63,1196443.13,41.53,4321.16,26.82,13.99,343264.34,1250965.75,1251005.38,39.64,74.09,-16.31,75.87,0.98,485.73,281.12,90.41,60.00,65.73,-18.30,68.37,454.05,30.87,462.50,0,-101.89,0,423032.28,401081.88,372328.88,21.63,15.36,4.54,1481.75,681.61,2157.80,19.75,4.24,2.83,0.07,0.15,13.77,128406.86,110467.54,104389.95,444485.00,416505.69,387872.19,35.28,16.02,18.68,26.11,25.14,22.84,-4.58,-5.87,-5.86,26.50,24.43,23.57,0.99,1.00,0.97,485.01,485.39,486.79,280.42,281.95,280.98,97.54,91.13,82.56
