time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-30 06:45:00",0,0,0,1200011.75,1200053.25,41.53,4327.42,26.82,13.99,343928.84,1254650.88,1254690.50,39.64,77.57,-9.20,78.12,0.99,490.98,284.16,93.63,60.01,73.90,-22.10,77.38,454.05,30.87,462.50,0,-101.89,0,424280.03,402271.75,373501.53,21.63,15.36,4.54,1483.43,682.55,2161.44,19.75,4.24,2.83,0.07,0.15,13.77,128645.98,110679.63,104603.24,445754.88,417712.47,389060.78,35.28,16.02,18.68,27.44,26.74,23.39,-7.34,-1.45,-0.40,28.40,26.77,23.38,0.97,1.00,1.00,489.63,490.86,492.46,283.23,284.70,284.54,100.43,96.41,84.05
"2015-07-30 07:00:00",0,0,0,1200027.38,1200068.88,41.53,4327.42,26.82,13.99,343934.31,1254667.63,1254707.25,39.64,73.97,-16.45,75.78,0.98,491.28,284.33,90.02,60.02,70.31,-21.45,73.78,454.05,30.87,462.50,0,-101.89,0,424285.78,402277.13,373506.06,21.63,15.36,4.54,1483.43,682.55,2161.44,19.75,4.24,2.83,0.07,0.15,13.77,128648.37,110681.26,104604.70,445761.16,417718.13,389065.59,35.28,16.02,18.68,27.39,24.59,21.99,-7.19,-6.21,-3.04,28.30,25.35,22.19,0.97,0.97,0.99,489.78,491.06,493.00,283.37,284.79,284.83,101.72,88.58,79.77
"2015-07-30 07:15:00",0,0,0,1200043.50,1200085.00,41.53,4327.42,26.82,13.99,343940.03,1254684.75,1254724.38,39.64,80.40,-9.37,80.95,0.99,490.77,284.04,96.88,60.00,64.76,-21.37,68.39,454.05,30.87,462.50,0,-101.89,0,424291.72,402282.47,373510.88,21.63,15.36,4.54,1483.43,682.55,2161.44,19.75,4.24,2.83,0.07,0.15,13.77,128650.70,110682.98,104606.36,445767.53,417723.72,389070.69,35.28,16.02,18.68,28.36,27.80,24.24,-4.63,-0.82,-3.92,28.72,27.78,23.91,0.99,1.00,1.00,490.09,489.86,492.37,283.70,284.50,283.91,104.05,99.66,86.93
"2015-07-30 07:30:00",0,0,0,1200059.63,1200101.13,41.53,4327.42,26.82,13.99,343945.28,1254701.75,1254741.38,39.64,54.41,-17.06,57.02,0.95,492.15,284.83,70.70,60.01,65.14,-22.53,69.19,454.05,30.87,462.50,0,-101.89,0,424297.66,402287.97,373515.59,21.63,15.36,4.54,1483.43,682.55,2161.44,19.75,4.24,2.83,0.07,0.15,13.77,128653.00,110684.53,104607.78,445773.91,417729.47,389075.66,35.28,16.02,18.68,20.71,19.54,15.93,-9.16,-4.78,-7.66,22.64,20.10,17.67,0.91,1.00,0.93,490.58,491.82,494.06,284.02,285.07,285.40,79.70,70.51,61.90
"2015-07-30 07:45:00",0,0,0,1200075.63,1200117.13,41.53,4327.44,26.82,13.99,343950.56,1254718.75,1254758.38,39.64,55.09,-22.67,59.57,0.92,491.14,284.25,70.62,60.02,62.64,-21.66,66.46,454.05,30.87,462.50,0,-101.89,0,424303.53,402293.31,373520.41,21.63,15.36,4.54,1483.43,682.55,2161.45,19.75,4.24,2.83,0.07,0.15,13.77,128655.20,110686.13,104609.23,445780.22,417735.06,389080.72,35.28,16.02,18.68,21.49,17.26,16.34,-9.75,-5.80,-7.12,23.59,18.20,17.81,0.91,0.95,0.92,489.20,491.17,493.05,283.12,284.61,285.01,82.47,65.24,64.14
"2015-07-30 08:00:00",0,0,0,1200093.13,1200134.63,41.53,4327.44,26.82,13.99,343956.06,1254736.88,1254776.50,39.64,68.14,-22.75,71.83,0.95,493.57,285.65,85.62,60.00,61.40,-21.68,65.35,454.05,30.87,462.50,0,-101.89,0,424309.94,402299.16,373525.50,21.63,15.36,4.54,1483.43,682.55,2161.46,19.75,4.24,2.83,0.07,0.15,13.77,128657.62,110687.79,104610.66,445787.06,417741.16,389086.00,35.28,16.02,18.68,26.14,23.05,18.95,-10.00,-6.63,-6.12,27.97,23.97,19.90,0.93,0.96,0.95,492.16,493.02,495.53,285.03,285.92,286.01,101.08,84.94,70.84
"2015-07-30 08:15:00",0,0,0,1200110.75,1200152.25,41.53,4327.44,26.82,13.99,343961.59,1254755.50,1254795.13,39.64,63.03,-25.56,68.01,0.93,494.10,285.96,78.67,60.01,70.63,-22.44,74.35,454.05,30.87,462.50,0,-101.89,0,424316.50,402305.06,373530.66,21.63,15.36,4.54,1483.43,682.55,2161.46,19.75,4.24,2.83,0.07,0.15,13.77,128660.02,110689.45,104612.10,445794.09,417747.34,389091.41,35.28,16.02,18.68,23.61,21.03,18.39,-11.32,-7.84,-6.41,26.17,22.43,19.46,0.90,0.94,0.94,492.84,493.65,495.81,285.21,286.38,286.29,90.08,76.89,69.05
"2015-07-30 08:30:00",0,0,0,1200127.63,1200169.13,41.53,4327.44,26.82,13.99,343966.72,1254773.25,1254812.88,39.64,63.64,-19.69,66.62,0.96,494.89,286.42,79.83,60.02,70.17,-21.39,73.54,454.05,30.87,462.50,0,-101.89,0,424322.72,402310.81,373535.72,21.63,15.36,4.54,1483.43,682.55,2161.46,19.75,4.24,2.83,0.07,0.15,13.77,128662.20,110690.98,104613.51,445800.69,417753.31,389096.69,35.28,16.02,18.68,23.94,21.18,18.69,-10.87,-8.94,-4.94,26.28,22.98,19.32,0.94,0.99,0.91,493.48,494.49,496.70,285.78,286.81,286.66,91.94,80.13,67.41
"2015-07-30 08:45:00",0,0,0,1200143.25,1200184.75,41.53,4327.46,26.82,13.99,343972.09,1254789.88,1254829.50,39.64,79.41,-12.03,80.32,0.99,492.75,285.18,95.88,60.02,67.71,-20.62,71.01,454.05,30.87,462.50,0,-101.89,0,424328.44,402316.09,373540.31,21.63,15.36,4.54,1483.43,682.55,2161.48,19.75,4.24,2.83,0.07,0.15,13.77,128664.51,110692.60,104614.97,445806.91,417758.84,389101.53,35.28,16.02,18.68,29.13,26.96,23.32,-7.66,-0.92,-3.45,30.11,26.96,23.56,0.97,1.00,0.99,491.53,492.22,494.51,284.53,285.64,285.37,107.96,95.88,83.79
"2015-07-30 09:00:00",0,0,0,1200159.38,1200200.88,41.53,4327.46,26.82,13.99,343977.84,1254807.00,1254846.63,39.64,85.62,-13.68,86.71,0.99,493.48,285.60,102.85,60.02,64.45,-20.94,68.07,454.05,30.87,462.50,0,-101.89,0,424334.47,402321.59,373544.81,21.63,15.36,4.54,1483.43,682.55,2161.48,19.75,4.24,2.83,0.07,0.15,13.77,128667.06,110694.36,104616.45,445813.50,417764.66,389106.31,35.28,16.02,18.68,32.01,28.51,25.10,-4.92,-5.82,-2.94,32.37,29.08,24.91,0.99,0.98,1.00,491.76,493.18,495.49,284.72,285.83,286.25,116.74,101.94,89.86
