time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-31 07:15:00",0,0,0,1204091.00,1204132.50,41.53,4345.99,26.82,13.99,344681.81,1258818.63,1258858.25,39.64,55.22,-22.84,59.76,0.92,492.90,285.26,69.83,60.01,62.39,-23.05,66.76,454.05,30.87,462.50,0,-101.89,0,425703.63,403615.41,374813.50,21.63,15.36,4.54,1489.92,687.84,2168.23,19.75,4.24,2.83,0.07,0.15,13.77,128918.72,110923.36,104839.73,447208.00,419076.69,390392.53,35.28,16.02,18.68,19.62,19.98,15.62,-10.01,-9.05,-3.79,22.01,21.92,16.06,0.89,0.91,0.97,491.77,492.47,494.45,284.60,285.70,285.49,77.01,74.03,58.45
"2015-07-31 07:30:00",0,0,0,1204107.25,1204148.75,41.53,4346.01,26.82,13.99,344686.81,1258835.88,1258875.50,39.64,59.19,-20.77,62.73,0.94,492.66,285.13,73.76,60.02,69.11,-20.27,72.36,454.05,30.87,462.50,0,-101.89,0,425709.56,403620.97,374818.31,21.63,15.36,4.54,1489.92,687.85,2168.25,19.75,4.24,2.83,0.07,0.15,13.77,128920.83,110924.96,104841.03,447214.28,419082.53,390397.59,35.28,16.02,18.68,22.05,19.52,16.61,-9.92,-7.77,-6.74,24.17,21.00,17.92,0.96,0.95,0.91,491.18,491.82,495.00,284.63,285.18,285.57,84.92,73.62,62.75
"2015-07-31 07:45:00",0,0,0,1204123.38,1204164.88,41.53,4346.02,26.82,13.99,344691.69,1258852.63,1258892.25,39.64,59.83,-19.40,63.06,0.94,492.73,285.17,73.61,60.02,63.87,-20.17,67.24,454.05,30.87,462.50,0,-101.89,0,425715.38,403626.34,374823.16,21.63,15.36,4.54,1489.92,687.85,2168.25,19.75,4.24,2.83,0.07,0.15,13.77,128922.91,110926.42,104842.38,447220.53,419088.09,390402.59,35.28,16.02,18.68,22.61,19.80,17.42,-8.42,-4.75,-6.24,24.11,20.35,18.50,0.94,0.97,0.94,490.82,492.52,494.96,284.41,285.33,285.84,85.05,72.03,64.44
"2015-07-31 08:00:00",0,0,0,1204140.63,1204182.13,41.53,4346.06,26.82,13.99,344696.34,1258870.50,1258910.13,39.64,77.96,-19.40,80.34,0.97,491.50,284.46,93.79,59.94,64.53,-19.37,67.56,454.05,30.87,462.50,0,-101.89,0,425721.59,403632.16,374828.41,21.63,15.36,4.54,1489.92,687.85,2168.29,19.75,4.24,2.83,0.07,0.15,13.77,128924.88,110927.88,104843.59,447227.06,419094.06,390408.03,35.28,16.02,18.68,28.02,26.27,23.67,-8.28,-5.87,-5.25,29.20,26.90,24.24,0.96,0.98,0.98,489.73,491.22,493.56,283.68,284.65,285.05,102.45,94.01,84.90
"2015-07-31 08:15:00",0,0,0,1204156.38,1204197.88,41.53,4346.07,26.82,13.99,344701.41,1258887.00,1258926.63,39.64,78.74,-15.42,80.24,0.98,494.31,286.08,93.44,60.02,69.43,-18.44,72.28,454.05,30.87,462.50,0,-101.89,0,425727.31,403637.44,374833.06,21.63,15.36,4.54,1489.92,687.85,2168.29,19.75,4.24,2.83,0.07,0.15,13.77,128927.04,110929.38,104844.99,447233.22,419099.56,390412.88,35.28,16.02,18.68,28.62,25.55,24.57,-7.81,-4.47,-3.15,29.65,25.93,24.76,0.97,0.99,0.99,492.22,494.24,496.47,285.19,286.30,286.75,102.61,90.60,87.11
"2015-07-31 08:30:00",0,0,0,1204171.25,1204212.75,41.53,4346.09,26.82,13.99,344706.41,1258903.00,1258942.63,39.64,70.85,-13.87,70.79,0.98,494.29,286.07,83.70,60.01,62.92,-19.52,66.21,454.05,30.87,462.50,0,-101.89,0,425732.75,403642.44,374837.59,21.63,15.36,4.54,1489.92,687.85,2168.31,19.75,4.24,2.83,0.07,0.15,13.77,128929.13,110930.92,104846.36,447239.09,419104.84,390417.66,35.28,16.02,18.68,24.83,24.28,21.75,-8.32,-1.44,-4.12,26.17,24.31,21.34,0.95,1.00,1.00,492.56,493.86,496.03,285.23,286.30,286.43,90.31,87.30,77.10
"2015-07-31 08:45:00",0,0,0,1204186.25,1204227.75,41.53,4346.13,26.82,13.99,344711.34,1258918.75,1258958.38,39.64,67.76,-17.62,70.01,0.97,494.07,285.94,81.58,60.01,60.92,-19.50,64.22,454.05,30.87,462.50,0,-101.89,0,425738.25,403647.53,374842.00,21.63,15.36,4.54,1489.92,687.85,2168.35,19.75,4.24,2.83,0.07,0.15,13.77,128931.29,110932.39,104847.69,447245.00,419110.16,390422.28,35.28,16.02,18.68,23.88,22.88,21.00,-7.79,-5.87,-3.97,25.11,23.61,21.36,0.95,0.97,0.98,492.66,493.62,495.93,285.28,286.26,286.29,87.63,82.06,75.06
"2015-07-31 09:00:00",0,0,0,1204202.38,1204243.88,41.53,4346.16,26.82,13.99,344716.16,1258935.63,1258975.25,39.64,53.02,-22.14,57.45,0.92,495.87,286.99,66.48,60.01,61.11,-19.63,64.42,454.05,30.87,462.50,0,-101.89,0,425744.09,403653.00,374846.84,21.63,15.36,4.54,1489.92,687.85,2168.38,19.75,4.24,2.83,0.07,0.15,13.77,128933.36,110933.82,104848.97,447251.22,419115.88,390427.28,35.28,16.02,18.68,19.88,18.11,15.03,-9.12,-6.89,-6.12,21.86,19.37,16.22,0.91,0.94,0.93,494.68,495.22,497.73,286.47,287.28,287.21,76.94,66.48,56.02
"2015-07-31 09:15:00",0,0,0,1204217.88,1204259.38,41.53,4346.16,26.82,13.99,344721.09,1258952.00,1258991.63,39.64,50.60,-22.71,55.46,0.91,495.27,286.64,64.46,59.99,60.83,-20.10,64.28,454.05,30.87,462.50,0,-101.89,0,425749.81,403658.16,374851.47,21.63,15.36,4.54,1489.92,687.85,2168.38,19.75,4.24,2.83,0.07,0.15,13.77,128935.45,110935.30,104850.35,447257.34,419121.25,390432.16,35.28,16.02,18.68,19.20,17.08,14.32,-9.88,-6.00,-6.84,21.58,18.10,15.86,0.89,0.94,0.90,494.04,494.74,497.04,285.98,287.02,286.91,75.27,63.66,54.44
"2015-07-31 09:30:00",0,0,0,1204234.13,1204275.63,41.53,4346.18,26.82,13.99,344725.91,1258969.00,1259008.63,39.64,55.20,-21.54,59.25,0.93,496.46,287.32,69.20,60.02,61.27,-19.92,64.73,454.05,30.87,462.50,0,-101.89,0,425755.72,403663.66,374856.25,21.63,15.36,4.54,1489.92,687.85,2168.40,19.75,4.24,2.83,0.07,0.15,13.77,128937.55,110936.71,104851.66,447263.63,419126.91,390437.13,35.28,16.02,18.68,21.14,18.77,15.86,-9.18,-8.23,-2.89,23.04,20.48,16.12,0.89,0.99,0.89,495.06,495.74,498.58,286.80,287.44,287.73,80.32,71.26,56.01
"2015-07-31 09:45:00",0,0,0,1204250.38,1204291.88,41.53,4346.18,26.82,13.99,344730.72,1258986.00,1259025.63,39.64,59.83,-21.20,62.99,0.94,495.74,286.91,73.75,59.94,65.95,-19.06,68.85,454.05,30.87,462.50,0,-101.89,0,425761.69,403669.06,374861.09,21.63,15.36,4.54,1489.92,687.85,2168.40,19.75,4.24,2.83,0.07,0.15,13.77,128939.59,110938.08,104853.05,447269.97,419132.53,390442.16,35.28,16.02,18.68,23.44,18.97,17.43,-8.08,-7.21,-5.90,24.78,20.29,18.39,0.95,0.94,0.95,493.73,495.90,497.78,285.81,287.32,287.71,88.05,68.63,65.98
"2015-07-31 10:00:00",0,0,0,1204265.63,1204307.13,41.53,4346.19,26.82,13.99,344735.69,1259002.13,1259041.75,39.64,78.44,-13.28,79.56,0.99,494.62,286.26,93.49,60.00,64.75,-19.30,67.75,454.05,30.87,462.50,0,-101.89,0,425767.31,403674.22,374865.63,21.63,15.36,4.54,1489.92,687.85,2168.41,19.75,4.24,2.83,0.07,0.15,13.77,128941.73,110939.53,104854.45,447276.06,419137.88,390446.94,35.28,16.02,18.68,27.81,26.55,24.08,-8.62,-0.72,-3.94,29.10,26.53,24.39,0.96,1.00,0.99,492.85,494.47,496.53,285.39,286.62,286.77,100.65,94.48,85.32
"2015-07-31 10:15:00",0,0,0,1204281.00,1204322.50,41.53,4346.19,26.82,13.99,344740.72,1259018.25,1259057.88,39.64,78.69,-14.13,79.95,0.98,495.54,286.79,93.21,60.00,63.87,-19.38,67.01,454.05,30.87,462.50,0,-101.89,0,425772.97,403679.38,374870.13,21.63,15.36,4.54,1489.92,687.85,2168.41,19.75,4.24,2.83,0.07,0.15,13.77,128943.90,110941.01,104855.82,447282.13,419143.25,390451.63,35.28,16.02,18.68,28.60,26.14,23.95,-4.58,-4.53,-5.02,28.95,26.52,24.46,0.99,0.99,0.98,494.05,495.18,497.39,286.03,287.05,287.29,102.64,92.28,84.71
"2015-07-31 10:30:00",0,0,0,1204296.13,1204337.63,41.53,4346.19,26.82,13.99,344745.69,1259034.25,1259073.88,39.64,56.91,-20.81,60.73,0.93,484.55,280.43,72.06,60.01,62.06,-19.49,65.31,454.05,30.87,462.50,0,-101.89,0,425778.66,403684.38,374874.66,21.63,15.36,4.54,1489.92,687.85,2168.41,19.75,4.24,2.83,0.07,0.15,13.77,128945.98,110942.47,104857.23,447288.19,419148.47,390456.41,35.28,16.02,18.68,21.13,18.99,16.79,-8.99,-6.00,-5.82,22.95,19.91,17.76,0.92,0.95,0.95,484.00,484.06,486.00,279.97,281.21,280.36,82.53,71.69,63.31
"2015-07-31 10:45:00",0,0,0,1204311.13,1204352.63,41.53,4346.19,26.82,13.99,344750.81,1259050.13,1259089.75,39.64,51.41,-18.78,54.74,0.94,484.56,280.44,66.71,60.02,56.60,-20.80,60.41,454.05,30.87,462.50,0,-101.89,0,425784.16,403689.31,374879.13,21.63,15.36,4.54,1489.92,687.85,2168.41,19.75,4.24,2.83,0.07,0.15,13.77,128948.06,110944.09,104858.66,447294.09,419153.66,390461.13,35.28,16.02,18.68,19.52,17.28,14.61,-11.58,-0.75,-6.45,22.68,17.29,15.97,0.86,1.00,0.92,483.18,484.23,486.26,279.56,280.87,280.88,75.80,66.82,57.51
"2015-07-31 11:00:00",0,0,0,1204327.38,1204368.88,41.53,4346.20,26.82,13.99,344755.63,1259067.13,1259106.75,39.64,68.75,-16.65,70.74,0.97,483.24,279.67,84.43,60.02,60.40,-20.52,63.96,454.05,30.87,462.50,0,-101.89,0,425790.13,403694.69,374884.00,21.63,15.36,4.54,1489.92,687.86,2168.42,19.75,4.24,2.83,0.07,0.15,13.77,128950.03,110945.58,104860.02,447300.44,419159.19,390466.22,35.28,16.02,18.68,25.29,21.73,21.74,-3.45,-6.89,-6.31,25.51,22.78,22.63,0.99,0.95,0.96,482.11,482.76,484.84,278.91,280.22,279.89,94.99,78.77,79.54
"2015-07-31 11:15:00",0,0,0,1204343.00,1204384.50,41.53,4346.20,26.82,13.99,344760.41,1259083.50,1259123.13,39.64,71.31,-15.70,73.01,0.98,483.23,279.67,87.02,60.00,64.21,-19.36,67.32,454.05,30.87,462.50,0,-101.89,0,425795.97,403699.91,374888.63,21.63,15.36,4.54,1489.92,687.86,2168.42,19.75,4.24,2.83,0.07,0.15,13.77,128952.07,110946.94,104861.38,447306.63,419164.59,390471.06,35.28,16.02,18.68,25.56,23.68,22.07,-6.84,-5.63,-3.23,26.44,24.33,22.29,0.97,0.97,0.99,482.41,482.55,484.74,279.11,280.25,279.66,94.26,86.38,80.41
"2015-07-31 11:30:00",0,0,0,1204358.50,1204400.00,41.53,4346.20,26.82,13.99,344765.00,1259099.75,1259139.38,39.64,57.24,-18.36,60.11,0.95,487.16,281.94,71.08,59.93,66.23,-17.89,68.74,454.05,30.87,462.50,0,-101.89,0,425801.72,403705.06,374893.31,21.63,15.36,4.54,1489.92,687.86,2168.42,19.75,4.24,2.83,0.07,0.15,13.77,128954.02,110948.30,104862.72,447312.72,419169.94,390475.94,35.28,16.02,18.68,21.28,19.44,16.55,-8.35,-4.48,-5.18,22.85,19.94,17.33,0.94,0.96,0.95,486.31,486.80,488.36,281.22,282.71,281.90,81.25,70.52,61.48
"2015-07-31 11:45:00",0,0,0,1204375.63,1204417.13,41.53,4346.20,26.82,13.99,344769.44,1259117.38,1259157.00,39.64,58.18,-19.19,61.27,0.95,482.84,279.45,72.76,60.02,61.94,-18.68,64.81,454.05,30.87,462.50,0,-101.89,0,425807.97,403710.72,374898.38,21.63,15.36,4.54,1489.92,687.86,2168.42,19.75,4.24,2.83,0.07,0.15,13.77,128955.84,110949.67,104863.92,447319.25,419175.72,390481.16,35.28,16.02,18.68,21.71,19.47,17.01,-7.09,-5.69,-6.42,22.82,20.27,18.17,0.95,0.96,0.94,481.80,482.29,484.44,278.81,279.92,279.61,82.78,72.47,63.02
