time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-08-01 07:30:00",0,0,0,1208069.88,1208111.38,41.53,4379.01,26.82,13.99,345345.94,1262868.50,1262908.13,39.64,73.21,-15.10,74.76,0.98,494.05,285.93,87.14,60.01,66.79,-17.26,69.27,454.05,30.87,462.50,0,-101.89,0,427075.72,404929.44,376106.25,21.63,15.36,4.54,1508.78,692.31,2177.93,19.75,4.24,2.83,0.07,0.15,13.77,129147.72,111145.99,105052.22,448603.75,420407.97,391701.81,35.28,16.02,18.68,25.87,24.62,22.72,-6.27,-4.99,-3.84,26.61,25.10,23.03,0.97,0.98,0.99,493.76,493.31,495.08,285.44,286.80,285.56,93.23,87.53,80.66
"2015-08-01 07:45:00",0,0,0,1208085.25,1208126.75,41.53,4379.03,26.82,13.99,345350.59,1262884.63,1262924.25,39.64,70.20,-16.10,72.02,0.97,491.29,284.33,84.12,60.02,67.63,-16.92,70.00,454.05,30.87,462.50,0,-101.89,0,427081.34,404934.63,376110.88,21.63,15.36,4.54,1508.78,692.31,2177.94,19.75,4.24,2.83,0.07,0.15,13.77,129149.72,111147.42,105053.48,448609.75,420413.34,391706.63,35.28,16.02,18.68,25.12,23.90,21.68,-5.24,-3.27,-3.76,25.65,24.11,21.99,0.97,0.98,0.98,491.00,490.48,492.38,283.86,285.09,284.05,90.36,84.58,77.42
"2015-08-01 08:00:00",0,0,0,1208101.75,1208143.25,41.53,4379.04,26.82,13.99,345355.31,1262901.88,1262941.50,39.64,62.40,-20.82,65.77,0.94,491.18,284.27,77.24,60.01,60.46,-18.54,63.49,454.05,30.87,462.50,0,-101.89,0,427087.53,404940.03,376115.75,21.63,15.36,4.54,1508.78,692.31,2177.95,19.75,4.24,2.83,0.07,0.15,13.77,129151.70,111148.80,105054.81,448616.28,420418.94,391711.72,35.28,16.02,18.68,23.74,20.89,17.77,-9.73,-5.24,-5.85,25.64,21.53,18.70,0.93,0.97,0.95,490.50,489.72,493.30,284.17,284.42,284.20,90.78,76.39,67.02
"2015-08-01 08:15:00",0,0,0,1208120.00,1208161.50,41.53,4379.05,26.82,13.99,345359.72,1262920.63,1262960.25,39.64,59.37,-20.06,62.67,0.95,490.48,283.86,73.53,60.01,66.90,-19.71,69.98,454.05,30.87,462.50,0,-101.89,0,427094.19,404946.09,376121.22,21.63,15.36,4.54,1508.78,692.31,2177.96,19.75,4.24,2.83,0.07,0.15,13.77,129153.59,111150.14,105056.02,448623.22,420425.19,391717.34,35.28,16.02,18.68,22.48,19.13,17.76,-7.90,-6.20,-5.97,23.82,20.10,18.72,0.94,0.95,0.95,489.96,489.50,491.97,283.42,284.54,283.63,84.30,70.25,66.05
"2015-08-01 08:30:00",0,0,0,1208137.25,1208178.75,41.53,4379.10,26.82,13.99,345363.91,1262938.38,1262978.00,39.64,74.83,-13.59,76.05,0.98,490.27,283.74,89.91,60.01,70.23,-17.82,72.61,454.05,30.87,462.50,0,-101.89,0,427100.41,404951.91,376126.47,21.63,15.36,4.54,1508.78,692.31,2178.01,19.75,4.24,2.83,0.07,0.15,13.77,129155.34,111151.43,105057.14,448629.69,420431.13,391722.72,35.28,16.02,18.68,27.07,24.67,23.10,-5.23,-5.06,-3.30,27.55,25.17,23.32,0.98,0.98,0.99,489.52,489.19,492.10,283.35,284.10,283.78,98.47,88.59,82.69
"2015-08-01 08:45:00",0,0,0,1208151.75,1208193.25,41.53,4379.11,26.82,13.99,345368.69,1262953.63,1262993.25,39.64,70.29,-17.49,72.43,0.97,490.97,284.15,84.73,60.01,69.36,-16.31,71.46,454.05,30.87,462.50,0,-101.89,0,427105.75,404956.72,376130.72,21.63,15.36,4.54,1508.78,692.31,2178.02,19.75,4.24,2.83,0.07,0.15,13.77,129157.40,111152.80,105058.50,448635.44,420436.16,391727.19,35.28,16.02,18.68,24.93,23.46,21.90,-7.56,-6.48,-3.45,26.03,24.33,22.16,0.96,0.96,0.99,490.25,489.99,492.66,283.78,284.47,284.19,91.28,84.54,78.36
"2015-08-01 09:00:00",0,0,0,1208167.50,1208209.00,41.53,4379.14,26.82,13.99,345373.66,1262970.25,1263009.88,39.64,76.72,-17.80,78.53,0.98,490.09,283.64,92.53,60.01,60.29,-18.16,63.34,454.05,30.87,462.50,0,-101.89,0,427111.56,404962.09,376135.31,21.63,15.36,4.54,1508.78,692.31,2178.05,19.75,4.24,2.83,0.07,0.15,13.77,129159.54,111154.39,105059.71,448641.69,420441.81,391731.97,35.28,16.02,18.68,27.35,26.62,22.75,-7.04,-6.02,-4.73,28.23,27.28,23.23,0.97,0.98,0.98,489.35,488.70,491.67,283.24,283.87,283.49,100.44,96.29,81.59
"2015-08-01 09:15:00",0,0,0,1208184.25,1208225.75,41.53,4379.14,26.82,13.99,345378.31,1262987.75,1263027.38,39.64,50.77,-20.75,54.85,0.93,491.15,284.25,64.43,59.95,63.47,-20.17,66.95,454.05,30.87,462.50,0,-101.89,0,427117.66,404967.78,376140.31,21.63,15.36,4.54,1508.78,692.31,2178.05,19.75,4.24,2.83,0.07,0.15,13.77,129161.50,111155.91,105060.92,448648.13,420447.72,391737.13,35.28,16.02,18.68,19.26,16.76,14.75,-8.42,-6.44,-5.88,21.01,17.95,15.87,0.92,0.93,0.93,490.31,489.87,493.25,283.97,284.47,284.32,74.58,62.92,55.79
"2015-08-01 09:30:00",0,0,0,1208200.25,1208241.75,41.53,4379.14,26.82,13.99,345382.72,1263004.38,1263044.00,39.64,47.41,-22.40,52.43,0.90,491.68,284.56,61.02,60.01,62.48,-19.43,65.74,454.05,30.87,462.50,0,-101.89,0,427123.44,404973.09,376145.13,21.63,15.36,4.54,1508.78,692.31,2178.05,19.75,4.24,2.83,0.07,0.15,13.77,129163.34,111157.24,105062.13,448654.22,420453.22,391742.13,35.28,16.02,18.68,18.14,15.67,13.59,-9.44,-6.66,-6.30,20.44,17.02,14.97,0.89,0.92,0.91,490.54,490.97,493.52,283.95,284.91,284.81,71.44,59.23,52.39
"2015-08-01 09:45:00",0,0,0,1208215.63,1208257.13,41.53,4379.17,26.82,13.99,345387.25,1263020.38,1263060.00,39.64,70.33,-16.62,72.27,0.97,491.16,284.26,84.47,60.01,62.52,-17.81,65.39,454.05,30.87,462.50,0,-101.89,0,427128.91,404978.31,376149.81,21.63,15.36,4.54,1508.78,692.31,2178.09,19.75,4.24,2.83,0.07,0.15,13.77,129165.25,111158.70,105063.30,448660.09,420458.66,391747.00,35.28,16.02,18.68,24.45,24.14,21.71,-6.50,-5.27,3.91,25.28,24.70,22.05,0.96,0.98,0.98,489.99,490.34,493.14,283.83,284.45,284.49,89.08,86.83,77.50
