time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-08-02 07:00:00",0,0,0,1211096.75,1211138.25,41.53,4632.48,26.82,13.99,345643.75,1265950.00,1265989.63,39.64,72.41,-13.57,73.67,0.98,489.28,283.17,87.30,59.98,68.11,-17.92,70.73,454.05,37.14,462.50,0,-101.89,0,428110.53,405942.81,377085.00,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129248.41,111264.50,105130.85,449660.78,421437.00,392695.50,35.28,16.02,18.68,25.16,24.38,22.87,-4.64,-6.46,-2.47,25.57,25.21,22.99,0.98,0.97,0.99,488.60,488.44,490.81,282.62,283.77,283.12,91.58,88.03,82.30
"2015-08-02 07:15:00",0,0,0,1211112.13,1211153.63,41.53,4632.48,26.82,13.99,345648.78,1265966.13,1266005.75,39.64,67.58,-18.83,70.20,0.96,490.63,283.95,82.32,59.99,65.72,-18.68,68.51,454.05,37.14,462.50,0,-101.89,0,428116.03,405947.97,377089.63,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129250.39,111266.08,105132.30,449666.69,421442.41,392700.38,35.28,16.02,18.68,23.95,23.23,20.40,-6.92,-6.38,-5.53,24.92,24.08,21.13,0.96,0.96,0.97,490.55,489.59,492.05,283.71,284.61,283.71,88.84,84.20,73.96
"2015-08-02 07:30:00",0,0,0,1211128.63,1211170.13,41.53,4632.48,26.82,13.99,345653.34,1265983.38,1266023.00,39.64,52.16,-20.56,56.06,0.93,492.97,285.30,65.55,60.01,60.87,-19.98,64.28,454.05,37.14,462.50,0,-101.89,0,428121.84,405953.66,377094.69,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129252.25,111267.55,105133.53,449672.81,421448.31,392705.56,35.28,16.02,18.68,18.52,18.16,15.48,-10.40,-7.12,-3.05,21.22,19.50,15.77,0.87,0.93,0.98,492.09,492.23,494.57,284.83,285.76,285.32,70.99,67.59,58.08
"2015-08-02 07:45:00",0,0,0,1211145.38,1211186.88,41.53,4632.48,26.82,13.99,345657.94,1266000.75,1266040.38,39.64,52.61,-22.63,57.27,0.92,492.90,285.27,66.76,59.99,61.94,-19.32,65.18,454.05,37.14,462.50,0,-101.89,0,428127.69,405959.44,377099.81,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129254.09,111269.09,105134.76,449679.00,421454.31,392710.88,35.28,16.02,18.68,18.85,18.61,15.16,-10.16,-7.88,-4.59,21.40,20.20,15.83,0.88,0.92,0.96,492.08,491.79,494.84,284.87,285.49,285.44,74.53,69.01,56.72
"2015-08-02 08:00:00",0,0,0,1211161.38,1211202.88,41.53,4632.48,26.82,13.99,345662.72,1266017.50,1266057.13,39.64,72.67,-17.66,74.78,0.97,492.22,284.87,87.07,59.94,67.03,-18.28,69.82,454.05,37.14,462.50,0,-101.89,0,428133.34,405964.91,377104.63,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129256.00,111270.66,105136.05,449684.97,421460.06,392715.91,35.28,16.02,18.68,25.50,24.88,22.29,-7.02,-5.53,-5.11,26.43,25.47,22.86,0.96,0.98,0.98,491.13,491.32,494.21,284.39,285.08,285.15,92.52,89.13,79.55
"2015-08-02 08:15:00",0,0,0,1211176.75,1211218.25,41.53,4632.48,26.82,13.99,345667.72,1266033.63,1266073.25,39.64,73.24,-17.62,75.22,0.98,491.59,284.51,88.29,60.00,66.90,-18.57,69.67,454.05,37.14,462.50,0,-101.89,0,428138.81,405970.19,377109.28,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129258.03,111272.27,105137.44,449690.84,421465.56,392720.72,35.28,16.02,18.68,25.53,25.13,22.58,-7.54,-5.36,-4.72,26.60,25.69,23.06,0.96,0.98,0.98,490.75,491.01,493.75,284.16,284.94,284.85,92.76,90.06,80.67
"2015-08-02 08:30:00",0,0,0,1211192.75,1211234.25,41.53,4632.48,26.82,13.99,345672.56,1266050.38,1266090.00,39.64,53.35,-21.77,57.62,0.93,492.47,285.02,67.26,59.94,62.68,-19.70,65.93,454.05,37.14,462.50,0,-101.89,0,428144.44,405975.69,377114.06,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129260.02,111273.80,105138.74,449696.81,421471.31,392725.72,35.28,16.02,18.68,19.61,17.89,15.85,-8.73,-6.82,-6.23,21.45,19.14,17.02,0.91,0.93,0.93,491.05,492.01,494.36,284.22,285.39,285.45,75.17,66.86,59.75
"2015-08-02 08:45:00",0,0,0,1211209.25,1211250.75,41.53,4632.48,26.82,13.99,345677.13,1266067.75,1266107.38,39.64,52.54,-20.82,56.52,0.93,492.51,285.04,66.03,60.00,62.38,-19.76,65.65,454.05,37.14,462.50,0,-101.89,0,428150.28,405981.41,377119.09,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129261.88,111275.27,105139.98,449703.03,421477.19,392730.94,35.28,16.02,18.68,19.04,18.25,15.25,-10.13,-7.07,-3.62,21.56,19.57,15.67,0.88,0.93,0.97,491.10,492.00,494.45,284.38,285.33,285.41,72.37,68.65,57.07
"2015-08-02 09:00:00",0,0,0,1211225.50,1211267.00,41.53,4632.48,26.82,13.99,345681.81,1266084.63,1266124.25,39.64,53.09,-21.86,57.42,0.92,493.79,285.78,67.04,60.01,63.31,-18.80,66.39,454.05,37.14,462.50,0,-101.89,0,428155.94,405987.03,377124.00,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129263.81,111276.79,105141.19,449708.97,421483.06,392736.03,35.28,16.02,18.68,18.86,18.77,15.46,-9.07,-7.17,-5.62,20.92,20.08,16.44,0.90,0.93,0.94,492.75,492.96,495.67,285.33,286.11,285.91,73.52,69.84,57.76
"2015-08-02 09:15:00",0,0,0,1211241.13,1211282.63,41.53,4632.48,26.82,13.99,345686.63,1266101.00,1266140.63,39.64,71.30,-14.80,72.87,0.98,492.92,285.28,85.08,60.01,64.88,-18.76,67.82,454.05,37.14,462.50,0,-101.89,0,428161.41,405992.50,377128.69,21.63,15.36,4.54,1604.39,759.35,2268.74,19.75,4.24,2.83,0.07,0.15,13.77,129265.84,111278.38,105142.43,449714.84,421488.75,392740.88,35.28,16.02,18.68,24.62,24.38,22.30,-5.41,-5.62,-3.76,25.20,25.01,22.61,0.98,0.97,0.99,491.60,492.12,494.58,284.59,285.53,285.45,89.17,87.35,79.31
