time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-24 07:15:00",0,0,0,75.28,75.43,75.70,75.24,,,,,,,77.74,77.81,77.99,77.59,,77.36,77.37,77.49,77.23,,70.26,70.38,70.64,70.20,,,,,,,,,,,,,,,,,0,0
"2015-07-24 07:30:00",0,0,0,75.46,75.28,75.48,75.19,,,,,,,77.65,77.64,77.81,77.47,,77.20,77.24,77.39,77.08,,69.23,69.84,70.32,69.18,,,,,,,,,,,,,,,,,0,0
"2015-07-24 07:45:00",0,0,0,75.37,75.53,75.73,75.34,,,,,,,77.48,77.54,77.70,77.37,,77.04,77.12,77.30,76.95,,69.27,69.20,69.33,69.06,,,,,,,,,,,,,,,,,0,0
"2015-07-24 08:00:00",0,0,0,75.25,75.26,75.42,75.14,,,,,,,77.35,77.40,77.58,77.21,,76.90,76.95,77.12,76.83,,68.72,69.19,69.50,68.67,,,,,,,,,,,,,,,,,0,0
"2015-07-24 08:15:00",0,0,0,75.06,75.21,75.35,75.04,,,,,,,77.18,77.26,77.49,77.07,,76.76,76.85,77.00,76.73,,68.56,68.66,68.81,68.45,,,,,,,,,,,,,,,,,0,0
"2015-07-24 08:30:00",0,0,0,75.05,75.07,75.17,74.98,,,,,,,77.05,77.12,77.37,76.97,,76.72,76.73,76.84,76.61,,68.51,68.42,68.58,68.23,,,,,,,,,,,,,,,,,0,0
"2015-07-24 08:45:00",0,0,0,74.99,75.03,75.12,74.95,,,,,,,76.97,77.00,77.19,76.86,,76.62,76.63,76.75,76.51,,68.48,68.63,68.82,68.34,,,,,,,,,,,,,,,,,0,0
"2015-07-24 09:00:00",0,0,0,75.15,75.08,75.25,74.94,,,,,,,76.81,76.93,77.10,76.80,,76.57,76.55,76.64,76.47,,68.93,68.61,69.03,68.32,,,,,,,,,,,,,,,,,0,0
"2015-07-24 09:15:00",0,0,0,75.04,75.06,75.20,74.98,,,,,,,76.80,76.86,76.99,76.69,,76.47,76.49,76.59,76.39,,69.34,69.08,69.41,68.89,,,,,,,,,,,,,,,,,0,0
"2015-07-24 09:30:00",0,0,0,74.95,74.99,75.09,74.91,,,,,,,76.69,76.77,76.90,76.64,,76.41,76.41,76.52,76.33,,69.53,69.52,69.70,69.31,,,,,,,,,,,,,,,,,0,0
"2015-07-24 09:45:00",0,0,0,74.91,74.93,75.01,74.87,,,,,,,76.62,76.69,76.86,76.54,,76.37,76.34,76.42,76.24,,69.13,69.45,69.65,69.09,,,,,,,,,,,,,,,,,0,0
"2015-07-24 10:00:00",0,0,0,74.99,74.94,75.02,74.87,,,,,,,76.63,76.63,76.76,76.50,,76.29,76.29,76.40,76.19,,68.77,68.84,69.21,68.68,,,,,,,,,,,,,,,,,0,0
"2015-07-24 10:15:00",0,0,0,75.12,75.10,75.26,74.91,,,,,,,76.60,76.58,76.74,76.47,,76.19,76.25,76.34,76.16,,68.46,68.65,68.87,68.42,,,,,,,,,,,,,,,,,0,0
"2015-07-24 10:30:00",0,0,0,75.38,75.22,75.43,74.99,,,,,,,76.50,76.52,76.66,76.39,,76.19,76.20,76.29,76.11,,68.49,68.83,69.11,68.44,,,,,,,,,,,,,,,,,0,0
"2015-07-24 10:45:00",0,0,0,75.06,75.22,75.43,74.98,,,,,,,76.37,76.45,76.59,76.32,,76.07,76.15,76.24,76.06,,68.02,68.14,68.56,67.90,,,,,,,,,,,,,,,,,0,0
"2015-07-24 11:00:00",0,0,0,74.97,75.01,75.10,74.92,,,-56.31,-50.12,,,76.34,76.38,76.51,76.28,,76.00,76.07,76.22,75.96,,67.75,67.75,68.10,67.50,,,,,,,,,,,,,,,,,0,0
"2015-07-24 11:15:00",0,0,0,75.04,74.98,75.08,74.91,,,,-54.30,,,76.34,76.34,76.46,76.25,,76.07,76.05,76.18,75.93,,67.11,67.42,67.78,67.08,,,,,,,,,,,,,,,,,0,0
"2015-07-24 11:30:00",0,0,0,75.31,75.11,75.30,74.98,,,,,,,76.45,76.39,76.53,76.26,,76.11,76.05,76.18,75.96,,66.59,66.85,67.16,66.54,,,,,,,,,,,,,,,,,0,0
"2015-07-24 11:45:00",0,0,0,75.05,75.22,75.32,75.01,,,,,,,76.40,76.42,76.56,76.31,,76.01,76.02,76.13,75.93,,66.56,66.63,66.77,66.44,,,,,,,,,,,,,,,,,0,0
"2015-07-24 12:00:00",0,0,0,75.33,75.08,75.31,74.97,,,,,,,76.44,76.43,76.54,76.31,,75.97,75.99,76.09,75.91,,66.03,66.23,66.58,65.94,,,,,,,,,,,,,,,,,0,0
"2015-07-24 12:15:00",0,0,0,75.03,75.46,75.82,74.97,,-56.14,,-50.00,,,76.36,76.41,76.54,76.28,,75.48,75.80,76.04,75.42,,65.86,65.83,66.06,65.71,,,,,,,,,,,,,,,,,0,0
"2015-07-24 12:30:00",0,0,0,74.90,74.92,75.05,74.84,,-45.63,-51.93,-43.06,,,76.13,76.27,76.43,76.08,,74.88,75.12,75.53,74.83,,66.19,66.05,66.24,65.82,,,,,,,,,,,,,,,,,0,0
"2015-07-24 12:45:00",0,0,0,74.77,74.85,74.95,74.69,,-29.74,-40.67,-23.24,-52.82,,75.93,76.06,76.27,75.89,,74.81,74.80,74.93,74.67,,70.75,67.75,70.76,66.13,,,,,,,,,,,,,,,,,0,0
"2015-07-24 13:00:00",0,0,0,74.79,74.76,74.89,74.62,,-33.00,-33.00,-27.80,-37.82,,75.97,75.95,76.09,75.84,,74.59,74.78,74.91,74.53,,73.08,72.54,73.34,70.75,,,,,,,,,,,,,,,,,0,0
