time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-25 06:45:00",0,0,0,67.43,67.46,67.60,67.34,,74.47,74.47,74.60,74.36,,74.60,74.70,74.89,74.51,,73.45,73.49,73.64,73.37,,65.74,65.86,66.06,65.73,,,,,,,,,,,,,,,,,0,0
"2015-07-25 07:00:00",0,0,0,67.60,67.51,67.66,67.37,,74.45,74.46,74.63,74.30,,74.56,74.58,74.75,74.42,,73.34,73.34,73.51,73.22,,65.98,65.89,66.07,65.69,,,,,,,,,,,,,,,,,0,0
"2015-07-25 07:15:00",0,0,0,67.45,67.57,67.76,67.41,,74.58,74.59,74.84,74.40,,74.40,74.45,74.57,74.31,,73.24,73.25,73.38,73.12,,65.92,65.97,66.12,65.82,,,,,,,,,,,,,,,,,0,0
"2015-07-25 07:30:00",0,0,0,66.84,67.30,67.63,66.80,,74.42,74.49,74.74,74.30,,74.34,74.37,74.51,74.22,,73.03,73.11,73.26,72.97,,65.34,65.68,65.98,65.23,,,,,,,,,,,,,,,,,0,0
"2015-07-25 07:45:00",0,0,0,66.23,66.59,66.96,66.14,,74.30,74.39,74.55,74.20,,74.22,74.25,74.42,74.10,,72.84,72.92,73.10,72.75,,64.57,64.99,65.38,64.56,,,,,,,,,,,,,,,,,0,0
"2015-07-25 08:00:00",0,0,0,66.08,66.19,66.39,66.02,,74.14,74.28,74.45,74.06,,74.08,74.14,74.29,73.98,,72.63,72.73,72.91,72.56,,64.48,64.52,64.65,64.41,,,,,,,,,,,,,,,,,0,0
"2015-07-25 08:15:00",0,0,0,66.33,66.09,66.36,65.94,,74.13,74.18,74.40,73.99,,73.91,73.98,74.15,73.81,,72.49,72.58,72.72,72.39,,64.45,64.41,64.55,64.26,,,,,,,,,,,,,,,,,0,0
"2015-07-25 08:30:00",0,0,0,66.84,66.67,67.06,66.20,,74.06,74.12,74.30,73.95,,73.81,73.85,74.04,73.70,,72.44,72.49,72.64,72.38,,65.13,64.83,65.16,64.45,,,,,,,,,,,,,,,,,0,0
"2015-07-25 08:45:00",0,0,0,66.79,66.99,67.16,66.72,,74.14,74.09,74.26,73.90,,73.62,73.74,73.89,73.59,,72.41,72.47,72.61,72.37,,65.12,65.20,65.32,65.06,,,,,,,,,,,,,,,,,0,0
"2015-07-25 09:00:00",0,0,0,66.39,66.64,66.86,66.37,,74.16,74.22,74.42,74.02,,73.61,73.63,73.82,73.49,,72.18,72.37,72.50,72.19,,64.65,64.87,65.16,64.62,,,,,,,,,,,,,,,,,0,0
"2015-07-25 09:15:00",0,0,0,65.44,65.89,66.48,65.38,,74.08,74.08,74.30,73.87,,73.49,73.53,73.69,73.40,,71.98,72.14,72.35,71.94,,63.57,64.09,64.69,63.47,,,,,,,,,,,,,,,,,0,0
"2015-07-25 09:30:00",0,0,0,64.92,65.12,65.49,64.88,,73.87,73.94,74.15,73.73,,73.35,73.44,73.58,73.30,,71.71,71.81,72.10,71.64,,62.84,63.10,63.56,62.79,,,,,,,,,,,,,,,,,0,0
"2015-07-25 09:45:00",0,0,0,64.75,64.91,65.12,64.59,,73.79,73.82,74.02,73.63,,73.21,73.29,73.46,73.09,,71.58,71.65,71.81,71.48,,62.67,62.76,62.92,62.50,,,,,,,,,,,,,,,,,0,0
