time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-26 06:45:00",0,0,0x000000000020,70.86,71.27,71.57,70.89,,,,,,,76.69,76.88,77.07,76.64,,75.60,75.81,76.03,75.56,,70.58,70.89,71.17,70.56,,,,,,,,,,,,,,,,,0,0
"2015-07-26 07:00:00",0,0,0x000000000020,70.30,70.69,71.28,70.24,,,,,,,76.51,76.64,76.83,76.43,,75.31,75.47,75.66,75.28,,69.86,70.25,70.70,69.79,,,,,,,,,,,,,,,,,0,0
"2015-07-26 07:15:00",0,0,0x000000000020,69.80,70.08,70.31,69.71,,,,,,,76.33,76.42,76.60,76.24,,75.22,75.26,75.38,75.11,,69.20,69.58,69.89,69.13,,,,,,,,,,,,,,,,,0,0
"2015-07-26 07:30:00",0,0,0,68.93,69.36,69.88,68.85,,,,,,,76.11,76.22,76.41,76.03,,74.93,75.06,75.23,74.85,,68.32,68.64,69.23,68.20,,,,,,,,,,,,,,,,,0,0
"2015-07-26 07:45:00",0,0,0,69.04,69.18,69.47,68.87,,,,,,,75.99,76.00,76.22,75.84,,74.73,74.79,74.99,74.62,,68.06,68.27,68.46,68.04,,,,,,,,,,,,,,,,,0,0
"2015-07-26 08:00:00",0,0,0,68.71,68.98,69.20,68.64,,,,,,,75.61,75.81,76.01,75.61,,74.55,74.59,74.81,74.43,,67.70,67.89,68.15,67.68,,,,,,,,,,,,,,,,,0,0
"2015-07-26 08:15:00",0,0,0,67.87,68.28,68.74,67.82,,,,,,,75.50,75.61,75.82,75.41,,74.16,74.34,74.60,74.11,,67.25,67.53,67.78,67.20,,,,,,,,,,,,,,,,,0,0
"2015-07-26 08:30:00",0,0,0,68.24,67.88,68.33,67.72,,,,,,,75.36,75.42,75.57,75.26,,74.07,74.10,74.31,73.97,,67.23,67.17,67.29,67.08,,,,,,,,,,,,,,,,,0,0
"2015-07-26 08:45:00",0,0,0,68.24,68.13,68.46,67.84,,,,,,,75.20,75.26,75.45,75.08,,73.98,74.02,74.13,73.86,,67.19,67.18,67.35,67.04,,,,,,,,,,,,,,,,,0,0
"2015-07-26 09:00:00",0,0,0,69.61,68.56,69.63,68.06,,-50.62,-55.13,-48.08,,,75.05,75.12,75.28,74.95,,73.85,73.93,74.10,73.76,,67.79,67.28,67.86,67.05,,,,,,,,,,,,,,,,,0,0
"2015-07-26 09:15:00",0,0,0,65.67,69.80,71.32,65.67,,-45.68,-46.91,-41.56,-52.65,,74.94,74.99,75.16,74.85,,73.83,73.92,74.12,73.77,,69.58,68.71,69.63,67.80,,,,,,,,,,,,,,,,,0,0
"2015-07-26 09:30:00",0,0,0,61.10,62.21,65.60,61.02,,-38.77,-43.14,-34.71,-50.11,,74.81,74.92,75.08,74.74,,72.37,72.93,73.86,72.28,,68.88,69.17,69.62,68.70,,,,,,,,,,,,,,,,,0,0
"2015-07-26 09:45:00",0,0,0,60.09,60.52,61.13,60.02,,-22.60,-25.45,-12.73,-38.43,,74.56,74.66,74.93,74.45,,71.77,72.09,72.44,71.73,,67.73,68.28,68.96,67.64,,,,,,,,,,,,,,,,,0,0
"2015-07-26 10:00:00",0,0,0,59.35,59.63,60.12,59.33,,-27.99,-23.59,-15.98,-28.60,,74.21,74.40,74.62,74.19,,71.45,71.64,71.86,71.39,,67.24,67.27,67.73,67.07,,,,,,,,,,,,,,,,,0,0
"2015-07-26 10:15:00",0,0,0,59.26,59.19,59.46,58.93,,-22.11,-22.56,-13.61,-28.89,,74.03,74.15,74.35,73.94,,71.29,71.31,71.53,71.13,,66.38,66.88,67.30,66.35,,,,,,,,,,,,,,,,,0,0
"2015-07-26 10:30:00",0,0,0,62.59,60.53,62.62,59.20,,-26.65,-24.64,-18.83,-31.16,,73.82,73.92,74.15,73.71,,71.21,71.15,71.36,71.02,,65.59,65.97,66.42,65.52,,,,,,,,,,,,,,,,,0,0
"2015-07-26 10:45:00",0,0,0,64.88,64.24,65.04,62.56,,-28.14,-23.14,-14.55,-31.14,,73.67,73.77,73.91,73.62,,71.77,71.58,71.87,71.17,,64.83,65.31,65.62,64.78,,,,,,,,,,,,,,,,,0,0
"2015-07-26 11:00:00",0,0,0,66.08,65.63,66.24,64.80,,-24.55,-24.69,-19.95,-30.76,,73.65,73.69,73.87,73.54,,71.93,71.87,72.01,71.71,,64.68,64.77,65.03,64.58,,,,,,,,,,,,,,,,,0,0
"2015-07-26 11:15:00",0,0,0,66.09,66.08,66.31,65.88,,-26.41,-24.21,-17.74,-28.17,,73.59,73.61,73.76,73.48,,71.91,71.94,72.06,71.84,,64.64,64.64,64.76,64.48,,,,,,,,,,,,,,,,,0,0
"2015-07-26 11:30:00",0,0,0,65.53,65.76,66.09,65.47,,-24.70,-25.39,-21.80,-28.84,,73.44,73.53,73.68,73.40,,71.72,71.83,72.01,71.66,,63.91,64.16,64.65,63.87,,,,,,,,,,,,,,,,,0,0
"2015-07-26 11:45:00",0,0,0,65.03,65.26,65.56,64.97,,-27.48,-25.95,-22.17,-28.83,,73.31,73.43,73.57,73.26,,71.59,71.64,71.80,71.48,,63.51,63.68,64.00,63.36,,,,,,,,,,,,,,,,,0,0
"2015-07-26 12:00:00",0,0,0,65.22,65.16,65.34,64.99,,-25.36,-24.65,-17.43,-28.75,,73.26,73.28,73.43,73.10,,71.40,71.47,71.64,71.32,,63.23,63.41,63.60,63.16,,,,,,,,,,,,,,,,,0,0
"2015-07-26 12:15:00",0,0,0,64.64,64.86,65.29,64.50,,-30.04,-23.98,-15.47,-29.44,,73.00,73.10,73.30,72.91,,71.28,71.34,71.50,71.18,,62.82,63.03,63.31,62.78,,,,,,,,,,,,,,,,,0,0
"2015-07-26 12:30:00",0,0,0,64.06,64.38,64.74,64.04,,-23.37,-27.10,-23.43,-30.25,,72.88,72.92,73.10,72.76,,70.89,71.13,71.36,70.88,,63.07,62.78,63.23,62.31,,,,,,,,,,,,,,,,,0,0
"2015-07-26 12:45:00",0,0,0,64.63,64.14,64.70,63.88,,-26.73,-28.37,-23.66,-32.21,,72.76,72.80,72.98,72.63,,70.88,70.85,71.01,70.73,,66.00,64.19,66.05,62.83,,,,,,,,,,,,,,,,,0,0
"2015-07-26 13:00:00",0,0,0,65.37,65.21,65.66,64.57,,-31.51,-29.35,-23.63,-32.97,,72.64,72.67,72.83,72.52,,71.01,70.96,71.14,70.80,,65.13,66.15,66.84,65.14,,,,,,,,,,,,,,,,,0,0
"2015-07-26 13:15:00",0,0,0,65.54,65.27,65.57,65.08,,-36.42,-34.00,-29.09,-37.79,,72.61,72.64,72.82,72.52,,70.92,71.03,71.17,70.88,,64.48,64.61,65.21,64.33,,,,,,,,,,,,,,,,,0,0
"2015-07-26 13:30:00",0,0,0,67.07,66.46,67.15,65.51,,-39.08,-35.25,-32.05,-39.38,,72.57,72.63,72.77,72.47,,71.29,71.12,71.42,70.88,,65.82,65.27,65.90,64.43,,,,,,,,,,,,,,,,,0,0
"2015-07-26 13:45:00",0,0,0,68.03,67.63,68.08,67.04,,-39.39,-40.86,-36.71,-43.14,,72.60,72.60,72.73,72.47,,71.55,71.38,71.56,71.21,,67.99,66.71,68.03,65.82,,,,,,,,,,,,,,,,,0,0
