time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-27 07:30:00",0,0,0x000000000020,75.98,77.49,78.22,76.01,,,,,,,77.18,77.30,77.49,77.14,,,77.20,77.38,77.01,,75.59,76.68,77.28,75.59,,,,,,,,,,,,,,,,,0,0
"2015-07-27 07:45:00",0,0,0x000000000020,77.30,75.98,77.37,75.08,,,,,,,76.97,77.01,77.36,76.82,,76.80,76.82,77.14,76.64,,76.18,75.33,76.26,74.72,,,,,,,,,,,,,,,,,0,0
"2015-07-27 08:00:00",0,0,0x000000000020,77.60,77.55,77.86,77.31,,,,,,,76.97,76.97,77.15,76.79,,76.99,76.92,77.05,76.75,,76.79,76.54,76.90,76.18,,,,,,,,,,,,,,,,,0,0
"2015-07-27 08:15:00",0,0,0x000000000020,77.93,78.02,78.24,77.55,,,,,,,77.15,77.09,77.28,76.95,,77.11,77.06,77.22,76.92,,76.91,77.02,77.25,76.74,,,,,,,,,,,,,,,,,0,0
"2015-07-27 08:30:00",0,0,0x000000000020,77.87,77.87,78.01,77.77,,,,,,,77.13,77.13,77.29,76.96,,77.12,77.12,77.24,77.00,,76.89,76.93,77.07,76.80,,,,,,,,,,,,,,,,,0,0
"2015-07-27 08:45:00",0,0,0x000000000020,77.81,77.74,77.93,77.57,,,,,,,77.08,77.12,77.29,76.99,,77.05,77.08,77.22,76.96,,76.77,76.73,76.94,76.54,,,,,,,,,,,,,,,,,0,0
"2015-07-27 09:00:00",0,0,0x000000000020,77.31,77.64,77.92,77.25,,,,,,,77.11,77.10,77.28,76.95,,76.99,77.06,77.19,76.94,,76.33,76.61,76.87,76.27,,,,,,,,,,,,,,,,,0,0
"2015-07-27 09:15:00",0,0,0x000000000020,70.79,76.85,77.94,70.79,,,,,,,77.07,77.06,77.25,76.94,,76.65,76.97,77.11,76.64,,76.92,76.74,77.00,76.32,,,,,,,,,,,,,,,,,0,0
"2015-07-27 09:30:00",0,0,0x000000000020,64.68,66.13,70.80,64.65,,,,,,,76.73,76.85,77.11,76.67,,75.00,75.69,76.70,74.96,,74.98,76.34,77.02,74.95,,,,,,,,,,,,,,,,,0,0
"2015-07-27 09:45:00",0,0,0x000000000020,63.43,63.97,64.69,63.38,,,,,,,76.40,76.61,76.85,76.33,,74.40,74.69,75.16,74.33,,72.02,73.13,74.95,71.94,,,,,,,,,,,,,,,,,0,0
