time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-28 06:45:00",0,0,0,78.41,78.46,79.38,78.04,,76.35,76.41,76.59,76.30,,78.25,78.37,78.54,78.21,,78.26,78.33,78.50,78.19,,75.42,75.77,76.32,75.37,,,,,,,,,,,,,,,,,0,0
"2015-07-28 06:59:46",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015-07-28 07:00:30",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015-07-28 07:00:31",0,0,0,78.16,78.60,78.89,78.09,,76.22,76.33,76.43,76.21,,78.30,78.30,78.44,78.15,,78.25,78.24,78.35,78.14,,75.17,75.45,75.66,75.17,,,,,,,,,,,,,,,,,0,0
"2015-07-28 07:15:00",0,0,0,74.56,75.98,78.20,74.44,,76.21,76.25,76.38,76.15,,77.87,78.10,78.40,77.73,,77.43,77.87,78.26,77.34,,74.02,74.61,75.24,73.97,,,,,,,,,,,,,,,,,0,0
"2015-07-28 07:30:00",0,0,0,75.15,74.92,75.32,74.42,,76.15,76.19,76.29,76.09,,77.40,77.52,77.93,77.23,,77.07,77.20,77.45,77.01,,73.93,73.77,74.09,73.43,,,,,,,,,,,,,,,,,0,0
"2015-07-28 07:45:00",0,0,0,74.66,75.06,75.41,74.60,,76.02,76.14,76.24,76.01,,77.08,77.24,77.47,76.98,,76.89,76.98,77.12,76.83,,73.85,73.93,74.11,73.77,,,,,,,,,,,,,,,,,0,0
"2015-07-28 08:00:00",0,0,0,74.12,74.27,74.75,73.86,,76.05,76.07,76.25,75.93,,76.95,77.01,77.19,76.83,,76.64,76.77,76.97,76.59,,72.76,73.34,73.86,72.74,,,,,,,,,,,,,,,,,0,0
"2015-07-28 08:15:00",0,0,0,74.03,73.75,74.28,73.09,,76.15,76.10,76.24,75.94,,76.92,76.98,77.13,76.86,,76.50,76.54,76.71,76.40,,72.00,72.30,72.90,71.90,,,,,,,,,,,,,,,,,0,0
"2015-07-28 08:30:00",0,0,0,72.64,73.23,74.16,72.56,,75.95,76.04,76.20,75.88,,76.90,76.91,77.03,76.77,,76.29,76.38,76.56,76.20,,71.53,71.77,72.07,71.46,,,,,,,,,,,,,,,,,0,0
"2015-07-28 08:45:00",0,0,0,70.98,71.41,72.63,70.79,,75.90,75.91,76.05,75.79,,76.74,76.86,77.00,76.70,,75.97,76.09,76.32,75.91,,70.78,71.15,71.58,70.72,,,,,,,,,,,,,,,,,0,0
"2015-07-28 09:00:00",0,0,0,69.92,70.77,71.30,69.90,,-35.88,-22.46,75.95,-53.09,,76.61,76.69,76.87,76.51,,75.73,75.83,76.02,75.66,,70.03,70.42,70.79,69.96,,,,,,,,,,,,,,,,,0,0
"2015-07-28 09:15:00",0,0,0,71.17,71.03,71.64,69.72,,-19.40,-24.57,-10.36,-36.18,,76.39,76.50,76.70,76.25,,75.60,75.60,75.75,75.44,,69.80,69.75,70.13,69.55,,,,,,,,,,,,,,,,,0,0
"2015-07-28 09:30:00",0,0,0,71.99,71.05,72.06,70.38,,-10.88,-13.45,-6.38,-24.35,,76.24,76.32,76.46,76.16,,75.46,75.50,75.68,75.38,,69.66,69.59,69.85,69.35,,,,,,,,,,,,,,,,,0,0
"2015-07-28 09:45:00",0,0,0,70.87,71.30,72.32,70.35,,75.30,22.53,75.49,-16.51,,76.11,76.17,76.35,76.01,,75.33,75.43,75.56,75.28,,69.14,69.52,69.77,69.10,,,,,,,,,,,,,,,,,0,0
"2015-07-28 10:00:00",0,0,0,71.23,70.98,71.36,70.42,,75.54,75.38,75.64,75.18,,75.95,76.07,76.23,75.91,,75.23,75.28,75.39,75.19,,68.73,68.91,69.23,68.65,,,,,,,,,,,,,,,,,0,0
"2015-07-28 10:15:00",0,0,0,72.02,72.19,72.78,71.11,,75.25,75.36,75.64,75.15,,75.86,75.91,76.07,75.75,,75.22,75.27,75.35,75.18,,69.16,69.11,69.49,68.64,,,,,,,,,,,,,,,,,0,0
"2015-07-28 10:30:00",0,0,0,58.64,62.62,72.04,58.63,,75.18,75.22,75.42,75.05,,75.74,75.79,75.95,75.65,,73.26,74.21,75.32,73.21,,69.20,69.03,69.26,68.75,,,,,,,,,,,,,,,,,0,0
"2015-07-28 10:45:00",0,0,0,57.50,57.96,58.69,57.43,,75.10,75.12,75.30,74.99,,75.33,75.53,75.81,75.28,,72.34,72.75,73.29,72.21,,68.75,68.95,69.31,68.61,,,,,,,,,,,,,,,,,0,0
"2015-07-28 11:00:00",0,0,0,57.76,57.11,57.79,56.82,,74.94,75.03,75.20,74.83,,75.02,75.17,75.42,74.87,,71.93,72.13,72.41,71.88,,68.87,68.71,68.92,68.51,,,,,,,,,,,,,,,,,0,0
"2015-07-28 11:15:00",0,0,0,66.06,61.70,66.12,57.76,,74.89,74.96,75.11,74.65,,74.76,74.83,75.08,74.66,,72.91,72.26,72.96,71.86,,68.22,68.64,68.98,68.23,,,,,,,,,,,,,,,,,0,0
"2015-07-28 11:30:00",0,0,0,68.18,67.50,68.35,66.08,,75.29,75.14,75.37,74.91,,74.92,74.82,75.01,74.63,,73.64,73.35,73.71,72.85,,67.53,67.90,68.35,67.47,,,,,,,,,,,,,,,,,0,0
"2015-07-28 11:45:00",0,0,0,68.03,68.19,68.47,67.99,,75.39,75.32,75.57,75.13,,75.01,75.00,75.17,74.79,,73.83,73.73,73.88,73.58,,66.72,67.11,67.55,66.66,,,,,,,,,,,,,,,,,0,0
