time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-29 07:15:00",0,0,0,73.56,72.94,73.66,72.46,,75.62,75.73,75.85,75.60,,78.44,78.61,78.80,78.37,,77.15,77.22,77.55,77.04,,72.21,72.33,72.68,72.10,,,,,,,,,,,,,,,,,0,0
"2015-07-29 07:30:00",0,0,0,72.18,72.49,73.71,71.68,,75.41,75.49,75.76,75.37,,78.29,78.36,78.58,78.10,,76.82,76.98,77.25,76.72,,71.75,71.90,72.29,71.60,,,,,,,,,,,,,,,,,0,0
"2015-07-29 07:45:00",0,0,0,72.79,72.80,73.06,72.23,,75.37,75.38,75.48,75.29,,78.04,78.16,78.40,77.88,,76.72,76.79,76.90,76.70,,71.92,71.88,72.11,71.68,,,,,,,,,,,,,,,,,0,0
"2015-07-29 08:00:00",0,0,0,72.27,72.24,72.85,72.00,,75.33,75.30,75.40,75.22,,77.94,77.97,78.16,77.78,,76.57,76.63,76.83,76.47,,71.67,71.65,71.95,71.49,,,,,,,,,,,,,,,,,0,0
"2015-07-29 08:15:00",0,0,0,72.49,72.72,73.10,72.23,,75.31,75.35,75.45,75.24,,77.74,77.81,78.03,77.55,,76.51,76.53,76.62,76.45,,72.00,71.82,72.14,71.48,,,,,,,,,,,,,,,,,0,0
"2015-07-29 08:30:00",0,0,0,72.22,71.70,72.54,71.28,,75.14,75.23,75.35,75.08,,77.57,77.65,77.84,77.49,,76.31,76.37,76.57,76.21,,71.54,71.74,72.11,71.51,,,,,,,,,,,,,,,,,0,0
"2015-07-29 08:45:00",0,0,0,71.75,72.05,72.69,71.27,,75.02,75.08,75.24,74.98,,77.38,77.49,77.74,77.31,,76.15,76.26,76.38,76.11,,70.96,71.33,71.72,70.83,,,,,,,,,,,,,,,,,0,0
"2015-07-29 09:00:00",0,0,0,71.38,71.01,71.81,70.61,,74.87,75.00,75.14,74.84,,77.37,77.35,77.52,77.17,,75.96,76.04,76.23,75.87,,70.04,70.49,70.97,70.04,,,,,,,,,,,,,,,,,0,0
"2015-07-29 09:15:00",0,0,0,62.76,69.78,71.46,62.76,,74.88,74.85,74.95,74.76,,77.04,77.18,77.40,76.95,,75.47,75.88,76.05,75.40,,68.82,69.70,70.23,68.81,,,,,,,,,,,,,,,,,0,0
"2015-07-29 09:30:00",0,0,0,56.34,58.28,62.80,56.25,,74.65,74.76,74.91,74.64,,76.73,76.93,77.19,76.64,,73.50,74.27,75.44,73.46,,67.29,68.00,68.88,67.25,,,,,,,,,,,,,,,,,0,0
"2015-07-29 09:45:00",0,0,0,58.49,56.44,58.48,55.62,,74.61,74.67,74.81,74.56,,76.20,76.45,76.77,76.11,,73.08,73.17,73.57,72.95,,66.19,66.43,67.32,66.12,,,,,,,,,,,,,,,,,0,0
"2015-07-29 10:00:00",0,0,0,64.67,62.49,64.80,58.46,,74.84,74.71,74.87,74.56,,75.97,76.05,76.28,75.88,,73.75,73.42,73.81,72.99,,66.46,66.39,66.67,66.10,,,,,,,,,,,,,,,,,0,0
"2015-07-29 10:15:00",0,0,0,67.06,65.91,67.19,64.53,,74.56,74.66,74.88,74.46,,75.82,75.91,76.04,75.71,,74.06,73.89,74.13,73.69,,66.45,66.26,66.52,65.90,,,,,,,,,,,,,,,,,0,0
"2015-07-29 10:30:00",0,0,0,69.46,69.25,70.52,67.05,,74.39,74.45,74.57,74.29,,75.79,75.78,75.95,75.66,,74.45,74.35,74.55,74.02,,67.36,67.27,67.67,66.40,,,,,,,,,,,,,,,,,0,0
"2015-07-29 10:45:00",0,0,0,67.52,68.44,69.95,67.37,,74.21,74.27,74.44,74.11,,75.70,75.74,75.88,75.62,,74.22,74.40,74.57,74.12,,66.36,66.94,67.42,66.29,,,,,,,,,,,,,,,,,0,0
"2015-07-29 11:00:00",0,0,0,67.50,66.58,67.62,65.80,,74.03,74.11,74.28,73.95,,75.58,75.68,75.84,75.51,,74.02,73.98,74.26,73.79,,65.09,65.49,66.36,65.06,,,,,,,,,,,,,,,,,0,0
"2015-07-29 11:15:00",0,0,0,65.21,66.71,67.62,65.21,,73.81,73.89,74.08,73.75,,75.41,75.56,75.74,75.35,,73.76,73.96,74.15,73.68,,64.93,65.46,65.92,64.93,,,,,,,,,,,,,,,,,0,0
"2015-07-29 11:30:00",0,0,0,64.37,64.63,65.25,64.32,,73.90,73.87,73.99,73.77,,75.18,75.29,75.52,75.04,,73.38,73.47,73.80,73.25,,63.94,64.29,64.98,63.87,,,,,,,,,,,,,,,,,0,0
"2015-07-29 11:45:00",0,0,0,63.40,63.71,64.42,63.16,,74.05,73.93,74.14,73.80,,74.89,75.01,75.28,74.78,,72.77,73.03,73.41,72.72,,63.12,63.35,63.94,62.99,,,,,,,,,,,,,,,,,0,0
"2015-07-29 12:00:00",0,0,0,62.98,63.28,63.56,62.87,,74.01,74.09,74.20,73.97,,74.46,74.65,74.93,74.40,,72.60,72.72,72.85,72.55,,62.49,62.79,63.16,62.50,,,,,,,,,,,,,,,,,0,0
"2015-07-29 12:15:00",0,0,0,62.09,62.74,63.14,62.02,,72.26,73.49,74.12,72.23,,74.15,74.33,74.64,74.09,,72.19,72.41,72.67,72.14,,62.01,62.56,63.12,61.93,,,,,,,,,,,,,,,,,0,0
