time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-30 07:00:00",0,0,0,67.86,68.90,71.78,67.83,,75.47,75.54,75.69,75.41,,76.92,77.00,77.22,76.82,,75.70,75.99,76.43,75.59,,69.43,70.40,72.61,69.35,,,,,,,,,,,,,,,,,0,0
"2015-07-30 07:15:00",0,0,0,68.50,68.13,68.60,67.66,,75.39,75.42,75.53,75.33,,76.61,76.74,76.99,76.48,,75.30,75.45,75.70,75.26,,69.59,69.50,69.70,69.23,,,,,,,,,,,,,,,,,0,0
"2015-07-30 07:30:00",0,0,0,69.57,68.72,69.59,68.10,,75.25,75.36,75.48,75.24,,76.35,76.49,76.73,76.29,,75.23,75.25,75.38,75.14,,69.65,69.46,69.71,69.21,,,,,,,,,,,,,,,,,0,0
"2015-07-30 07:45:00",0,0,0,69.69,69.71,69.99,69.45,,74.98,75.09,75.38,74.93,,76.16,76.30,76.45,76.11,,75.25,75.21,75.32,75.08,,70.01,69.93,70.18,69.62,,,,,,,,,,,,,,,,,0,0
"2015-07-30 08:00:00",0,0,0,68.46,69.42,69.75,68.41,,74.93,74.97,75.08,74.89,,76.14,76.14,76.27,75.98,,74.98,75.10,75.30,74.93,,69.09,69.64,70.03,69.05,,,,,,,,,,,,,,,,,0,0
"2015-07-30 08:15:00",0,0,0,67.73,67.66,68.44,67.42,,74.85,74.90,75.00,74.78,,75.88,75.98,76.17,75.80,,74.57,74.76,75.05,74.57,,67.80,68.11,69.16,67.75,,,,,,,,,,,,,,,,,0,0
"2015-07-30 08:30:00",0,0,0,67.65,67.72,67.98,67.44,,74.89,74.92,75.07,74.77,,75.66,75.79,75.98,75.62,,74.43,74.53,74.68,74.40,,67.55,67.71,67.88,67.47,,,,,,,,,,,,,,,,,0,0
"2015-07-30 08:45:00",0,0,0,67.70,67.71,67.96,67.49,,73.67,74.52,74.92,73.67,,75.50,75.64,75.80,75.46,,74.33,74.36,74.53,74.23,,67.46,67.56,67.72,67.41,,,,,,,,,,,,,,,,,0,0
"2015-07-30 09:00:00",0,0,0,67.68,67.65,67.94,67.39,,74.27,74.07,74.44,72.60,,75.43,75.47,75.64,75.33,,74.22,74.26,74.42,74.16,,67.22,67.36,67.58,67.13,,,,,,,,,,,,,,,,,0,0
"2015-07-30 09:15:00",0,0,0,68.14,67.86,68.19,67.66,,74.03,74.15,74.36,73.97,,75.26,75.35,75.50,75.22,,74.04,74.15,74.29,74.02,,67.30,67.20,67.33,67.12,,,,,,,,,,,,,,,,,0,0
