time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-31 07:30:00",0,0,0,70.02,69.85,70.17,69.36,,75.83,75.79,75.91,75.67,,76.39,76.50,76.73,76.34,,75.46,75.48,75.60,75.38,,69.54,69.61,69.76,69.41,,,,,,,,,,,,,,,,,0,0
"2015-07-31 07:45:00",0,0,0,70.45,70.24,70.50,69.95,,75.59,75.69,75.83,75.53,,76.24,76.34,76.49,76.19,,75.33,75.36,75.47,75.25,,69.88,69.72,69.93,69.51,,,,,,,,,,,,,,,,,0,0
"2015-07-31 08:00:00",0,0,0,70.13,70.28,70.78,69.87,,75.49,75.57,75.71,75.45,,76.21,76.21,76.35,76.05,,75.18,75.27,75.42,75.07,,69.98,70.08,70.32,69.81,,,,,,,,,,,,,,,,,0,0
"2015-07-31 08:15:00",0,0,0,69.34,69.81,70.33,69.23,,75.39,75.46,75.58,75.37,,76.02,76.09,76.23,75.93,,74.97,75.08,75.25,74.91,,69.05,69.69,70.17,69.01,,,,,,,,,,,,,,,,,0,0
"2015-07-31 08:30:00",0,0,0,68.05,68.44,69.32,67.88,,75.56,75.44,75.61,75.33,,75.79,75.93,76.09,75.74,,74.68,74.83,74.99,74.60,,67.88,68.29,69.13,67.84,,,,,,,,,,,,,,,,,0,0
"2015-07-31 08:45:00",0,0,0,68.72,68.42,68.78,67.98,,75.33,75.48,75.64,75.32,,75.76,75.76,75.92,75.60,,74.59,74.62,74.74,74.47,,67.96,67.87,67.95,67.79,,,,,,,,,,,,,,,,,0,0
"2015-07-31 09:00:00",0,0,0,67.29,68.23,68.82,67.25,,75.30,75.31,75.46,75.16,,75.51,75.62,75.75,75.45,,74.39,74.49,74.67,74.29,,67.25,67.82,68.11,67.24,,,,,,,,,,,,,,,,,0,0
"2015-07-31 09:15:00",0,0,0,67.52,67.53,67.75,67.18,,75.12,75.19,75.33,75.05,,75.41,75.47,75.69,75.30,,74.14,74.23,74.44,74.05,,67.07,67.08,67.29,66.99,,,,,,,,,,,,,,,,,0,0
"2015-07-31 09:30:00",0,0,0,67.55,67.44,67.61,67.34,,74.91,74.99,75.19,74.86,,75.30,75.34,75.48,75.17,,74.06,74.10,74.21,74.02,,66.92,66.99,67.14,66.87,,,,,,,,,,,,,,,,,0,0
"2015-07-31 09:45:00",0,0,0,67.39,67.16,67.57,66.78,,74.87,74.88,75.01,74.74,,75.15,75.19,75.35,75.02,,73.82,73.89,74.13,73.70,,66.35,66.52,66.98,66.18,,,,,,,,,,,,,,,,,0,0
