time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-08-01 06:45:00",0,0,0,77.48,78.03,78.82,77.36,,76.08,75.98,76.14,75.84,,79.53,79.67,79.86,79.36,,79.20,79.31,79.55,79.08,,76.72,77.26,78.09,76.71,,,,,,,,,,,,,,,,,0,0
"2015-08-01 07:00:00",0,0,0,76.70,77.07,77.54,76.68,,75.90,75.98,76.14,75.83,,79.21,79.35,79.63,79.08,,78.81,78.99,79.21,78.73,,76.12,76.41,76.80,76.00,,,,,,,,,,,,,,,,,0,0
"2015-08-01 07:15:00",0,0,0,76.33,76.53,76.73,76.31,,75.78,75.86,76.02,75.74,,78.97,79.05,79.36,78.77,,78.63,78.71,78.87,78.52,,75.61,75.88,76.11,75.60,,,,,,,,,,,,,,,,,0,0
"2015-08-01 07:30:00",0,0,0,76.04,76.18,76.36,75.96,,75.79,75.80,75.91,75.71,,78.83,78.84,79.05,78.65,,78.37,78.47,78.67,78.29,,75.29,75.47,75.70,75.22,,,,,,,,,,,,,,,,,0,0
"2015-08-01 07:45:00",0,0,0,75.67,75.86,76.07,75.60,,75.76,75.76,75.91,75.68,,78.65,78.66,78.87,78.42,,78.18,78.25,78.47,78.09,,74.95,75.16,75.36,74.93,,,,,,,,,,,,,,,,,0,0
"2015-08-01 08:00:00",0,0,0,75.46,75.52,75.69,75.38,,75.70,75.72,75.82,75.61,,78.51,78.57,78.73,78.37,,77.90,78.04,78.24,77.84,,74.67,74.85,75.03,74.65,,,,,,,,,,,,,,,,,0,0
"2015-08-01 08:15:00",0,0,0,74.96,75.06,75.48,74.86,,75.66,75.66,75.75,75.56,,78.50,78.46,78.62,78.29,,77.70,77.81,78.02,77.60,,74.31,74.40,74.75,74.20,,,,,,,,,,,,,,,,,0,0
"2015-08-01 08:30:00",0,0,0,74.99,74.96,75.08,74.87,,75.78,75.67,75.85,75.52,,78.18,78.29,78.57,78.09,,77.59,77.59,77.77,77.47,,74.21,74.24,74.38,74.11,,,,,,,,,,,,,,,,,0,0
"2015-08-01 08:45:00",0,0,0,74.48,74.67,75.04,74.43,,75.81,75.83,75.96,75.70,,78.03,78.09,78.29,77.88,,77.37,77.47,77.66,77.27,,73.91,74.01,74.25,73.83,,,,,,,,,,,,,,,,,0,0
"2015-08-01 09:00:00",0,0,0,73.52,73.75,74.52,73.39,,75.54,75.66,75.90,75.49,,77.84,78.01,78.19,77.82,,77.03,77.22,77.44,76.95,,73.02,73.46,73.99,73.02,,,,,,,,,,,,,,,,,0,0
"2015-08-01 09:15:00",0,0,0,67.04,72.60,73.59,67.05,,75.42,75.49,75.63,75.39,,77.76,77.85,78.06,77.64,,76.46,76.88,77.08,76.43,,71.96,72.44,73.09,71.87,,,,,,,,,,,,,,,,,0,0
"2015-08-01 09:30:00",0,0,0,62.65,63.85,67.00,62.63,,75.38,75.44,75.54,75.37,,77.50,77.63,77.85,77.37,,75.20,75.72,76.51,75.19,,71.72,71.81,72.02,71.67,,,,,,,,,,,,,,,,,0,0
"2015-08-01 09:45:00",0,0,0,62.60,62.64,63.00,62.32,,75.45,75.42,75.55,75.35,,76.97,77.23,77.59,76.89,,74.74,74.98,75.29,74.66,,71.34,71.53,71.78,71.30,,,,,,,,,,,,,,,,,0,0
"2015-08-01 10:00:00",0,0,0,62.65,62.57,62.72,62.47,,75.43,75.41,75.49,75.31,,76.75,76.85,77.06,76.65,,74.45,74.53,74.77,74.38,,71.80,71.51,71.82,71.28,,,,,,,,,,,,,,,,,0,0
"2015-08-01 10:15:00",0,0,0,62.64,62.62,62.76,62.53,,75.41,75.38,75.47,75.29,,76.51,76.58,76.84,76.38,,74.27,74.36,74.54,74.17,,72.15,71.96,72.24,71.71,,,,,,,,,,,,,,,,,0,0
"2015-08-01 10:30:00",0,0,0,62.31,62.49,62.68,62.25,,75.64,75.54,75.74,75.34,,76.34,76.39,76.56,76.23,,74.02,74.14,74.29,73.96,,71.39,71.79,72.21,71.31,,,,,,,,,,,,,,,,,0,0
"2015-08-01 10:45:00",0,0,0,62.05,62.15,62.34,61.95,,75.42,75.47,75.67,75.33,,76.14,76.21,76.38,76.05,,73.82,73.90,74.10,73.71,,70.55,70.94,71.45,70.51,,,,,,,,,,,,,,,,,0,0
"2015-08-01 11:00:00",0,0,0,61.86,61.92,62.14,61.67,,75.33,75.35,75.46,75.23,,75.91,76.06,76.27,75.90,,73.60,73.73,73.91,73.53,,69.86,70.21,70.62,69.83,,,,,,,,,,,,,,,,,0,0
"2015-08-01 11:15:00",0,0,0,61.59,61.71,61.98,61.50,,75.24,75.29,75.38,75.19,,75.75,75.88,76.07,75.69,,73.48,73.50,73.68,73.34,,69.68,69.81,69.98,69.66,,,,,,,,,,,,,,,,,0,0
