time(UTC),error,lowalarm,highalarm,"Vent (Degrees F)","Vent Ave (Degrees F)","Vent Min (Degrees F)","Vent Max (Degrees F)","-","Office (Degrees F)","Office Ave (Degrees F)","Office Min (Degrees F)","Office Max (Degrees F)","-","Bay - High (Degrees F)","Bay - High Ave (Degrees F)","Bay - High Min (Degrees F)","Bay - High Max (Degrees F)","-","Bay - Low (Degrees F)","Bay - Low Ave (Degrees F)","Bay - Low Min (Degrees F)","Bay - Low Max (Degrees F)","-","Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-08-02 07:15:00",0,0,0x000000000020,75.92,75.82,76.00,75.57,,,,,,,78.13,78.13,78.31,77.96,,77.55,77.58,77.68,77.46,,75.16,75.08,75.29,74.85,,,,,,,,,,,,,,,,,0,0
"2015-08-02 07:30:00",0,0,0x000000000020,75.76,75.83,75.99,75.72,,,,,,,77.98,78.08,78.27,77.88,,77.43,77.50,77.64,77.35,,75.02,75.07,75.27,74.93,,,,,,,,,,,,,,,,,0,0
"2015-08-02 07:45:00",0,0,0x000000000020,75.22,75.49,75.82,75.19,,,,,,,77.81,77.92,78.16,77.68,,77.31,77.37,77.52,77.18,,74.30,74.69,75.06,74.31,,,,,,,,,,,,,,,,,0,0
"2015-08-02 08:00:00",0,0,0x000000000020,75.21,75.13,75.28,75.01,,,,,,,77.71,77.81,78.01,77.62,,77.08,77.17,77.38,77.02,,74.28,74.29,74.44,74.18,,,,,,,,,,,,,,,,,0,0
"2015-08-02 08:15:00",0,0,0x000000000020,75.53,75.33,75.53,75.15,,,,,,,77.61,77.67,77.88,77.46,,76.95,77.02,77.26,76.90,,74.66,74.47,74.74,74.26,,,,,,,,,,,,,,,,,0,0
"2015-08-02 08:30:00",0,0,0x000000000020,75.71,75.60,75.75,75.46,,,,,,,77.57,77.59,77.78,77.39,,76.97,76.99,77.14,76.90,,74.79,74.70,74.87,74.59,,,,,,,,,,,,,,,,,0,0
"2015-08-02 08:45:00",0,0,0x000000000020,75.81,75.71,75.89,75.58,,,,,,,77.29,77.39,77.68,77.18,,76.93,76.95,77.06,76.86,,74.93,74.85,75.08,74.66,,,,,,,,,,,,,,,,,0,0
"2015-08-02 09:00:00",0,0,0x000000000020,75.95,75.92,76.06,75.75,,,,,,,77.20,77.23,77.44,77.07,,76.92,76.94,77.06,76.87,,75.11,75.06,75.25,74.90,,,,,,,,,,,,,,,,,0,0
"2015-08-02 09:15:00",0,0,0x000000000020,69.13,74.69,75.98,69.16,,,,,,,77.27,77.23,77.43,77.06,,76.59,76.86,77.05,76.53,,74.03,74.60,75.15,74.00,,,,,,,,,,,,,,,,,0,0
"2015-08-02 09:30:00",0,0,0x000000000020,64.84,65.78,69.12,64.77,,,,,,,77.28,77.32,77.51,77.13,,75.25,75.75,76.58,75.25,,72.14,73.02,74.08,72.11,,,,,,,,,,,,,,,,,0,0
"2015-08-02 09:45:00",0,0,0x000000000020,64.38,64.54,64.87,64.36,,,,,,,76.91,77.04,77.34,76.82,,74.85,75.08,75.34,74.85,,71.56,71.80,72.22,71.46,,,,,,,,,,,,,,,,,0,0
"2015-08-02 10:00:00",0,0,0x000000000020,64.08,64.25,64.44,64.04,,,,,,,76.69,76.78,76.97,76.53,,74.65,74.76,74.93,74.54,,71.28,71.43,71.63,71.27,,,,,,,,,,,,,,,,,0,0
"2015-08-02 10:15:00",0,0,0x000000000020,64.02,64.09,64.19,63.96,,,,,,,76.47,76.55,76.72,76.33,,74.38,74.50,74.70,74.34,,71.12,71.23,71.42,71.03,,,,,,,,,,,,,,,,,0,0
"2015-08-02 10:30:00",0,0,0x000000000020,63.94,63.96,64.08,63.85,,,,,,,76.25,76.37,76.55,76.20,,74.17,74.30,74.52,74.08,,71.14,71.06,71.20,70.91,,,,,,,,,,,,,,,,,0,0
"2015-08-02 10:45:00",0,0,0x000000000020,63.81,63.91,64.05,63.74,,,,,,,76.13,76.20,76.36,76.05,,74.02,74.11,74.27,73.97,,71.54,71.38,71.65,71.12,,,,,,,,,,,,,,,,,0,0
"2015-08-02 11:00:00",0,0,0x000000000020,63.60,63.67,63.85,63.51,,,,,,,75.95,76.07,76.22,75.92,,73.84,73.96,74.13,73.80,,71.70,71.65,71.78,71.49,,,,,,,,,,,,,,,,,0,0
"2015-08-02 11:15:00",0,0,0x000000000020,63.50,63.49,63.68,63.36,,,,,,,75.91,75.93,76.09,75.77,,73.70,73.81,73.95,73.67,,71.38,71.55,71.75,71.32,,,,,,,,,,,,,,,,,0,0
"2015-08-02 11:30:00",0,0,0x000000000020,63.60,63.55,63.65,63.43,,,,,,,75.73,75.78,75.95,75.63,,73.61,73.69,73.85,73.52,,71.72,71.65,71.84,71.34,,,,,,,,,,,,,,,,,0,0
"2015-08-02 11:45:00",0,0,0x000000000020,63.71,63.63,63.78,63.52,,,,,,,75.50,75.63,75.83,75.47,,73.55,73.54,73.67,73.40,,71.79,71.74,71.85,71.65,,,,,,,,,,,,,,,,,0,0
"2015-08-02 12:00:00",0,0,0x000000000020,63.64,63.62,63.72,63.53,,,,,,,75.44,75.56,75.71,75.44,,73.46,73.49,73.59,73.39,,71.65,71.72,71.85,71.58,,,,,,,,,,,,,,,,,0,0
"2015-08-02 12:15:00",0,0,0x000000000020,63.49,63.49,63.66,63.35,,,,,,,75.38,75.48,75.66,75.33,,73.43,73.44,73.55,73.32,,71.34,71.54,71.70,71.29,,,,,,,,,,,,,,,,,0,0
"2015-08-02 12:30:00",0,0,0x000000000020,63.44,63.45,63.56,63.35,,,,,,,75.41,75.41,75.56,75.26,,73.31,73.37,73.49,73.23,,71.69,71.50,71.80,71.26,,,,,,,,,,,,,,,,,0,0
"2015-08-02 12:45:00",0,0,0x000000000020,63.62,63.56,63.71,63.40,,,,,,,75.32,75.36,75.48,75.18,,73.21,73.25,73.37,73.12,,71.25,71.52,71.81,71.19,,,,,,,,,,,,,,,,,0,0
"2015-08-02 13:00:00",0,0,0x000000000020,63.66,63.64,63.80,63.54,,,,,,,75.26,75.27,75.46,75.16,,73.16,73.19,73.32,73.06,,71.01,71.09,71.30,70.90,,,,,,,,,,,,,,,,,0,0
"2015-08-02 13:15:00",0,0,0x000000000020,63.86,63.75,63.91,63.58,,,,,,,75.13,75.23,75.36,75.11,,73.09,73.14,73.27,73.04,,71.27,71.14,71.36,70.94,,,,,,,,,,,,,,,,,0,0
"2015-08-02 13:30:00",0,0,0x000000000020,64.10,63.98,64.16,63.80,,,,,,,75.16,75.19,75.32,75.06,,73.03,73.11,73.23,73.00,,71.67,71.46,71.71,71.23,,,,,,,,,,,,,,,,,0,0
"2015-08-02 13:45:00",0,0,0x000000000020,64.45,64.27,64.48,64.07,,,,,,,75.12,75.14,75.27,74.99,,73.09,73.06,73.19,72.96,,72.41,72.02,72.50,71.61,,,,,,,,,,,,,,,,,0,0
"2015-08-02 14:00:00",0,0,0x000000000020,64.54,64.51,64.60,64.38,,,,,,,75.16,75.11,75.25,74.95,,73.05,73.09,73.24,72.98,,72.42,72.38,72.52,72.27,,,,,,,,,,,,,,,,,0,0
"2015-08-02 14:15:00",0,0,0x000000000020,64.59,64.52,64.66,64.44,,,,,,,75.03,75.12,75.25,75.00,,73.16,73.09,73.19,72.99,,72.17,72.20,72.45,72.08,,,,,,,,,,,,,,,,,0,0
"2015-08-02 14:30:00",0,0,0x000000000020,64.69,64.66,64.77,64.53,,,,,,,75.08,75.11,75.26,74.97,,73.08,73.10,73.25,72.99,,72.28,72.24,72.41,72.13,,,,,,,,,,,,,,,,,0,0
"2015-08-02 14:45:00",0,0,0x000000000020,65.00,64.90,65.10,64.68,,,,,,,75.10,75.10,75.25,74.97,,73.12,73.11,73.23,73.01,,72.59,72.47,72.68,72.26,,,,,,,,,,,,,,,,,0,0
"2015-08-02 15:00:00",0,0,0x000000000020,65.04,65.03,65.13,64.95,,,,,,,75.07,75.13,75.26,75.00,,73.16,73.18,73.31,73.05,,72.60,72.61,72.73,72.49,,,,,,,,,,,,,,,,,0,0
"2015-08-02 15:15:00",0,0,0x000000000020,64.74,64.86,65.08,64.69,,,,,,,75.12,75.13,75.27,74.98,,73.09,73.13,73.25,73.01,,72.60,72.61,72.71,72.50,,,,,,,,,,,,,,,,,0,0
"2015-08-02 15:30:00",0,0,0x000000000020,64.80,64.73,64.87,64.67,,,,,,,75.13,75.14,75.26,75.01,,73.13,73.13,73.28,73.01,,71.84,72.20,72.65,71.72,,,,,,,,,,,,,,,,,0,0
"2015-08-02 15:45:00",0,0,0x000000000020,64.97,64.92,65.05,64.78,,,,,,,75.05,75.09,75.22,74.94,,73.10,73.11,73.23,73.00,,72.21,71.99,72.32,71.73,,,,,,,,,,,,,,,,,0,0
"2015-08-02 16:00:00",0,0,0x000000000020,65.30,65.12,65.38,64.94,,,,,,,75.06,75.06,75.18,74.92,,73.21,73.14,73.31,73.02,,72.58,72.26,72.61,72.13,,,,,,,,,,,,,,,,,0,0
"2015-08-02 16:15:00",0,0,0,65.38,65.38,65.47,65.25,,,,,,,75.07,75.05,75.24,74.92,,73.22,73.17,73.28,73.08,,73.46,73.01,73.46,72.51,,,,,,,,,,,,,,,,,0,0
"2015-08-02 16:30:00",0,0,0,65.53,65.49,65.62,65.37,,,,,,,75.11,75.09,75.25,74.97,,73.19,73.23,73.36,73.09,,73.82,73.73,73.93,73.38,,,,,,,,,,,,,,,,,0,0
"2015-08-02 16:45:00",0,0,0,65.71,65.65,65.79,65.48,,,,,,,75.15,75.15,75.30,74.94,,73.31,73.27,73.42,73.14,,73.79,73.84,73.94,73.71,,,,,,,,,,,,,,,,,0,0
