time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-24 07:15:00",0,0,0,282273.97,282328.78,54.80,32562.38,364.00,163.96,54608.07,290547.94,290864.84,316.92,12.95,-2.20,13.14,0.99,496.93,287.60,16.92,59.93,12.96,-2.60,13.36,90.55,21.50,92.31,0,-17.13,0,104049.05,86202.12,92077.60,3.08,9.76,41.96,7857.10,17847.15,6858.13,53.03,1.87,309.09,21.46,139.73,2.77,24031.69,9006.43,21569.94,109129.22,90806.35,96196.30,74.76,141.99,318.03,6.17,2.55,4.23,-2.33,2.10,-1.98,6.59,3.30,4.66,0.94,0.77,0.91,496.27,495.67,498.85,287.86,287.30,287.64,23.65,11.18,15.94
"2015-07-24 07:30:01",0,0,0,282277.63,282332.44,54.80,32562.83,364.00,163.96,54609.18,290551.66,290868.56,316.92,18.07,-3.94,18.50,0.98,495.77,286.93,22.81,59.93,12.78,-2.37,13.00,90.55,21.50,92.31,0,-17.13,0,104050.54,86203.03,92078.84,3.08,9.76,41.96,7857.10,17847.46,6858.27,53.03,1.87,309.09,21.46,139.73,2.77,24032.45,9006.53,21570.20,109130.90,90807.38,96197.61,74.76,141.99,318.03,6.53,5.75,5.79,-4.24,-1.19,1.50,7.78,5.87,5.98,0.84,0.98,0.97,495.04,494.73,497.54,287.03,286.65,287.11,27.11,20.49,20.84
"2015-07-24 07:45:00",0,0,0,282282.13,282336.94,54.80,32563.23,364.00,163.96,54610.61,290556.31,290873.22,316.92,17.54,-7.49,19.08,0.92,494.68,286.30,22.09,60.01,18.07,-3.28,18.49,90.55,21.50,92.31,0,-17.13,0,104052.16,86204.46,92080.30,3.08,9.76,41.96,7857.10,17847.63,6858.51,53.03,1.87,309.09,21.46,139.73,2.77,24033.44,9006.76,21570.41,109132.81,90808.84,96199.13,74.76,141.99,318.03,7.07,5.20,5.27,-3.91,-1.58,-2.00,8.07,5.43,5.64,0.88,0.96,0.94,493.82,493.67,496.57,286.37,286.02,286.50,28.46,18.63,19.19
"2015-07-24 08:00:00",0,0,0,282286.41,282341.22,54.80,32563.52,364.00,163.96,54612.13,290560.88,290877.78,316.92,17.29,-4.88,17.97,0.96,494.64,286.27,22.32,59.97,17.59,-5.13,18.45,90.55,21.50,92.31,0,-17.13,0,104053.67,86205.84,92081.74,3.08,9.76,41.96,7857.10,17847.65,6858.78,53.03,1.87,309.09,21.46,139.73,2.77,24034.44,9007.11,21570.58,109134.63,90810.23,96200.59,74.76,141.99,318.03,5.83,5.84,5.62,-4.03,-1.04,0.19,7.08,5.93,5.62,0.82,0.98,1.00,493.95,493.34,496.63,286.56,285.85,286.40,25.90,20.82,20.25
"2015-07-24 08:15:00",0,0,0,282290.78,282345.59,54.80,32563.83,364.00,163.96,54613.61,290565.34,290882.25,316.92,17.35,-4.49,17.92,0.97,494.60,286.25,21.89,60.01,17.20,-4.86,17.97,90.55,21.50,92.31,0,-17.13,0,104055.21,86207.23,92083.13,3.08,9.76,41.96,7857.10,17847.70,6859.03,53.03,1.87,309.09,21.46,139.73,2.77,24035.47,9007.40,21570.74,109136.49,90811.68,96202.03,74.76,141.99,318.03,5.60,5.67,6.08,-5.58,-2.00,3.09,7.90,5.31,5.23,0.71,1.00,1.00,493.78,493.36,496.66,286.55,285.79,286.41,23.78,20.22,21.67
"2015-07-24 08:30:01",0,0,0,282295.03,282349.84,54.80,32564.18,364.00,163.96,54615.09,290569.78,290886.69,316.92,17.72,-0.55,17.73,1.00,496.19,287.17,22.45,59.97,17.10,-4.58,17.84,90.55,21.50,92.31,0,-17.13,0,104056.71,86208.62,92084.51,3.08,9.76,41.96,7857.10,17847.74,6859.34,53.03,1.87,309.09,21.46,139.73,2.77,24036.48,9007.71,21570.90,109138.32,90813.09,96203.47,74.76,141.99,318.03,6.30,5.58,5.84,-3.95,1.27,2.14,7.43,5.72,6.22,0.85,0.98,0.94,495.19,495.14,498.24,287.27,286.82,287.43,26.35,19.91,21.08
"2015-07-24 08:45:00",0,0,0,282298.53,282353.34,54.80,32564.69,364.00,163.96,54616.19,290573.38,290890.28,316.92,13.17,-2.79,13.46,0.98,496.96,287.61,17.12,60.02,15.36,-3.28,15.81,90.55,21.50,92.31,0,-17.13,0,104058.24,86209.45,92085.66,3.08,9.76,41.96,7857.10,17848.18,6859.41,53.03,1.87,309.09,21.46,139.73,2.77,24037.20,9007.75,21571.25,109140.02,90814.06,96204.69,74.76,141.99,318.03,6.50,2.64,4.03,-2.30,2.28,-2.77,6.08,3.49,4.88,1.00,0.76,0.82,495.43,496.21,499.24,287.54,287.13,288.18,24.88,11.22,15.27
"2015-07-24 09:00:00",0,0,0,282301.88,282356.69,54.80,32565.21,364.00,163.96,54617.28,290576.78,290893.69,316.92,13.14,-6.37,14.61,0.90,495.62,286.84,16.48,60.01,13.25,-2.04,13.49,90.55,21.50,92.31,0,-17.13,0,104059.76,86210.16,92086.77,3.08,9.76,41.96,7857.10,17848.64,6859.47,53.03,1.87,309.09,21.46,139.73,2.77,24037.91,9007.75,21571.62,109141.67,90814.91,96205.87,74.76,141.99,318.03,5.25,3.14,4.75,-5.23,0.49,-1.63,7.41,3.10,4.46,0.71,1.00,1.00,494.62,493.95,498.28,287.32,286.07,287.11,19.79,12.50,17.15
"2015-07-24 09:15:00",0,0,0,282305.25,282360.06,54.80,32565.76,364.00,163.96,54618.43,290580.25,290897.16,316.92,12.47,-3.78,13.03,0.96,496.36,287.27,15.54,60.01,13.68,-2.40,13.96,90.55,21.50,92.31,0,-17.13,0,104061.33,86210.90,92087.85,3.08,9.76,41.96,7857.10,17849.11,6859.55,53.03,1.87,309.09,21.46,139.73,2.77,24038.69,9007.75,21571.99,109143.38,90815.80,96207.03,74.76,141.99,318.03,5.21,2.81,4.45,-3.00,0.52,-1.30,6.01,2.85,4.64,0.87,0.98,0.96,495.23,494.68,499.18,287.80,286.39,287.61,19.38,10.98,16.25
"2015-07-24 09:30:01",0,0,0,282308.38,282363.19,54.80,32566.27,364.00,163.96,54619.47,290583.47,290900.38,316.92,12.72,-2.58,12.98,0.98,496.60,287.40,15.92,60.01,12.68,-2.35,13.00,90.55,21.50,92.31,0,-17.13,0,104062.74,86211.54,92088.91,3.08,9.76,41.96,7857.10,17849.54,6859.64,53.03,1.87,309.09,21.46,139.73,2.77,24039.40,9007.75,21572.33,109144.94,90816.57,96208.16,74.76,141.99,318.03,5.66,2.75,4.31,-3.07,1.36,-0.87,6.44,3.07,4.39,0.88,0.90,0.98,495.85,494.61,499.33,288.07,286.62,287.52,21.07,10.71,15.99
