time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-25 06:45:00",0,0,0,283061.41,283116.22,54.80,32709.38,364.00,163.96,54676.21,291353.88,291670.78,316.92,21.64,2.85,21.83,0.99,496.40,287.29,26.09,60.02,21.61,2.05,21.84,90.55,21.50,92.31,0,-17.13,0,104327.38,86449.49,92339.34,3.08,9.76,41.96,7902.54,17911.17,6895.67,53.03,1.87,309.09,21.46,139.73,2.77,24062.03,9014.51,21599.66,109416.80,91062.77,96463.03,74.76,141.99,318.03,8.88,5.26,7.50,-1.29,2.53,1.61,8.97,5.84,7.67,0.99,0.90,0.98,495.37,494.59,499.22,287.78,286.52,287.57,31.48,20.27,26.51
"2015-07-25 07:00:00",0,0,0,283067.53,283122.34,54.80,32710.26,364.00,163.96,54676.69,291360.03,291676.94,316.92,26.10,0.17,26.10,1.00,494.16,285.99,30.96,59.95,23.21,1.90,23.36,90.55,21.50,92.31,0,-17.13,0,104329.84,86450.79,92341.73,3.08,9.76,41.96,7902.96,17911.57,6895.73,53.03,1.87,309.09,21.46,139.73,2.77,24062.12,9014.51,21600.06,109419.30,91064.13,96465.47,74.76,141.99,318.03,10.48,5.54,10.08,0.76,1.45,-2.03,10.45,5.72,10.28,1.00,0.97,0.98,492.79,492.96,496.72,286.13,285.36,286.49,37.13,20.01,35.74
"2015-07-25 07:15:00",0,0,0,283073.84,283128.66,54.80,32710.83,364.00,163.96,54677.40,291366.38,291683.28,316.92,29.15,-4.95,29.77,0.98,493.90,285.85,34.65,60.00,25.16,0.43,25.21,90.55,21.50,92.31,0,-17.13,0,104332.31,86452.16,92344.21,3.08,9.76,41.96,7903.22,17911.88,6895.73,53.03,1.87,309.09,21.46,139.73,2.77,24062.35,9014.54,21600.51,109421.80,91065.53,96467.98,74.76,141.99,318.03,9.93,8.03,11.19,-3.15,-1.04,-0.77,10.41,8.09,11.21,0.95,0.99,1.00,493.03,492.33,496.19,286.20,285.33,285.91,35.51,28.63,39.46
"2015-07-25 07:30:00",0,0,0,283080.53,283135.34,54.80,32711.32,364.00,163.96,54678.43,291373.13,291690.03,316.92,26.09,-2.81,26.24,0.99,495.26,286.63,31.03,60.01,26.74,-2.66,27.05,90.55,21.50,92.31,0,-17.13,0,104334.60,86454.11,92346.63,3.08,9.76,41.96,7903.22,17912.10,6896.01,53.03,1.87,309.09,21.46,139.73,2.77,24063.04,9014.70,21600.69,109424.20,91067.52,96470.44,74.76,141.99,318.03,9.45,8.08,8.57,-2.14,2.59,-3.26,9.19,8.48,9.16,1.00,0.95,0.94,494.81,493.04,497.93,287.34,285.99,286.57,34.23,28.59,30.28
"2015-07-25 07:45:00",0,0,0,283086.97,283141.78,54.80,32712.24,364.00,163.96,54679.22,291379.59,291696.50,316.92,25.60,0.51,25.60,0.99,495.62,286.84,30.29,60.01,25.75,0.06,25.84,90.55,21.50,92.31,0,-17.13,0,104336.84,86456.10,92348.84,3.08,9.76,41.96,7903.22,17912.52,6896.50,53.03,1.87,309.09,21.46,139.73,2.77,24063.79,9014.70,21600.73,109426.53,91069.54,96472.70,74.76,141.99,318.03,9.37,7.62,8.60,-3.41,1.66,2.25,9.97,7.80,8.30,0.94,0.98,1.00,495.21,494.31,497.35,287.05,286.69,286.79,34.35,26.95,30.55
"2015-07-25 08:00:00",0,0,0,283092.44,283147.25,54.80,32713.36,364.00,163.96,54679.80,291385.13,291702.03,316.92,26.51,-1.71,26.56,1.00,496.32,287.25,32.24,60.01,22.99,1.97,23.27,90.55,21.50,92.31,0,-17.13,0,104339.09,86457.43,92350.73,3.08,9.76,41.96,7903.40,17913.14,6896.81,53.03,1.87,309.09,21.46,139.73,2.77,24064.17,9014.70,21600.94,109428.82,91071.02,96474.63,74.76,141.99,318.03,11.31,6.96,7.98,-4.06,3.23,-1.50,12.01,7.67,8.11,0.97,0.92,1.00,495.30,494.95,498.73,287.50,286.74,287.50,41.76,26.74,28.23
"2015-07-25 08:15:00",0,0,0,283098.38,283153.19,54.80,32714.18,364.00,163.96,54680.79,291391.06,291707.97,316.92,22.12,-0.09,22.12,1.00,496.96,287.62,26.85,60.02,23.84,-0.18,23.96,90.55,21.50,92.31,0,-17.13,0,104341.69,86458.94,92352.56,3.08,9.76,41.96,7903.40,17913.89,6896.89,53.03,1.87,309.09,21.46,139.73,2.77,24064.79,9014.70,21601.31,109431.48,91072.71,96476.51,74.76,141.99,318.03,8.75,5.84,7.53,-3.32,1.39,1.83,9.35,5.67,7.31,0.94,1.00,1.00,496.18,495.91,498.80,287.73,287.42,287.71,31.00,22.70,26.84
"2015-07-25 08:30:01",0,0,0,283103.66,283158.47,54.80,32715.23,364.00,163.96,54681.41,291396.44,291713.34,316.92,21.95,2.57,22.25,0.99,496.60,287.41,26.84,59.93,21.40,0.90,21.57,90.55,21.50,92.31,0,-17.13,0,104343.87,86460.24,92354.38,3.08,9.76,41.96,7903.44,17914.55,6897.24,53.03,1.87,309.09,21.46,139.73,2.77,24065.29,9014.70,21601.41,109433.71,91074.17,96478.37,74.76,141.99,318.03,9.19,5.60,7.17,-2.14,3.03,1.67,9.43,6.36,7.36,0.97,0.88,0.97,495.80,495.28,498.37,287.52,287.04,287.46,32.60,22.12,25.56
"2015-07-25 08:45:00",0,0,0,283109.06,283163.88,54.80,32716.30,364.00,163.96,54681.93,291401.91,291718.81,316.92,21.95,2.38,22.08,0.99,497.26,287.79,26.68,59.99,21.63,2.33,21.85,90.55,21.50,92.31,0,-17.13,0,104346.09,86461.57,92356.23,3.08,9.76,41.96,7903.50,17915.21,6897.59,53.03,1.87,309.09,21.46,139.73,2.77,24065.72,9014.70,21601.52,109435.98,91075.66,96480.25,74.76,141.99,318.03,8.87,5.50,7.58,-1.85,2.91,1.31,9.06,6.22,7.69,0.98,0.88,0.99,496.54,496.27,498.99,287.79,287.67,287.92,31.54,21.52,26.97
"2015-07-25 09:00:00",0,0,0,283114.44,283169.25,54.80,32717.49,364.00,163.96,54682.45,291407.38,291724.28,316.92,21.59,-1.67,21.66,1.00,496.83,287.54,25.95,60.01,21.45,2.54,21.75,90.55,21.50,92.31,0,-17.13,0,104348.28,86462.88,92358.09,3.08,9.76,41.96,7903.69,17915.86,6897.94,53.03,1.87,309.09,21.46,139.73,2.77,24066.07,9014.70,21601.67,109438.21,91077.14,96482.16,74.76,141.99,318.03,9.01,5.25,7.33,-3.17,2.88,-1.38,9.55,5.99,7.45,0.94,0.88,0.98,496.22,495.67,498.62,287.67,287.37,287.59,31.75,20.16,25.94
