time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-26 06:45:00",0,0,0,283589.66,283644.47,54.80,32837.48,364.00,163.96,54703.45,291897.16,292214.06,316.92,22.78,2.86,22.96,0.99,495.77,286.93,27.48,60.02,22.78,3.17,23.18,90.55,21.50,92.31,0,-17.13,0,104533.72,86599.61,92511.13,3.08,9.76,41.96,7936.72,17974.30,6926.47,53.03,1.87,309.09,21.46,139.73,2.77,24080.12,9014.71,21608.62,109628.89,91226.49,96638.97,74.76,141.99,318.03,9.30,5.77,7.71,-1.42,2.77,1.51,9.40,6.39,7.85,0.99,0.90,0.98,494.81,494.57,497.93,287.09,286.55,287.14,32.99,22.16,27.29
"2015-07-26 07:00:00",0,0,0,283595.34,283650.16,54.80,32838.75,364.00,163.96,54703.98,291902.91,292219.81,316.92,23.92,4.15,24.28,0.99,496.51,287.36,28.99,60.01,22.42,2.59,22.69,90.55,21.50,92.31,0,-17.13,0,104536.05,86601.03,92513.08,3.08,9.76,41.96,7936.89,17975.00,6926.85,53.03,1.87,309.09,21.46,139.73,2.77,24080.60,9014.71,21608.67,109631.27,91228.08,96640.96,74.76,141.99,318.03,9.78,6.07,8.07,-0.71,3.24,1.61,9.75,6.88,8.23,1.00,0.88,0.98,495.54,495.44,498.55,287.41,287.03,287.63,34.58,23.74,28.63
"2015-07-26 07:15:01",0,0,0,283601.19,283656.00,54.80,32839.94,364.00,163.96,54704.59,291908.84,292225.75,316.92,21.79,0.35,21.79,1.00,495.61,286.84,26.29,60.10,23.76,3.18,24.14,90.55,21.50,92.31,0,-17.13,0,104538.43,86602.52,92515.05,3.08,9.76,41.96,7937.00,17975.70,6927.24,53.03,1.87,309.09,21.46,139.73,2.77,24081.14,9014.71,21608.73,109633.70,91229.73,96642.99,74.76,141.99,318.03,8.73,5.44,7.61,-2.73,2.18,0.90,9.15,5.86,7.66,0.95,0.93,0.99,494.34,493.95,498.55,287.23,286.03,287.25,31.04,20.77,27.05
"2015-07-26 07:30:00",0,0,0,283607.00,283661.81,54.80,32841.09,364.00,163.96,54705.22,291914.72,292231.63,316.92,24.11,-2.07,24.20,1.00,494.86,286.40,29.18,60.02,22.52,1.57,22.71,90.55,21.50,92.31,0,-17.13,0,104540.77,86604.00,92517.05,3.08,9.76,41.96,7937.13,17976.35,6927.61,53.03,1.87,309.09,21.46,139.73,2.77,24081.72,9014.71,21608.79,109636.08,91231.35,96645.02,74.76,141.99,318.03,9.31,6.67,8.14,-4.52,1.84,0.60,10.34,6.91,8.16,0.90,0.96,1.00,493.66,492.89,498.03,287.02,285.40,286.77,32.89,25.61,29.04
"2015-07-26 07:45:00",0,0,0,283612.88,283667.69,54.80,32842.21,364.00,163.96,54705.87,291920.66,292237.56,316.92,23.87,2.23,23.98,1.00,494.61,286.26,28.85,60.01,24.00,2.52,24.26,90.55,21.50,92.31,0,-17.13,0,104543.13,86605.55,92519.03,3.08,9.76,41.96,7937.18,17977.05,6927.99,53.03,1.87,309.09,21.46,139.73,2.77,24082.35,9014.71,21608.81,109638.48,91233.06,96647.03,74.76,141.99,318.03,9.84,6.22,8.13,-2.55,3.03,2.03,9.50,6.92,8.37,0.97,0.91,0.98,493.31,492.71,497.82,286.88,285.24,286.65,33.11,24.25,29.20
"2015-07-26 08:00:00",0,0,0,283618.66,283673.47,54.80,32843.34,364.00,163.96,54706.38,291926.47,292243.38,316.92,24.71,2.59,24.85,0.99,494.80,286.36,29.84,60.00,22.66,1.72,22.81,90.55,21.50,92.31,0,-17.13,0,104545.45,86607.02,92520.98,3.08,9.76,41.96,7937.27,17977.71,6928.37,53.03,1.87,309.09,21.46,139.73,2.77,24082.82,9014.71,21608.84,109640.84,91234.67,96649.03,74.76,141.99,318.03,9.85,6.36,8.50,-1.95,3.03,1.50,10.04,7.04,8.63,0.98,0.90,0.99,493.33,492.99,498.07,286.85,285.32,286.91,34.81,24.56,30.15
"2015-07-26 08:15:01",0,0,0,283624.34,283679.16,54.80,32844.43,364.00,163.96,54706.77,291932.22,292249.13,316.92,21.72,1.75,21.79,1.00,495.38,286.70,26.21,60.02,23.45,2.98,23.71,90.55,21.50,92.31,0,-17.13,0,104547.78,86608.44,92522.95,3.08,9.76,41.96,7937.32,17978.37,6928.74,53.03,1.87,309.09,21.46,139.73,2.77,24083.21,9014.71,21608.84,109643.20,91236.23,96651.03,74.76,141.99,318.03,8.95,5.23,7.67,-1.20,2.45,1.16,9.02,5.77,7.75,0.97,0.90,0.99,494.08,493.75,498.31,287.05,285.93,287.12,31.44,20.18,27.00
"2015-07-26 08:30:00",0,0,0,283629.78,283684.59,54.80,32845.49,364.00,163.96,54707.24,291937.69,292254.59,316.92,22.06,-0.09,22.06,1.00,495.46,286.74,26.60,60.01,21.89,2.93,22.15,90.55,21.50,92.31,0,-17.13,0,104549.99,86609.75,92524.85,3.08,9.76,41.96,7937.42,17978.99,6929.08,53.03,1.87,309.09,21.46,139.73,2.77,24083.65,9014.71,21608.88,109645.46,91237.70,96652.96,74.76,141.99,318.03,9.14,5.54,7.38,-3.73,1.70,1.94,9.87,5.79,7.11,0.93,0.96,1.00,494.33,493.58,498.46,287.28,285.83,287.12,32.33,21.36,26.11
"2015-07-26 08:45:00",0,0,0,283635.09,283689.91,54.80,32846.43,364.00,163.96,54707.93,291943.06,292259.97,316.92,21.64,1.72,21.71,1.00,496.18,287.16,26.16,60.01,21.57,1.21,21.71,90.55,21.50,92.31,0,-17.13,0,104552.17,86611.07,92526.68,3.08,9.76,41.96,7937.45,17979.60,6929.38,53.03,1.87,309.09,21.46,139.73,2.77,24084.28,9014.71,21608.95,109647.70,91239.16,96654.83,74.76,141.99,318.03,8.72,5.49,7.42,-2.92,2.69,1.95,8.22,6.11,7.67,1.00,0.90,0.97,494.76,494.56,499.22,287.61,286.26,287.63,30.98,21.17,26.33
"2015-07-26 09:00:00",0,0,0,283640.41,283695.22,54.80,32847.40,364.00,163.96,54708.51,291948.38,292265.28,316.92,22.71,4.56,23.16,0.98,496.17,287.16,27.41,60.01,20.88,1.28,20.99,90.55,21.50,92.31,0,-17.13,0,104554.33,86612.39,92528.49,3.08,9.76,41.96,7937.45,17980.21,6929.74,53.03,1.87,309.09,21.46,139.73,2.77,24084.82,9014.71,21608.97,109649.89,91240.61,96656.69,74.76,141.99,318.03,9.46,5.69,7.55,-0.25,2.95,1.87,9.46,6.41,7.78,1.00,0.89,0.97,494.98,494.55,498.98,287.55,286.40,287.52,33.50,21.99,26.74
