time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-27 07:30:00",0,0,0,284139.09,284193.91,54.80,32978.57,364.00,163.96,54731.22,292463.72,292780.63,316.92,25.94,3.76,26.44,0.99,495.05,286.51,31.42,60.02,25.33,1.25,25.43,90.55,21.50,92.31,0,-17.13,0,104750.16,86753.47,92690.29,3.08,9.76,41.96,7974.19,18043.23,6961.14,53.03,1.87,309.09,21.46,139.73,2.77,24099.77,9014.73,21616.72,109851.81,91395.71,96822.76,74.76,141.99,318.03,9.36,8.13,8.45,-1.75,2.22,3.29,9.51,8.43,9.06,0.98,0.97,0.93,493.98,494.08,496.86,286.41,286.25,286.74,33.99,28.87,29.85
"2015-07-27 07:45:00",0,0,0,284145.53,284200.34,54.80,32979.46,364.00,163.96,54731.90,292470.16,292787.06,316.92,25.44,0.05,25.44,1.00,496.43,287.31,30.10,60.02,25.78,0.85,25.86,90.55,21.50,92.31,0,-17.13,0,104752.35,86755.47,92692.50,3.08,9.76,41.96,7974.19,18043.62,6961.64,53.03,1.87,309.09,21.46,139.73,2.77,24100.45,9014.73,21616.72,109854.09,91397.74,96825.03,74.76,141.99,318.03,8.99,7.84,8.60,-3.52,1.93,1.64,9.65,8.07,8.75,0.93,0.97,0.98,495.46,495.42,498.42,287.31,287.05,287.58,32.18,27.76,30.35
"2015-07-27 08:00:00",0,0,0,284151.88,284206.69,54.80,32980.32,364.00,163.96,54732.60,292476.56,292793.47,316.92,25.62,4.53,26.02,0.98,496.65,287.44,30.93,60.02,25.44,0.74,25.51,90.55,21.50,92.31,0,-17.13,0,104754.52,86757.47,92694.71,3.08,9.76,41.96,7974.19,18044.01,6962.11,53.03,1.87,309.09,21.46,139.73,2.77,24101.15,9014.73,21616.72,109856.37,91399.77,96827.28,74.76,141.99,318.03,9.37,7.92,8.33,-1.18,2.39,3.31,9.44,8.27,8.96,0.99,0.96,0.93,496.11,494.82,499.15,288.01,286.89,287.49,33.90,28.06,29.45
"2015-07-27 08:15:00",0,0,0,284158.59,284213.41,54.80,32981.23,364.00,163.96,54733.36,292483.28,292800.19,316.92,28.23,0.13,28.23,1.00,495.91,287.01,33.59,60.02,26.38,0.65,26.43,90.55,21.50,92.31,0,-17.13,0,104756.82,86759.63,92696.97,3.08,9.76,41.96,7974.19,18044.43,6962.61,53.03,1.87,309.09,21.46,139.73,2.77,24101.90,9014.73,21616.72,109858.77,91401.96,96829.59,74.76,141.99,318.03,9.40,9.24,9.59,-3.23,1.35,2.01,9.93,9.34,9.79,0.95,0.99,0.98,495.21,493.85,498.67,287.70,286.25,287.08,33.97,32.66,34.15
"2015-07-27 08:30:00",0,0,0,284164.97,284219.78,54.80,32982.14,364.00,163.96,54734.11,292489.66,292806.56,316.92,25.67,2.17,25.76,1.00,495.82,286.96,30.54,60.01,26.07,0.53,26.14,90.55,21.50,92.31,0,-17.13,0,104758.98,86761.66,92699.16,3.08,9.76,41.96,7974.19,18044.85,6963.10,53.03,1.87,309.09,21.46,139.73,2.77,24102.65,9014.74,21616.72,109861.05,91404.02,96831.84,74.76,141.99,318.03,9.05,8.02,8.60,-2.97,2.49,2.65,9.52,8.39,9.00,0.95,0.96,0.96,495.59,494.44,497.44,287.21,286.86,286.81,32.70,28.38,30.53
"2015-07-27 08:45:00",0,0,0,284171.31,284226.13,54.80,32983.02,364.00,163.96,54734.80,292496.03,292812.94,316.92,25.61,1.49,25.66,1.00,495.56,286.81,30.59,60.01,25.52,0.82,25.59,90.55,21.50,92.31,0,-17.13,0,104761.17,86763.64,92701.33,3.08,9.76,41.96,7974.19,18045.27,6963.56,53.03,1.87,309.09,21.46,139.73,2.77,24103.34,9014.74,21616.72,109863.34,91406.04,96834.06,74.76,141.99,318.03,8.90,8.07,8.65,-2.19,1.52,2.17,9.16,8.21,8.91,0.97,0.98,0.97,495.34,494.23,497.11,287.03,286.76,286.63,32.42,28.54,30.80
"2015-07-27 09:00:00",0,0,0,284177.69,284232.50,54.80,32983.85,364.00,163.96,54735.47,292502.41,292819.31,316.92,26.26,-1.13,26.29,1.00,495.72,286.90,31.28,60.00,25.30,0.75,25.35,90.55,21.50,92.31,0,-17.13,0,104763.38,86765.63,92703.51,3.08,9.76,41.96,7974.19,18045.64,6964.02,53.03,1.87,309.09,21.46,139.73,2.77,24104.01,9014.74,21616.72,109865.65,91408.05,96836.27,74.76,141.99,318.03,9.27,8.28,8.71,-3.48,0.96,1.39,9.90,8.34,8.81,0.94,0.99,0.99,495.41,494.22,497.52,287.22,286.73,286.75,33.68,29.32,30.86
"2015-07-27 09:15:00",0,0,0,284184.53,284239.34,54.80,32984.70,364.00,163.96,54736.17,292509.25,292826.16,316.92,26.40,3.00,26.57,0.99,496.66,287.44,31.58,60.01,26.13,0.41,26.15,90.55,21.50,92.31,0,-17.13,0,104765.80,86767.80,92705.77,3.08,9.76,41.96,7974.19,18046.04,6964.47,53.03,1.87,309.09,21.46,139.73,2.77,24104.71,9014.74,21616.72,109868.16,91410.25,96838.58,74.76,141.99,318.03,9.35,8.35,8.70,-0.60,1.81,1.79,9.36,8.54,8.88,1.00,0.98,0.98,496.36,495.26,498.35,287.74,287.28,287.30,34.03,29.63,31.07
"2015-07-27 09:30:00",0,0,0,284191.00,284245.81,54.80,32985.63,364.00,163.96,54736.85,292515.72,292832.63,316.92,26.35,1.10,26.37,1.00,496.67,287.45,31.42,59.99,26.94,0.93,27.01,90.55,21.50,92.31,0,-17.13,0,104768.05,86769.82,92707.93,3.08,9.76,41.96,7974.19,18046.48,6964.95,53.03,1.87,309.09,21.46,139.73,2.77,24105.38,9014.74,21616.72,109870.50,91412.30,96840.80,74.76,141.99,318.03,9.20,8.27,8.87,-2.28,1.74,1.64,9.47,8.08,9.02,0.97,1.00,0.98,496.35,495.20,498.47,287.75,287.25,287.36,33.23,29.31,31.71
"2015-07-27 09:45:00",0,0,0,284197.66,284252.47,54.80,32986.63,364.00,163.96,54737.53,292522.44,292839.34,316.92,26.35,4.78,26.78,0.98,496.93,287.60,31.35,60.02,26.49,1.23,26.61,90.55,21.50,92.31,0,-17.13,0,104770.40,86771.90,92710.17,3.08,9.76,41.96,7974.19,18046.98,6965.45,53.03,1.87,309.09,21.46,139.73,2.77,24106.05,9014.74,21616.73,109872.94,91414.44,96843.09,74.76,141.99,318.03,9.39,8.14,8.82,-0.55,2.78,2.55,9.40,8.60,9.18,1.00,0.95,0.96,496.61,495.51,498.66,287.87,287.45,287.47,33.98,28.81,31.26
