time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-28 06:45:00",0,0,0,285027.09,285081.91,54.80,33145.89,364.00,163.96,54782.75,293369.28,293686.19,316.92,22.70,1.49,22.75,1.00,495.57,286.81,27.52,60.01,23.20,1.26,23.39,90.55,21.50,92.31,0,-17.13,0,105068.77,87033.92,92979.20,3.08,9.76,41.96,8021.78,18112.28,7011.83,53.03,1.87,309.09,21.46,139.73,2.77,24128.30,9017.54,21636.92,110177.17,91684.25,97116.13,74.76,141.99,318.03,9.33,5.69,7.68,-1.18,1.97,0.70,9.25,6.02,7.64,1.00,0.95,1.00,493.68,494.69,498.33,286.72,286.07,287.64,33.41,22.03,27.11
"2015-07-28 06:59:46",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015-07-28 07:00:31",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015-07-28 07:00:32",0,0,0,285032.75,285087.56,54.80,33146.93,364.00,163.96,54783.47,293374.97,293691.88,316.92,22.46,0.90,22.47,1.00,494.64,286.27,27.27,60.02,21.77,1.09,21.97,90.55,21.50,92.31,0,-17.13,0,105071.16,87035.27,92981.13,3.08,9.76,41.96,8021.84,18112.94,7012.15,53.03,1.87,309.09,21.46,139.73,2.77,24128.88,9017.54,21637.06,110179.61,91685.75,97118.10,74.76,141.99,318.03,9.50,5.49,7.47,-2.36,2.42,0.84,9.78,6.00,7.52,0.97,0.92,0.99,492.86,493.77,497.29,286.21,285.59,287.02,33.97,21.24,26.60
"2015-07-28 07:15:00",0,0,0,285037.91,285092.72,54.80,33147.71,364.00,163.96,54784.13,293380.16,293697.06,316.92,21.16,0.33,21.16,1.00,491.86,284.66,25.55,60.02,21.66,1.37,21.76,90.55,21.50,92.31,0,-17.13,0,105073.33,87036.48,92982.89,3.08,9.76,41.96,8021.84,18113.49,7012.38,53.03,1.87,309.09,21.46,139.73,2.77,24129.42,9017.54,21637.18,110181.83,91687.09,97119.89,74.76,141.99,318.03,8.21,5.69,7.26,-1.82,1.21,0.94,8.40,5.81,7.32,0.98,0.98,0.99,490.22,490.83,494.54,284.75,283.94,285.30,29.55,21.17,25.93
"2015-07-28 07:30:00",0,0,0,285043.19,285098.00,54.80,33148.51,364.00,163.96,54785.05,293385.47,293702.38,316.92,21.52,-2.12,21.62,1.00,492.75,285.18,25.99,60.02,21.12,-0.77,21.22,90.55,21.50,92.31,0,-17.13,0,105075.59,87037.75,92984.66,3.08,9.76,41.96,8021.84,18114.09,7012.58,53.03,1.87,309.09,21.46,139.73,2.77,24130.17,9017.54,21637.35,110184.16,91688.48,97121.69,74.76,141.99,318.03,8.95,5.43,7.14,-4.56,2.06,0.38,10.04,5.80,7.14,0.89,0.94,1.00,493.21,490.36,494.69,286.08,284.88,284.59,31.92,20.51,25.53
"2015-07-28 07:45:00",0,0,0,285048.75,285103.56,54.80,33149.38,364.00,163.96,54785.94,293391.06,293707.97,316.92,27.05,-3.57,27.28,0.99,496.79,287.52,32.49,60.02,21.14,-0.01,21.24,90.55,21.50,92.31,0,-17.13,0,105077.84,87039.18,92986.55,3.08,9.76,41.96,8021.86,18114.62,7012.89,53.03,1.87,309.09,21.46,139.73,2.77,24130.93,9017.54,21637.47,110186.48,91690.03,97123.61,74.76,141.99,318.03,9.45,8.56,8.96,-3.25,1.68,2.58,9.99,8.72,9.32,0.88,1.00,1.00,495.78,495.61,498.98,287.63,287.13,287.79,34.73,30.38,32.37
"2015-07-28 08:00:00",0,0,0,285055.28,285110.09,54.80,33150.39,364.00,163.96,54786.86,293397.63,293714.53,316.92,26.22,-3.34,26.43,0.99,495.20,286.59,31.54,60.02,25.63,0.23,25.72,90.55,21.50,92.31,0,-17.13,0,105080.16,87041.20,92988.74,3.08,9.76,41.96,8021.86,18115.04,7013.48,53.03,1.87,309.09,21.46,139.73,2.77,24131.85,9017.54,21637.47,110188.91,91692.09,97125.86,74.76,141.99,318.03,9.22,8.16,8.84,-4.94,0.99,0.62,10.46,8.10,8.85,0.88,1.00,1.00,494.54,493.14,497.91,287.25,285.85,286.69,34.14,28.93,31.56
"2015-07-28 08:15:00",0,0,0,285061.94,285116.75,54.80,33151.20,364.00,163.96,54788.01,293404.31,293721.22,316.92,25.19,-4.10,25.53,0.99,494.68,286.29,30.86,60.02,26.33,-0.35,26.43,90.55,21.50,92.31,0,-17.13,0,105082.72,87043.16,92990.87,3.08,9.76,41.96,8021.86,18115.52,7013.82,53.03,1.87,309.09,21.46,139.73,2.77,24132.83,9017.54,21637.64,110191.60,91694.09,97128.04,74.76,141.99,318.03,11.92,6.18,7.09,-5.20,3.80,-2.71,10.72,7.26,7.58,1.00,0.85,0.93,493.52,492.50,498.02,287.03,285.24,286.61,43.08,23.77,25.73
"2015-07-28 08:30:01",0,0,0,285067.63,285122.44,54.80,33152.13,364.00,163.96,54789.12,293410.06,293726.97,316.92,21.63,2.32,21.75,0.99,494.72,286.32,26.35,60.01,24.54,-1.66,24.75,90.55,21.50,92.31,0,-17.13,0,105085.19,87044.55,92992.69,3.08,9.76,41.96,8021.91,18116.18,7014.04,53.03,1.87,309.09,21.46,139.73,2.77,24133.67,9017.54,21637.91,110194.16,91695.64,97129.90,74.76,141.99,318.03,9.25,5.21,7.21,-2.24,2.45,1.55,9.51,5.76,7.37,0.98,0.90,0.98,493.59,492.78,497.42,286.75,285.49,286.51,33.18,20.16,25.72
