time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-29 07:15:00",0,0,0,285858.41,285913.22,54.80,33276.46,364.00,163.96,54857.11,294213.22,294530.13,316.92,23.02,6.14,23.83,0.97,495.77,286.93,27.90,60.01,29.27,1.41,29.42,90.55,21.50,92.31,0,-17.13,0,105376.89,87285.91,93250.45,3.08,9.76,41.96,8057.02,18175.56,7043.88,53.03,1.87,309.09,21.46,139.73,2.77,24165.68,9022.17,21669.26,110490.91,91945.40,97391.74,74.76,141.99,318.03,9.46,5.51,8.05,1.79,2.83,1.64,9.62,6.19,8.21,0.98,0.90,0.98,494.41,494.23,498.67,287.23,286.20,287.35,33.50,21.62,28.58
"2015-07-29 07:30:00",0,0,0,285863.81,285918.63,54.80,33277.49,364.00,163.96,54857.79,294218.69,294535.59,316.92,21.36,-1.10,21.39,1.00,494.42,286.14,26.02,60.02,21.68,1.68,21.85,90.55,21.50,92.31,0,-17.13,0,105379.12,87287.20,93252.35,3.08,9.76,41.96,8057.12,18176.18,7044.20,53.03,1.87,309.09,21.46,139.73,2.77,24166.22,9022.17,21669.39,110493.19,91946.82,97393.67,74.76,141.99,318.03,8.66,5.23,7.47,-3.13,1.67,0.36,9.21,5.48,7.48,0.94,0.95,1.00,493.23,492.79,497.23,286.57,285.39,286.46,31.12,20.45,26.50
"2015-07-29 07:45:00",0,0,0,285869.13,285923.94,54.80,33278.44,364.00,163.96,54858.58,294224.00,294540.91,316.92,21.70,-2.44,21.84,0.99,494.55,286.22,26.11,60.02,21.23,1.07,21.35,90.55,21.50,92.31,0,-17.13,0,105381.30,87288.46,93254.20,3.08,9.76,41.96,8057.15,18176.77,7044.52,53.03,1.87,309.09,21.46,139.73,2.77,24166.88,9022.17,21669.54,110495.41,91948.23,97395.55,74.76,141.99,318.03,8.97,5.38,7.35,-3.98,2.52,-0.97,9.81,5.94,7.29,0.91,0.91,1.00,493.58,492.57,497.48,286.79,285.37,286.50,31.78,20.36,26.19
"2015-07-29 08:00:00",0,0,0,285875.63,285930.44,54.80,33279.42,364.00,163.96,54859.44,294230.53,294547.44,316.92,24.96,0.35,24.96,1.00,494.42,286.15,30.00,60.01,24.63,0.35,24.73,90.55,21.50,92.31,0,-17.13,0,105383.59,87290.48,93256.38,3.08,9.76,41.96,8057.15,18177.25,7045.02,53.03,1.87,309.09,21.46,139.73,2.77,24167.72,9022.17,21669.55,110497.82,91950.28,97397.77,74.76,141.99,318.03,8.21,8.16,8.58,-2.87,1.21,2.01,8.69,8.25,8.81,0.94,0.99,0.97,494.00,492.36,496.89,286.82,285.56,286.06,30.31,28.88,30.80
"2015-07-29 08:15:00",0,0,0,285881.88,285936.69,54.80,33280.19,364.00,163.96,54860.17,294236.81,294553.72,316.92,25.63,-0.12,25.63,1.00,493.52,285.62,30.68,60.01,25.09,0.32,25.15,90.55,21.50,92.31,0,-17.13,0,105385.75,87292.41,93258.55,3.08,9.76,41.96,8057.15,18177.59,7045.45,53.03,1.87,309.09,21.46,139.73,2.77,24168.45,9022.17,21669.55,110500.07,91952.23,97399.99,74.76,141.99,318.03,8.83,8.06,8.74,-2.96,1.18,1.66,9.31,8.14,8.89,0.95,0.99,0.98,493.11,491.57,495.87,286.17,285.12,285.58,32.38,28.57,31.09
"2015-07-29 08:30:00",0,0,0,285888.31,285943.13,54.80,33280.98,364.00,163.96,54860.89,294243.22,294560.13,316.92,25.02,-1.83,25.08,1.00,493.82,285.80,29.92,60.00,25.44,0.16,25.48,90.55,21.50,92.31,0,-17.13,0,105387.99,87294.37,93260.76,3.08,9.76,41.96,8057.15,18177.95,7045.87,53.03,1.87,309.09,21.46,139.73,2.77,24169.17,9022.17,21669.55,110502.41,91954.22,97402.23,74.76,141.99,318.03,7.84,8.21,8.97,-5.83,2.16,1.85,9.76,7.91,8.78,0.80,1.00,1.00,493.31,491.79,496.36,286.41,285.22,285.77,28.70,29.05,31.99
"2015-07-29 08:45:00",0,0,0,285894.50,285949.31,54.80,33281.92,364.00,163.96,54861.73,294249.47,294566.38,316.92,25.89,3.02,26.06,0.99,494.30,286.08,30.94,60.02,25.12,0.33,25.18,90.55,21.50,92.31,0,-17.13,0,105390.13,87296.29,93262.91,3.08,9.76,41.96,8057.15,18178.42,7046.35,53.03,1.87,309.09,21.46,139.73,2.77,24170.00,9022.18,21669.55,110504.66,91956.17,97404.43,74.76,141.99,318.03,9.97,7.90,8.02,-2.84,3.47,2.38,10.36,8.62,8.36,0.96,0.92,0.96,493.98,492.25,496.68,286.70,285.51,286.02,36.39,28.05,28.37
"2015-07-29 09:00:01",0,0,0,285900.81,285955.63,54.80,33282.83,364.00,163.96,54862.52,294255.78,294572.69,316.92,26.06,0.46,26.06,1.00,494.86,286.40,31.13,60.01,25.18,0.52,25.25,90.55,21.50,92.31,0,-17.13,0,105392.31,87298.26,93265.07,3.08,9.76,41.96,8057.15,18178.86,7046.81,53.03,1.87,309.09,21.46,139.73,2.77,24170.78,9022.18,21669.55,110506.94,91958.16,97406.63,74.76,141.99,318.03,9.41,7.91,8.74,-2.94,1.50,1.89,8.93,8.05,8.94,1.00,0.98,0.98,494.26,492.95,497.35,286.94,285.87,286.38,34.34,28.06,30.98
"2015-07-29 09:15:00",0,0,0,285907.22,285962.03,54.80,33283.68,364.00,163.96,54863.24,294262.19,294579.09,316.92,26.80,-3.78,27.07,0.99,494.99,286.48,32.00,60.01,25.16,0.44,25.23,90.55,21.50,92.31,0,-17.13,0,105394.52,87300.23,93267.27,3.08,9.76,41.96,8057.15,18179.25,7047.28,53.03,1.87,309.09,21.46,139.73,2.77,24171.50,9022.19,21669.55,110509.25,91960.16,97408.88,74.76,141.99,318.03,8.51,8.86,9.43,-5.74,1.53,0.42,10.26,8.73,9.41,0.83,1.00,1.00,494.41,493.08,497.50,287.05,285.84,286.54,30.79,31.51,33.71
"2015-07-29 09:30:01",0,0,0,285913.91,285968.72,54.80,33284.56,364.00,163.96,54863.97,294268.91,294585.81,316.92,26.67,1.16,26.69,1.00,494.54,286.21,31.65,60.02,26.72,0.58,26.78,90.55,21.50,92.31,0,-17.13,0,105396.87,87302.30,93269.55,3.08,9.76,41.96,8057.15,18179.65,7047.76,53.03,1.87,309.09,21.46,139.73,2.77,24172.23,9022.19,21669.55,110511.69,91962.27,97411.20,74.76,141.99,318.03,8.75,8.51,9.41,-4.75,3.20,2.71,9.95,7.88,9.01,0.88,1.00,1.00,494.11,492.46,497.04,286.83,285.63,286.18,31.46,30.05,33.45
