time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-30 07:00:00",0,0,0,286706.38,286761.19,54.80,33422.23,364.00,163.96,54920.89,295076.38,295393.28,316.92,21.62,2.17,21.73,0.99,495.48,286.76,26.15,60.01,21.76,1.45,22.01,90.55,21.50,92.31,0,-17.13,0,105678.20,87552.36,93530.63,3.08,9.76,41.96,8097.13,18241.25,7083.85,53.03,1.87,309.09,21.46,139.73,2.77,24194.81,9029.43,21696.66,110797.91,92220.94,97676.51,74.76,141.99,318.03,9.18,5.20,7.24,-1.83,2.46,1.54,9.35,5.75,7.40,0.98,0.90,0.98,494.51,493.84,498.09,287.17,286.13,286.97,32.58,20.09,25.80
"2015-07-30 07:15:01",0,0,0,286712.44,286767.25,54.80,33423.18,364.00,163.96,54921.55,295082.50,295399.41,316.92,38.83,-2.69,38.92,1.00,493.92,285.86,45.68,59.93,21.93,1.54,22.10,90.55,21.50,92.31,0,-17.13,0,105680.68,87553.85,93532.74,3.08,9.76,41.96,8097.15,18241.87,7084.16,53.03,1.87,309.09,21.46,139.73,2.77,24195.35,9029.43,21696.77,110800.44,92222.56,97678.65,74.76,141.99,318.03,15.50,9.40,13.92,-1.87,1.00,-1.82,15.61,9.45,14.03,0.99,0.99,0.99,492.38,492.89,496.50,285.87,285.26,286.45,54.77,33.21,49.08
"2015-07-30 07:30:00",0,0,0,286720.69,286775.50,54.80,33423.63,364.00,163.96,54922.94,295090.84,295407.75,316.92,33.55,-10.68,35.21,0.95,494.58,286.23,39.93,60.02,32.30,-1.78,32.51,90.55,21.50,92.31,0,-17.13,0,105683.99,87555.79,93535.74,3.08,9.76,41.96,8097.24,18242.23,7084.17,53.03,1.87,309.09,21.46,139.73,2.77,24196.09,9029.48,21697.37,110803.80,92224.53,97681.70,74.76,141.99,318.03,12.86,9.12,11.57,-4.16,-2.31,-4.21,12.17,9.40,12.31,1.00,0.97,0.94,493.44,492.93,497.35,286.66,285.51,286.53,46.85,32.12,40.80
"2015-07-30 07:45:00",0,0,0,286728.34,286783.16,54.80,33423.91,364.00,163.96,54924.84,295098.75,295415.66,316.92,26.37,-0.68,26.38,1.00,494.30,286.07,31.84,60.01,31.61,-7.83,32.71,90.55,21.50,92.31,0,-17.13,0,105686.77,87557.97,93538.43,3.08,9.76,41.96,8097.24,18242.35,7084.33,53.03,1.87,309.09,21.46,139.73,2.77,24197.11,9029.87,21697.87,110806.67,92226.74,97684.43,74.76,141.99,318.03,9.66,8.27,8.44,-3.74,1.43,1.64,10.35,8.38,8.60,0.93,0.99,0.98,493.87,492.33,496.70,286.70,285.53,285.99,36.11,29.36,30.06
"2015-07-30 08:00:00",0,0,0,286734.84,286789.66,54.80,33424.98,364.00,163.96,54925.75,295105.25,295422.16,316.92,26.76,3.33,26.96,0.99,496.80,287.52,31.86,60.01,26.44,-0.31,26.63,90.55,21.50,92.31,0,-17.13,0,105689.01,87560.02,93540.62,3.08,9.76,41.96,8097.24,18242.81,7084.94,53.03,1.87,309.09,21.46,139.73,2.77,24198.01,9029.87,21697.87,110809.03,92228.82,97686.66,74.76,141.99,318.03,9.92,8.03,8.80,-2.71,2.56,3.48,9.54,8.43,9.46,1.00,0.95,0.93,496.18,495.03,499.18,288.03,287.02,287.52,35.90,28.41,31.26
"2015-07-30 08:15:00",0,0,0,286741.44,286796.25,54.80,33425.87,364.00,163.96,54926.48,295111.88,295428.78,316.92,26.88,0.65,26.89,1.00,495.92,287.01,32.14,60.02,26.25,0.57,26.31,90.55,21.50,92.31,0,-17.13,0,105691.31,87562.10,93542.84,3.08,9.76,41.96,8097.24,18243.19,7085.44,53.03,1.87,309.09,21.46,139.73,2.77,24198.74,9029.87,21697.87,110811.44,92230.93,97688.94,74.76,141.99,318.03,9.62,8.47,8.79,-2.93,1.53,2.05,10.05,8.60,9.02,0.96,0.98,0.97,495.97,494.53,497.25,287.26,287.12,286.66,35.00,29.95,31.47
"2015-07-30 08:30:00",0,0,0,286747.94,286802.75,54.80,33426.96,364.00,163.96,54927.37,295118.41,295435.31,316.92,26.43,0.22,26.43,1.00,497.04,287.67,31.68,60.01,26.32,0.88,26.40,90.55,21.50,92.31,0,-17.13,0,105693.59,87564.10,93545.08,3.08,9.76,41.96,8097.24,18243.63,7086.10,53.03,1.87,309.09,21.46,139.73,2.77,24199.61,9029.87,21697.89,110813.80,92232.96,97691.22,74.76,141.99,318.03,9.26,8.04,8.86,-2.67,2.46,2.87,9.63,8.40,9.31,0.98,1.00,0.99,496.79,495.72,498.62,287.85,287.67,287.47,33.45,29.21,32.37
"2015-07-30 08:45:00",0,0,0,286754.38,286809.19,54.80,33428.06,364.00,163.96,54928.31,295124.88,295441.78,316.92,25.57,2.56,25.89,1.00,492.74,285.17,31.42,60.01,25.88,0.70,25.98,90.55,21.50,92.31,0,-17.13,0,105695.83,87566.09,93547.27,3.08,9.76,41.96,8097.24,18244.09,7086.74,53.03,1.87,309.09,21.46,139.73,2.77,24200.51,9029.87,21697.93,110816.15,92234.98,97693.46,74.76,141.99,318.03,9.83,7.93,7.81,-2.84,2.27,3.13,10.23,8.24,8.41,0.96,0.96,0.93,492.08,490.80,495.13,285.68,284.54,285.18,36.27,28.27,27.67
"2015-07-30 09:00:00",0,0,0,286760.53,286815.34,54.80,33429.05,364.00,163.96,54929.18,295131.00,295447.91,316.92,25.20,0.68,25.21,1.00,493.70,285.73,30.42,59.93,24.81,0.46,24.89,90.55,21.50,92.31,0,-17.13,0,105697.95,87568.02,93549.38,3.08,9.76,41.96,8097.24,18244.49,7087.32,53.03,1.87,309.09,21.46,139.73,2.77,24201.37,9029.87,21697.94,110818.39,92236.93,97695.60,74.76,141.99,318.03,9.10,7.80,8.25,-0.94,2.30,3.08,9.14,8.13,8.81,0.97,1.00,0.98,492.92,491.94,496.24,286.25,285.11,285.82,31.94,28.50,30.81
"2015-07-30 09:15:00",0,0,0,286766.59,286821.41,54.80,33430.24,364.00,163.96,54930.06,295137.16,295454.06,316.92,21.59,2.23,21.70,0.99,494.37,286.12,26.32,60.01,24.89,0.87,24.99,90.55,21.50,92.31,0,-17.13,0,105700.12,87569.85,93551.46,3.08,9.76,41.96,8097.24,18245.05,7087.95,53.03,1.87,309.09,21.46,139.73,2.77,24202.22,9029.88,21697.96,110820.67,92238.83,97697.73,74.76,141.99,318.03,8.07,5.87,7.64,-2.16,2.90,1.48,8.35,6.55,7.78,0.97,0.90,0.98,493.04,492.76,497.32,286.50,285.23,286.61,28.86,22.91,27.19
