time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-08-01 06:45:00",0,0,0,288422.59,288477.41,54.80,33711.72,364.00,163.96,55046.83,296825.88,297142.78,316.92,21.50,3.39,21.77,0.99,494.60,286.25,25.84,60.01,22.37,1.30,22.52,90.55,21.50,92.31,0,-17.13,0,106288.84,88099.45,94089.14,3.08,9.76,41.96,8179.39,18363.32,7169.01,53.03,1.87,309.09,21.46,139.73,2.77,24257.11,9045.04,21744.68,111422.37,92783.45,98245.20,74.76,141.99,318.03,8.76,5.66,7.62,-3.10,1.44,1.60,9.29,5.47,7.44,1.00,0.83,0.95,493.49,492.87,497.45,286.72,285.49,286.54,32.39,19.15,25.98
"2015-08-01 07:00:00",0,0,0,288428.25,288483.06,54.80,33712.66,364.00,163.96,55047.48,296831.56,297148.47,316.92,22.26,0.49,22.27,1.00,495.54,286.79,26.85,60.01,22.47,1.01,22.63,90.55,21.50,92.31,0,-17.13,0,106291.11,88100.91,94091.04,3.08,9.76,41.96,8179.43,18363.90,7169.32,53.03,1.87,309.09,21.46,139.73,2.77,24257.63,9045.04,21744.80,111424.69,92785.02,98247.13,74.76,141.99,318.03,9.00,5.90,7.36,-2.42,2.37,0.55,9.32,6.35,7.38,0.97,0.93,1.00,494.45,493.55,498.62,287.43,285.85,287.10,32.00,22.43,26.12
"2015-08-01 07:15:00",0,0,0,288433.91,288488.72,54.80,33713.66,364.00,163.96,55047.95,296837.25,297154.16,316.92,21.93,-1.96,22.46,1.00,496.66,287.44,27.08,59.96,22.17,1.94,22.29,90.55,21.50,92.31,0,-17.13,0,106293.41,88102.40,94092.91,3.08,9.76,41.96,8179.43,18364.54,7169.69,53.03,1.87,309.09,21.46,139.73,2.77,24258.10,9045.04,21744.81,111427.04,92786.64,98249.05,74.76,141.99,318.03,9.40,5.42,7.10,-2.24,3.48,-3.20,9.13,6.44,7.79,1.00,0.84,0.91,496.05,495.39,498.69,287.72,287.20,287.50,33.23,20.48,25.25
"2015-08-01 07:30:00",0,0,0,288439.69,288494.50,54.80,33714.74,364.00,163.96,55048.62,296843.06,297159.97,316.92,27.53,-0.23,27.42,1.00,496.41,287.30,32.63,60.01,22.64,1.69,22.81,90.55,21.50,92.31,0,-17.13,0,106295.71,88103.93,94094.87,3.08,9.76,41.96,8179.50,18365.15,7170.09,53.03,1.87,309.09,21.46,139.73,2.77,24258.67,9045.04,21744.91,111429.39,92788.30,98251.03,74.76,141.99,318.03,9.61,8.99,8.94,-2.79,0.84,1.72,10.00,9.02,9.10,0.96,1.00,0.98,495.41,495.23,498.31,287.27,286.98,287.49,34.98,31.69,31.73
"2015-08-01 07:45:00",0,0,0,288446.34,288501.16,54.80,33715.81,364.00,163.96,55049.36,296849.75,297166.66,316.92,26.57,0.92,26.58,1.00,496.25,287.21,31.42,60.00,25.93,1.46,26.06,90.55,21.50,92.31,0,-17.13,0,106297.97,88106.07,94097.13,3.08,9.76,41.96,8179.50,18365.65,7170.67,53.03,1.87,309.09,21.46,139.73,2.77,24259.40,9045.05,21744.91,111431.74,92790.47,98253.34,74.76,141.99,318.03,9.15,8.49,8.93,-2.16,1.33,1.75,9.39,8.59,9.10,0.97,0.99,0.98,495.51,494.51,498.67,287.61,286.67,287.30,32.97,29.99,31.65
"2015-08-01 08:00:00",0,0,0,288452.84,288507.66,54.80,33716.93,364.00,163.96,55050.11,296856.28,297173.19,316.92,25.69,4.09,26.01,0.99,496.53,287.37,30.73,60.02,26.28,1.57,26.42,90.55,21.50,92.31,0,-17.13,0,106300.20,88108.09,94099.35,3.08,9.76,41.96,8179.51,18366.19,7171.23,53.03,1.87,309.09,21.46,139.73,2.77,24260.12,9045.06,21744.93,111434.08,92792.53,98255.61,74.76,141.99,318.03,10.40,6.76,8.53,-2.10,3.41,2.78,10.18,7.57,8.97,1.00,0.89,0.95,495.11,494.88,499.59,287.79,286.52,287.79,36.91,25.12,30.17
"2015-08-01 08:15:00",0,0,0,288458.41,288513.22,54.80,33718.01,364.00,163.96,55050.78,296861.91,297178.81,316.92,21.42,0.26,21.42,1.00,495.40,286.71,25.91,60.00,23.77,1.45,23.97,90.55,21.50,92.31,0,-17.13,0,106302.46,88109.56,94101.20,3.08,9.76,41.96,8179.59,18366.80,7171.62,53.03,1.87,309.09,21.46,139.73,2.77,24260.67,9045.06,21745.05,111436.38,92794.12,98257.49,74.76,141.99,318.03,8.54,5.74,7.14,-2.43,1.87,0.82,8.87,6.03,7.18,0.96,0.95,0.99,494.15,493.81,498.24,287.12,285.91,287.11,30.60,21.72,25.40
"2015-08-01 08:30:00",0,0,0,288463.69,288518.50,54.80,33719.07,364.00,163.96,55051.40,296867.28,297184.19,316.92,21.83,1.97,21.92,1.00,495.62,286.84,26.53,60.02,21.15,1.73,21.36,90.55,21.50,92.31,0,-17.13,0,106304.59,88110.93,94102.99,3.08,9.76,41.96,8179.70,18367.37,7172.00,53.03,1.87,309.09,21.46,139.73,2.77,24261.18,9045.06,21745.17,111438.56,92795.60,98259.34,74.76,141.99,318.03,8.55,5.69,7.59,-2.23,2.55,1.65,8.83,6.24,7.76,0.97,0.91,0.98,494.38,494.00,498.57,287.30,286.00,287.28,28.89,24.09,28.63
"2015-08-01 08:45:00",0,0,0,288469.22,288524.03,54.80,33720.25,364.00,163.96,55052.07,296872.88,297189.78,316.92,22.14,8.54,23.73,0.93,495.51,286.77,26.53,60.10,21.98,1.79,22.29,90.55,21.50,92.31,0,-17.13,0,106306.84,88112.36,94104.85,3.08,9.76,41.96,8179.92,18367.97,7172.37,53.03,1.87,309.09,21.46,139.73,2.77,24261.66,9045.06,21745.36,111440.86,92797.15,98261.23,74.76,141.99,318.03,8.73,6.19,7.74,-1.81,1.18,1.29,8.91,6.29,7.62,0.88,0.97,1.00,494.43,493.81,498.28,287.18,286.05,287.09,31.03,22.01,26.56
"2015-08-01 09:00:00",0,0,0,288474.81,288529.63,54.80,33721.32,364.00,163.96,55052.77,296878.50,297195.41,316.92,21.21,3.88,21.56,0.98,495.12,286.55,25.59,60.01,22.47,2.01,22.79,90.55,21.50,92.31,0,-17.13,0,106309.06,88113.80,94106.74,3.08,9.76,41.96,8180.03,18368.55,7172.74,53.03,1.87,309.09,21.46,139.73,2.77,24262.20,9045.06,21745.51,111443.13,92798.71,98263.16,74.76,141.99,318.03,8.88,5.41,6.92,-1.85,3.16,2.57,8.68,6.26,7.38,1.00,0.86,0.94,493.96,493.32,498.08,287.07,285.68,286.90,31.65,20.49,24.63
