time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-08-02 07:15:01",0,0,0,289011.09,289065.91,54.80,33861.55,364.00,163.96,55078.39,297433.19,297750.09,316.92,22.13,2.71,21.98,1.00,493.63,285.69,26.41,60.01,26.44,-0.76,26.52,90.55,21.50,92.31,0,-17.13,0,106514.49,88274.72,94276.71,3.08,9.76,41.96,8221.39,18429.99,7210.17,53.03,1.87,309.09,21.46,139.73,2.77,24279.96,9045.07,21753.36,111655.09,92971.45,98437.67,74.76,141.99,318.03,9.11,5.65,7.37,-1.16,2.15,1.73,9.04,6.04,7.57,1.00,0.93,0.97,492.63,492.47,496.08,285.92,285.21,286.10,32.58,21.38,26.27
"2015-08-02 07:30:00",0,0,0,289016.56,289071.38,54.80,33862.46,364.00,163.96,55079.00,297438.66,297755.56,316.92,26.20,-1.26,26.23,1.00,494.60,286.25,31.34,60.01,21.91,1.22,22.07,90.55,21.50,92.31,0,-17.13,0,106516.68,88276.12,94278.58,3.08,9.76,41.96,8221.40,18430.55,7210.50,53.03,1.87,309.09,21.46,139.73,2.77,24280.48,9045.07,21753.44,111657.32,92972.96,98439.58,74.76,141.99,318.03,10.00,7.31,8.90,-4.67,0.94,2.46,11.03,7.36,8.55,0.91,0.99,1.00,493.64,493.19,496.96,286.50,285.76,286.49,35.26,27.25,31.52
"2015-08-02 07:45:00",0,0,0,289022.09,289076.91,54.80,33863.40,364.00,163.96,55079.70,297444.22,297761.13,316.92,21.30,2.91,21.50,0.99,494.60,286.25,25.78,60.01,22.62,0.97,22.74,90.55,21.50,92.31,0,-17.13,0,106518.91,88277.55,94280.44,3.08,9.76,41.96,8221.40,18431.14,7210.85,53.03,1.87,309.09,21.46,139.73,2.77,24281.09,9045.07,21753.53,111659.60,92974.53,98441.47,74.76,141.99,318.03,8.66,5.37,7.05,-2.70,2.44,1.37,9.07,5.90,7.18,1.00,0.89,0.93,493.74,493.24,496.82,286.53,285.79,286.43,31.65,20.64,25.05
"2015-08-02 08:00:00",0,0,0,289027.59,289082.41,54.80,33864.36,364.00,163.96,55080.38,297449.75,297766.66,316.92,21.12,2.01,21.29,1.00,494.08,285.95,25.64,60.01,21.35,0.98,21.47,90.55,21.50,92.31,0,-17.13,0,106521.13,88279.02,94282.28,3.08,9.76,41.96,8221.41,18431.71,7211.24,53.03,1.87,309.09,21.46,139.73,2.77,24281.70,9045.07,21753.60,111661.86,92976.10,98443.35,74.76,141.99,318.03,8.62,5.42,7.08,-1.92,2.46,1.47,8.83,5.94,7.22,0.98,0.91,0.98,493.43,492.57,496.10,286.28,285.53,285.95,30.82,20.67,25.25
"2015-08-02 08:15:00",0,0,0,289033.38,289088.19,54.80,33865.16,364.00,163.96,55081.15,297455.56,297772.47,316.92,24.83,-1.49,24.88,1.00,493.35,285.53,30.23,59.96,22.60,1.01,22.70,90.55,21.50,92.31,0,-17.13,0,106523.58,88280.52,94284.09,3.08,9.76,41.96,8221.41,18432.35,7211.41,53.03,1.87,309.09,21.46,139.73,2.77,24282.25,9045.07,21753.83,111664.38,92977.74,98445.20,74.76,141.99,318.03,10.91,6.67,7.25,-2.81,2.85,-1.52,11.26,7.25,7.41,0.97,0.92,0.98,492.22,491.84,496.00,285.86,284.83,285.89,39.19,25.53,25.98
"2015-08-02 08:30:01",0,0,0,289039.03,289093.84,54.80,33865.96,364.00,163.96,55081.91,297461.22,297778.13,316.92,24.78,2.41,24.89,1.00,493.13,285.40,29.76,60.01,23.44,-0.50,23.50,90.55,21.50,92.31,0,-17.13,0,106525.90,88282.02,94285.92,3.08,9.76,41.96,8221.41,18432.92,7211.64,53.03,1.87,309.09,21.46,139.73,2.77,24282.82,9045.07,21754.02,111666.75,92979.34,98447.07,74.76,141.99,318.03,9.81,6.81,8.16,-1.67,2.46,1.62,9.95,7.23,8.32,0.99,0.94,0.98,492.36,491.74,495.29,285.64,285.02,285.53,34.93,25.32,29.04
"2015-08-02 08:45:00",0,0,0,289044.56,289099.38,54.80,33866.81,364.00,163.96,55082.64,297466.81,297783.72,316.92,21.76,-0.89,21.78,1.00,493.02,285.34,26.32,59.99,22.57,0.68,22.66,90.55,21.50,92.31,0,-17.13,0,106528.16,88283.47,94287.77,3.08,9.76,41.96,8221.41,18433.47,7211.93,53.03,1.87,309.09,21.46,139.73,2.77,24283.40,9045.07,21754.16,111669.06,92980.90,98448.95,74.76,141.99,318.03,7.93,6.26,7.57,-5.63,1.71,3.03,9.72,6.02,6.93,0.82,1.00,1.00,492.18,491.47,495.42,285.79,284.74,285.48,28.38,23.55,27.04
"2015-08-02 09:00:00",0,0,0,289049.84,289104.66,54.80,33867.67,364.00,163.96,55083.36,297472.09,297789.00,316.92,21.42,1.29,21.46,1.00,493.60,285.67,25.89,60.00,21.14,0.15,21.25,90.55,21.50,92.31,0,-17.13,0,106530.27,88284.84,94289.53,3.08,9.76,41.96,8221.41,18433.99,7212.27,53.03,1.87,309.09,21.46,139.73,2.77,24284.00,9045.07,21754.28,111671.21,92982.38,98450.76,74.76,141.99,318.03,8.53,5.72,7.18,-2.26,2.15,1.40,8.82,6.11,7.31,0.97,0.94,0.98,492.76,492.25,495.79,285.97,285.21,285.84,30.46,21.53,25.67
"2015-08-02 09:15:01",0,0,0,289055.19,289110.00,54.80,33868.57,364.00,163.96,55083.88,297477.47,297794.38,316.92,22.27,1.96,22.38,0.99,493.25,285.47,27.66,60.01,20.92,1.54,21.03,90.55,21.50,92.31,0,-17.13,0,106532.44,88286.23,94291.34,3.08,9.76,41.96,8221.41,18434.56,7212.60,53.03,1.87,309.09,21.46,139.73,2.77,24284.47,9045.07,21754.34,111673.44,92983.88,98452.59,74.76,141.99,318.03,9.08,5.76,7.44,-2.80,3.25,1.51,9.49,6.61,7.59,0.96,0.87,0.98,492.50,491.67,495.54,285.81,284.93,285.65,32.86,23.56,26.81
"2015-08-02 09:30:00",0,0,0,289060.66,289115.47,54.80,33869.61,364.00,163.96,55084.40,297482.97,297799.88,316.92,22.30,0.69,22.31,1.00,493.65,285.70,27.06,60.01,22.00,1.87,22.14,90.55,21.50,92.31,0,-17.13,0,106534.68,88287.63,94293.16,3.08,9.76,41.96,8221.42,18435.21,7212.99,53.03,1.87,309.09,21.46,139.73,2.77,24284.97,9045.07,21754.35,111675.73,92985.43,98454.47,74.76,141.99,318.03,9.01,5.88,7.38,-2.19,2.52,1.54,9.27,6.39,7.54,0.96,0.93,0.99,492.60,492.18,496.15,285.98,285.05,286.06,32.41,22.43,26.34
