time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-24 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.55,76.63,76.88,76.39,,70.35,70.40,71.38,69.68,,73.88,74.43,75.21,73.72,,0,0
"2015-07-24 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.36,76.53,76.20,,71.86,71.21,71.96,70.23,,74.08,73.91,74.27,73.66,,0,0
"2015-07-24 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.23,76.25,76.40,76.17,,72.94,72.45,73.07,71.75,,74.22,74.24,74.46,73.96,,0,0
"2015-07-24 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.22,76.32,76.12,,73.60,73.31,73.74,72.83,,74.34,74.34,74.54,74.17,,0,0
"2015-07-24 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.19,76.21,76.32,76.13,,74.08,73.84,74.17,73.53,,74.35,74.38,74.56,74.20,,0,0
"2015-07-24 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.21,76.19,76.31,76.10,,74.24,74.18,74.41,73.91,,74.35,74.38,74.58,74.20,,0,0
"2015-07-24 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.19,76.29,76.08,,74.22,74.29,74.48,74.13,,74.36,74.38,74.61,74.22,,0,0
"2015-07-24 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.19,76.30,76.09,,74.42,74.31,74.48,74.17,,74.34,74.37,74.58,74.20,,0,0
"2015-07-24 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.15,76.28,76.02,,74.43,74.29,74.46,74.12,,74.30,74.34,74.54,74.13,,0,0
"2015-07-24 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.07,76.08,76.20,75.98,,74.32,74.27,74.44,74.12,,74.36,74.30,74.51,74.17,,0,0
"2015-07-24 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,76.04,76.15,75.93,,74.05,74.16,74.37,73.93,,74.34,74.28,74.51,74.10,,0,0
"2015-07-24 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.94,76.00,76.11,75.86,,73.81,73.96,74.18,73.77,,74.24,74.25,74.44,74.07,,0,0
"2015-07-24 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.89,75.93,76.06,75.81,,73.62,73.75,74.03,73.53,,74.24,74.22,74.43,73.98,,0,0
"2015-07-24 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.83,75.87,76.00,75.77,,73.43,73.54,73.76,73.31,,74.22,74.17,74.39,73.98,,0,0
"2015-07-24 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.82,75.81,75.93,75.70,,73.30,73.33,73.53,73.16,,73.89,74.09,74.30,73.88,,0,0
"2015-07-24 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.73,75.76,75.87,75.66,,73.16,73.20,73.38,73.00,,73.93,73.99,74.18,73.79,,0,0
"2015-07-24 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.65,75.69,75.80,75.57,,73.12,73.16,73.31,72.99,,73.86,73.95,74.17,73.74,,0,0
"2015-07-24 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.64,75.64,75.77,75.53,,72.99,73.07,73.31,72.82,,73.94,73.90,74.12,73.72,,0,0
"2015-07-24 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.65,75.61,75.73,75.50,,72.87,72.91,73.17,72.68,,73.84,73.83,74.05,73.64,,0,0
"2015-07-24 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.77,75.71,75.85,75.58,,72.61,72.72,72.97,72.51,,73.72,73.77,73.96,73.59,,0,0
"2015-07-24 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.79,75.80,75.93,75.69,,72.76,72.66,72.82,72.51,,73.71,73.71,73.89,73.48,,0,0
"2015-07-24 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.95,75.91,76.07,75.78,,72.61,72.59,72.78,72.46,,73.60,73.65,73.94,73.48,,0,0
"2015-07-24 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,76.00,76.13,75.89,,72.59,72.55,72.73,72.42,,73.55,73.61,73.82,73.41,,0,0
"2015-07-24 13:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.16,76.31,75.98,,72.97,72.76,73.07,72.47,,73.66,73.60,73.81,73.43,,0,0
"2015-07-24 13:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,76.11,76.27,75.96,,73.30,73.15,73.43,72.89,,73.76,73.64,73.84,73.43,,0,0
"2015-07-24 13:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.78,75.92,76.12,75.73,,74.08,73.61,74.13,73.21,,73.79,73.76,74.03,73.55,,0,0
"2015-07-24 13:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.59,75.69,75.88,75.52,,74.87,74.48,75.07,73.89,,74.03,73.90,74.08,73.69,,0,0
"2015-07-24 14:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.54,75.57,75.69,75.46,,56.77,64.20,75.15,53.42,,72.82,73.45,74.20,72.74,,0,0
"2015-07-24 14:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.25,75.38,75.61,75.15,,70.95,65.02,71.77,56.56,,72.23,72.48,72.95,72.02,,0,0
"2015-07-24 14:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.09,75.21,75.33,75.09,,73.07,67.24,73.14,56.96,,72.27,72.26,72.64,71.94,,0,0
"2015-07-24 14:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.23,75.18,75.29,75.07,,73.66,67.74,73.77,57.63,,72.54,72.34,72.74,71.99,,0,0
"2015-07-24 15:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.28,75.23,75.32,75.12,,67.75,67.75,73.93,57.83,,72.47,72.38,72.74,72.06,,0,0
"2015-07-24 15:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.24,75.26,75.37,75.17,,58.83,66.88,74.10,58.20,,72.59,72.41,72.74,72.06,,0,0
"2015-07-24 15:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.10,75.19,75.35,75.04,,68.87,66.27,73.71,58.58,,72.22,72.37,72.68,72.08,,0,0
"2015-07-24 15:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.24,75.17,75.29,75.03,,73.66,68.10,73.95,58.88,,72.37,72.32,72.66,72.02,,0,0
"2015-07-24 16:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.19,75.18,75.32,75.06,,60.17,67.75,74.42,59.55,,72.51,72.44,72.71,72.16,,0,0
"2015-07-24 16:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.13,75.17,75.29,75.06,,69.66,66.75,74.51,59.35,,72.40,72.41,72.69,72.11,,0,0
"2015-07-24 16:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.14,75.15,75.29,75.03,,69.63,68.93,74.44,59.83,,72.56,72.45,72.74,72.22,,0,0
"2015-07-24 16:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.21,75.19,75.33,75.06,,66.78,66.13,74.54,59.38,,72.40,72.47,72.76,72.16,,0,0
"2015-07-24 17:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.27,75.25,75.36,75.11,,74.41,68.23,74.48,59.19,,72.54,72.41,72.71,72.11,,0,0
