time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-25 06:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.83,76.86,76.96,76.77,,75.37,75.34,75.52,75.20,,75.25,75.28,75.50,75.15,,0,0
"2015-07-25 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.83,76.83,76.93,76.74,,75.32,75.29,75.47,75.15,,75.33,75.24,75.43,75.11,,0,0
"2015-07-25 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.83,76.82,76.91,76.73,,75.15,75.19,75.37,75.04,,75.15,75.23,75.43,75.09,,0,0
"2015-07-25 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.81,76.81,76.92,76.71,,75.11,75.14,75.30,74.99,,75.33,75.21,75.35,75.04,,0,0
"2015-07-25 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.79,76.79,76.91,76.70,,75.04,75.09,75.21,74.94,,75.21,75.20,75.37,75.06,,0,0
"2015-07-25 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.74,76.77,76.88,76.68,,74.97,75.04,75.20,74.90,,75.20,75.17,75.33,75.01,,0,0
"2015-07-25 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.73,76.74,76.86,76.64,,74.99,74.99,75.15,74.83,,75.16,75.14,75.30,74.97,,0,0
"2015-07-25 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.68,76.70,76.86,76.58,,74.90,74.95,75.13,74.80,,75.06,75.11,75.30,74.92,,0,0
"2015-07-25 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.60,76.65,76.81,76.54,,72.94,74.69,75.07,72.76,,74.89,75.07,75.26,74.80,,0,0
"2015-07-25 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.56,76.60,76.71,76.49,,68.53,68.83,72.95,67.48,,74.30,74.60,75.13,74.18,,0,0
"2015-07-25 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.50,76.53,76.65,76.43,,70.95,69.80,71.02,68.45,,74.37,74.38,74.65,74.18,,0,0
"2015-07-25 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.41,76.47,76.58,76.37,,71.96,71.49,72.09,70.78,,74.51,74.46,74.68,74.27,,0,0
"2015-07-25 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.39,76.54,76.26,,72.63,72.36,72.80,71.84,,74.46,74.45,74.68,74.29,,0,0
"2015-07-25 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,76.31,76.43,76.20,,73.07,72.83,73.10,72.49,,74.48,74.42,74.60,74.20,,0,0
"2015-07-25 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.23,76.25,76.37,76.16,,73.21,73.10,73.31,72.85,,74.44,74.39,74.61,74.20,,0,0
"2015-07-25 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.18,76.20,76.31,76.11,,73.19,73.22,73.38,73.05,,74.39,74.36,74.56,74.18,,0,0
"2015-07-25 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.16,76.27,76.05,,73.12,73.17,73.33,72.97,,74.24,74.32,74.54,74.15,,0,0
"2015-07-25 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.09,76.20,75.99,,73.12,73.14,73.31,72.94,,74.18,74.28,74.46,74.12,,0,0
"2015-07-25 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.89,76.03,76.15,75.92,,73.00,73.07,73.29,72.83,,74.22,74.25,74.46,74.03,,0,0
"2015-07-25 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.95,75.97,76.10,75.85,,72.97,72.98,73.17,72.83,,74.18,74.21,74.44,74.00,,0,0
"2015-07-25 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,75.93,76.06,75.81,,72.87,72.91,73.09,72.74,,74.08,74.15,74.34,73.96,,0,0
"2015-07-25 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.03,76.01,76.14,75.87,,73.07,72.94,73.17,72.76,,74.08,74.08,74.29,73.89,,0,0
"2015-07-25 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.13,76.07,76.18,75.95,,73.29,73.16,73.35,72.88,,73.96,74.01,74.22,73.79,,0,0
"2015-07-25 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.12,76.22,76.00,,73.36,73.30,73.48,73.10,,73.96,73.97,74.15,73.79,,0,0
"2015-07-25 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.15,76.25,76.03,,73.17,73.21,73.43,73.05,,74.00,73.94,74.13,73.76,,0,0
"2015-07-25 13:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.11,76.24,75.98,,73.60,73.29,73.72,73.07,,73.96,73.94,74.13,73.79,,0,0
"2015-07-25 13:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.08,76.06,76.18,75.94,,74.03,73.85,74.17,73.48,,74.07,73.99,74.25,73.82,,0,0
"2015-07-25 13:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.83,75.93,76.11,75.79,,74.61,74.29,74.68,73.94,,74.18,74.15,74.39,73.93,,0,0
"2015-07-25 13:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.74,75.82,75.93,75.70,,71.10,74.83,75.28,71.10,,74.34,74.30,74.53,74.10,,0,0
"2015-07-25 14:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.62,75.66,75.84,75.50,,59.57,63.42,71.22,54.42,,72.82,73.49,74.58,72.76,,0,0
"2015-07-25 14:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.43,75.51,75.66,75.39,,64.21,64.11,71.75,58.04,,72.23,72.54,73.07,72.13,,0,0
"2015-07-25 14:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.45,75.42,75.52,75.29,,65.13,66.91,73.14,58.91,,72.40,72.40,72.85,72.01,,0,0
"2015-07-25 14:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.28,75.32,75.42,75.24,,67.23,66.95,73.26,59.14,,72.27,72.41,72.76,72.10,,0,0
"2015-07-25 15:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.29,75.26,75.35,75.15,,68.64,67.22,73.38,59.24,,72.23,72.41,72.80,72.10,,0,0
"2015-07-25 15:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.14,75.21,75.34,75.07,,70.67,67.28,73.43,59.26,,72.16,72.38,72.76,72.08,,0,0
