time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-26 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.23,76.26,76.37,76.15,,75.06,75.08,75.23,74.94,,75.09,75.11,75.37,74.94,,0,0
"2015-07-26 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.23,76.21,76.34,76.10,,75.04,75.10,75.21,74.97,,74.97,75.04,75.25,74.85,,0,0
"2015-07-26 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.01,76.15,76.26,76.02,,75.07,75.07,75.25,74.90,,74.87,74.96,75.18,74.78,,0,0
"2015-07-26 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.07,76.08,76.18,75.96,,74.99,74.98,75.15,74.83,,74.90,74.89,75.09,74.70,,0,0
"2015-07-26 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.00,76.04,76.17,75.92,,74.84,74.89,75.09,74.70,,74.76,74.82,75.06,74.63,,0,0
"2015-07-26 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.95,75.98,76.13,75.83,,74.66,74.79,74.99,74.61,,74.73,74.75,74.99,74.58,,0,0
"2015-07-26 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.87,75.91,76.04,75.79,,74.68,74.71,74.90,74.56,,74.66,74.70,74.94,74.54,,0,0
"2015-07-26 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.82,75.84,75.96,75.73,,74.66,74.67,74.85,74.53,,74.61,74.64,74.89,74.48,,0,0
"2015-07-26 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.81,75.79,75.93,75.68,,74.71,74.64,74.80,74.51,,74.56,74.60,74.82,74.44,,0,0
"2015-07-26 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.71,75.73,75.87,75.63,,74.41,74.52,74.70,74.29,,74.54,74.55,74.75,74.32,,0,0
"2015-07-26 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.65,75.67,75.78,75.57,,74.35,74.34,74.54,74.15,,74.46,74.50,74.71,74.30,,0,0
"2015-07-26 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.56,75.61,75.73,75.49,,74.22,74.23,74.39,74.01,,74.30,74.44,74.65,74.25,,0,0
"2015-07-26 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.55,75.55,75.69,75.44,,74.32,74.20,74.37,74.01,,74.36,74.38,74.60,74.18,,0,0
