time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-27 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.47,76.48,76.58,76.39,,75.52,75.56,75.69,75.40,,75.57,75.60,75.78,75.45,,0,0
"2015-07-27 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.52,76.46,76.56,76.38,,75.56,75.55,75.69,75.42,,75.59,75.58,75.79,75.40,,0,0
"2015-07-27 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.40,76.45,76.54,76.37,,75.47,75.51,75.69,75.33,,75.50,75.55,75.73,75.37,,0,0
"2015-07-27 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.39,76.40,76.52,76.27,,75.49,75.46,75.61,75.26,,75.50,75.52,75.69,75.35,,0,0
"2015-07-27 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.30,76.34,76.46,76.24,,75.40,75.41,75.57,75.23,,75.43,75.50,75.69,75.28,,0,0
"2015-07-27 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.41,76.33,76.50,76.24,,75.40,75.37,75.57,75.20,,75.50,75.47,75.66,75.26,,0,0
"2015-07-27 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,76.32,76.45,76.21,,75.23,75.34,75.54,75.20,,75.32,75.43,75.64,75.23,,0,0
"2015-07-27 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.27,76.30,76.40,76.20,,75.26,75.32,75.50,75.20,,75.35,75.39,75.62,75.20,,0,0
"2015-07-27 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.23,76.28,76.38,76.18,,75.30,75.26,75.43,75.16,,75.37,75.35,75.59,75.20,,0,0
"2015-07-27 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.21,76.24,76.35,76.14,,75.20,75.23,75.40,75.13,,75.37,75.31,75.52,75.16,,0,0
"2015-07-27 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.21,76.32,76.11,,75.18,75.21,75.37,75.11,,75.28,75.28,75.47,75.13,,0,0
"2015-07-27 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.16,76.16,76.28,76.03,,75.14,75.19,75.35,75.07,,75.20,75.26,75.45,75.13,,0,0
"2015-07-27 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.11,76.23,76.02,,75.16,75.18,75.35,75.07,,75.20,75.25,75.42,75.13,,0,0
"2015-07-27 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.08,76.18,75.95,,75.11,75.17,75.33,75.02,,75.18,75.24,75.43,75.06,,0,0
"2015-07-27 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.07,76.06,76.16,75.96,,75.09,75.14,75.32,75.02,,75.18,75.22,75.42,75.09,,0,0
"2015-07-27 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.00,76.03,76.13,75.92,,75.04,75.11,75.26,74.97,,75.21,75.20,75.40,75.06,,0,0
"2015-07-27 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.94,76.01,76.11,75.88,,75.02,75.09,75.21,74.96,,75.16,75.18,75.38,75.02,,0,0
"2015-07-27 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.00,75.99,76.12,75.86,,75.06,75.07,75.20,74.92,,75.25,75.16,75.33,75.01,,0,0
"2015-07-27 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.98,75.97,76.11,75.83,,75.02,75.04,75.20,74.90,,75.06,75.14,75.33,74.97,,0,0
"2015-07-27 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.03,75.97,76.10,75.85,,75.01,75.02,75.16,74.89,,75.01,75.12,75.30,74.97,,0,0
"2015-07-27 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.10,76.26,75.93,,74.97,75.00,75.13,74.83,,75.04,75.10,75.26,74.94,,0,0
