time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-28 06:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.59,76.61,76.74,76.50,,75.39,75.44,75.54,75.37,,75.23,75.33,75.54,75.18,,0,0
"2015-07-28 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.55,76.54,76.67,76.43,,75.28,75.37,75.47,75.26,,75.25,75.26,75.45,75.15,,0,0
"2015-07-28 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.43,76.49,76.60,76.36,,68.53,70.99,75.37,68.46,,74.37,74.92,75.37,74.22,,0,0
"2015-07-28 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.31,76.50,76.12,,68.35,68.40,68.72,68.06,,73.40,73.81,74.44,73.24,,0,0
"2015-07-28 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.88,76.04,76.25,75.83,,68.63,68.14,68.62,67.88,,72.99,73.11,73.48,72.74,,0,0
"2015-07-28 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.62,75.79,75.98,75.59,,70.49,69.51,70.58,68.52,,73.46,73.17,73.59,72.82,,0,0
"2015-07-28 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.41,75.51,75.72,75.34,,72.04,71.38,72.06,70.44,,73.66,73.54,73.82,73.26,,0,0
"2015-07-28 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.30,75.37,75.48,75.26,,72.78,72.42,72.82,71.95,,73.74,73.70,73.89,73.48,,0,0
"2015-07-28 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.25,75.31,75.39,75.21,,73.19,73.01,73.28,72.71,,73.69,73.77,74.03,73.57,,0,0
"2015-07-28 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.25,75.26,75.37,75.11,,73.38,73.35,73.49,73.16,,73.77,73.81,74.03,73.62,,0,0
