time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-28 16:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.76,74.79,74.95,74.63,,62.94,64.89,73.69,55.88,,72.28,72.34,72.64,72.04,,0,0
"2015-07-28 16:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.90,74.82,74.95,74.69,,61.76,66.44,73.04,58.04,,72.51,72.31,72.64,71.97,,0,0
"2015-07-28 16:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.80,74.82,74.98,74.71,,69.00,64.85,72.01,57.22,,72.30,72.36,72.66,72.13,,0,0
"2015-07-28 17:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.62,74.73,74.90,74.60,,71.29,64.94,72.33,57.59,,72.32,72.39,72.66,72.11,,0,0
"2015-07-28 17:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.78,74.70,74.81,74.59,,67.23,62.19,71.97,54.78,,72.40,72.64,72.99,72.35,,0,0
"2015-07-28 17:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.66,74.67,74.81,74.57,,66.55,62.25,69.49,54.46,,72.49,72.60,72.92,72.35,,0,0
"2015-07-28 17:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.67,74.67,74.80,74.53,,67.61,62.71,68.74,55.51,,72.49,72.56,72.81,72.32,,0,0
"2015-07-28 18:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.77,74.75,74.88,74.65,,66.11,62.15,68.53,54.87,,72.66,72.63,72.95,72.40,,0,0
"2015-07-28 18:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.80,74.80,74.93,74.69,,64.00,59.93,67.98,54.21,,72.61,72.78,73.10,72.47,,0,0
"2015-07-28 18:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.89,74.88,75.02,74.71,,66.26,62.33,68.38,55.62,,72.51,72.68,72.95,72.42,,0,0
"2015-07-28 18:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.99,74.94,75.06,74.83,,71.17,63.88,71.17,57.23,,72.42,72.57,72.83,72.33,,0,0
"2015-07-28 19:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.97,74.97,75.07,74.87,,68.24,64.46,72.18,57.77,,72.58,72.61,73.04,72.39,,0,0
"2015-07-28 19:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.07,75.02,75.15,74.93,,67.92,64.76,71.60,58.15,,72.59,72.71,73.04,72.47,,0,0
"2015-07-28 19:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.96,75.03,75.16,74.94,,65.23,65.05,72.42,58.31,,72.71,72.77,73.05,72.49,,0,0
"2015-07-28 19:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.89,74.99,75.13,74.90,,61.84,68.11,75.09,61.24,,72.82,72.72,73.02,72.46,,0,0
