time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-29 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.40,76.54,76.75,76.29,,66.85,67.36,68.02,66.80,,72.97,73.40,74.02,72.85,,0,0
"2015-07-29 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.25,76.48,76.11,,70.23,67.86,70.40,66.53,,73.21,72.95,73.31,72.64,,0,0
"2015-07-29 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,76.09,76.25,75.95,,72.40,71.53,72.46,70.20,,73.62,73.40,73.72,73.00,,0,0
"2015-07-29 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.87,75.95,76.13,75.80,,73.22,72.82,73.33,72.30,,73.77,73.66,73.89,73.46,,0,0
"2015-07-29 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.78,75.82,75.95,75.70,,73.33,73.32,73.50,73.10,,73.79,73.78,74.00,73.57,,0,0
"2015-07-29 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.65,75.72,75.90,75.60,,73.29,73.32,73.50,73.16,,73.93,73.84,74.07,73.64,,0,0
"2015-07-29 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.66,75.63,75.75,75.52,,72.83,73.13,73.40,72.71,,73.77,73.85,74.08,73.64,,0,0
"2015-07-29 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.56,75.58,75.69,75.47,,71.97,72.35,72.97,71.87,,73.79,73.84,74.03,73.64,,0,0
"2015-07-29 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.49,75.53,75.65,75.44,,71.69,71.83,72.08,71.63,,73.71,73.79,74.07,73.60,,0,0
"2015-07-29 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.41,75.48,75.61,75.40,,71.43,71.58,71.82,71.29,,73.62,73.71,73.96,73.48,,0,0
"2015-07-29 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.38,75.43,75.53,75.31,,71.34,71.30,71.56,71.10,,73.62,73.62,73.82,73.43,,0,0
