time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-30 07:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.99,77.06,77.24,76.90,,68.95,73.84,75.27,68.98,,74.96,75.11,75.30,74.80,,0,0
"2015-07-30 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.62,76.82,77.07,76.56,,68.67,68.33,69.04,68.01,,73.69,74.31,75.04,73.60,,0,0
"2015-07-30 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.29,76.45,76.71,76.21,,66.94,67.94,68.76,66.91,,72.97,73.40,73.91,72.97,,0,0
"2015-07-30 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,76.15,76.34,75.95,,69.51,68.29,69.52,66.91,,73.40,73.04,73.36,72.74,,0,0
"2015-07-30 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,75.99,76.12,75.85,,71.29,70.43,71.36,69.42,,73.55,73.46,73.76,73.14,,0,0
"2015-07-30 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.87,75.89,76.05,75.79,,72.49,71.94,72.53,71.24,,73.88,73.71,74.01,73.52,,0,0
"2015-07-30 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.78,75.85,75.97,75.75,,72.95,72.78,73.10,72.42,,73.79,73.80,74.05,73.62,,0,0
"2015-07-30 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.75,75.82,75.93,75.72,,73.52,73.25,73.51,72.98,,73.89,73.86,74.08,73.67,,0,0
"2015-07-30 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.71,75.75,75.87,75.63,,73.65,73.57,73.74,73.39,,73.93,73.88,74.08,73.72,,0,0
"2015-07-30 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.68,75.69,75.80,75.60,,73.48,73.61,73.77,73.46,,74.00,73.89,74.10,73.72,,0,0
"2015-07-30 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.67,75.66,75.77,75.59,,73.27,73.37,73.56,73.19,,73.81,73.89,74.12,73.72,,0,0
"2015-07-30 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.64,75.63,75.74,75.52,,73.09,73.16,73.34,73.01,,73.89,73.87,74.05,73.69,,0,0
"2015-07-30 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.55,75.59,75.72,75.47,,72.88,72.97,73.14,72.80,,73.79,73.84,74.05,73.62,,0,0
"2015-07-30 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.55,75.52,75.68,75.42,,72.71,72.80,72.96,72.62,,73.72,73.78,74.03,73.59,,0,0
"2015-07-30 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.42,75.48,75.60,75.39,,72.47,72.59,72.76,72.41,,73.74,73.72,73.94,73.55,,0,0
"2015-07-30 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.42,75.43,75.53,75.34,,72.35,72.36,72.56,72.23,,73.66,73.66,73.88,73.45,,0,0
"2015-07-30 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.36,75.39,75.48,75.29,,72.68,72.51,72.74,72.26,,73.57,73.60,73.77,73.40,,0,0
"2015-07-30 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.34,75.34,75.46,75.26,,73.07,72.84,73.09,72.62,,73.55,73.54,73.77,73.31,,0,0
"2015-07-30 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.36,75.31,75.41,75.24,,73.05,73.04,73.14,72.91,,73.45,73.49,73.72,73.26,,0,0
"2015-07-30 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.32,75.30,75.39,75.22,,72.80,72.94,73.12,72.77,,73.43,73.45,73.64,73.26,,0,0
"2015-07-30 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.37,75.38,75.50,75.28,,72.65,72.72,72.94,72.56,,73.31,73.40,73.62,73.23,,0,0
"2015-07-30 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.44,75.43,75.54,75.35,,72.41,72.50,72.71,72.28,,73.28,73.36,73.66,73.19,,0,0
"2015-07-30 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.59,75.52,75.67,75.40,,72.10,72.22,72.44,72.01,,73.30,73.33,73.53,73.17,,0,0
"2015-07-30 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.66,75.64,75.74,75.53,,71.95,71.95,72.13,71.80,,73.23,73.30,73.52,73.12,,0,0
