time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-07-31 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.56,76.70,76.90,76.49,,67.55,66.77,67.64,66.21,,73.10,73.41,74.01,72.89,,0,0
"2015-07-31 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.33,76.43,76.65,76.20,,69.84,68.61,69.89,67.53,,73.66,73.37,73.81,72.95,,0,0
"2015-07-31 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.22,76.38,76.07,,71.70,70.84,71.75,69.81,,73.96,73.82,74.05,73.52,,0,0
"2015-07-31 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.99,76.06,76.23,75.88,,72.75,72.29,72.83,71.68,,74.12,73.96,74.18,73.79,,0,0
"2015-07-31 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.84,75.90,76.06,75.79,,73.31,73.08,73.42,72.71,,74.12,74.02,74.24,73.84,,0,0
"2015-07-31 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.76,75.82,75.93,75.72,,73.46,73.43,73.55,73.28,,74.18,74.07,74.27,73.88,,0,0
"2015-07-31 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.79,75.79,75.91,75.69,,73.41,73.46,73.56,73.35,,74.07,74.08,74.30,73.91,,0,0
"2015-07-31 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.82,75.80,75.91,75.71,,73.15,73.27,73.48,73.09,,74.05,74.07,74.32,73.89,,0,0
"2015-07-31 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.71,75.79,75.92,75.69,,73.07,73.07,73.19,72.94,,74.01,74.06,74.25,73.88,,0,0
"2015-07-31 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.71,75.74,75.87,75.65,,73.03,73.03,73.12,72.91,,74.01,74.00,74.22,73.81,,0,0
"2015-07-31 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.64,75.69,75.78,75.58,,72.97,72.99,73.11,72.85,,73.96,73.96,74.17,73.79,,0,0
