time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-08-01 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.83,77.90,78.02,77.78,,76.14,76.07,76.19,75.96,,76.17,76.18,76.32,76.06,,0,0
"2015-08-01 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.83,77.85,77.99,77.72,,76.21,76.16,76.27,76.05,,76.18,76.14,76.28,76.02,,0,0
"2015-08-01 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.76,77.81,77.95,77.68,,76.23,76.21,76.29,76.14,,76.01,76.09,76.21,75.97,,0,0
"2015-08-01 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,77.76,77.91,77.62,,76.20,76.22,76.31,76.13,,76.00,76.05,76.17,75.93,,0,0
"2015-08-01 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.74,77.70,77.86,77.57,,76.21,76.20,76.28,76.13,,75.98,76.01,76.14,75.89,,0,0
"2015-08-01 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.74,77.65,77.80,77.47,,76.16,76.17,76.26,76.06,,75.94,75.96,76.11,75.81,,0,0
"2015-08-01 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.55,77.58,77.81,77.43,,76.13,76.12,76.22,76.00,,75.84,75.89,76.04,75.77,,0,0
"2015-08-01 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.43,77.51,77.66,77.37,,75.98,76.05,76.17,75.93,,75.83,75.83,75.95,75.72,,0,0
"2015-08-01 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.38,77.46,77.63,77.34,,75.83,75.93,76.08,75.74,,75.75,75.78,75.92,75.67,,0,0
"2015-08-01 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.41,77.40,77.54,77.29,,75.54,75.70,75.88,75.49,,75.69,75.71,75.87,75.59,,0,0
