time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Hallway (Degrees F)","Hallway Ave (Degrees F)","Hallway Min (Degrees F)","Hallway Max (Degrees F)","-","Office Vent (Degrees F)","Office Vent Ave (Degrees F)","Office Vent Min (Degrees F)","Office Vent Max (Degrees F)","-","Indoor office temp (Degrees F)","Indoor office temp Ave (Degrees F)","Indoor office temp Min (Degrees F)","Indoor office temp Max (Degrees F)","-","(point 40)","(point 41)"
"2015-08-02 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.30,77.37,77.52,77.23,,76.25,76.20,76.40,76.00,,76.23,76.17,76.29,76.05,,0,0
"2015-08-02 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.35,77.32,77.49,77.22,,76.36,76.28,76.43,76.10,,76.10,76.14,76.27,76.02,,0,0
"2015-08-02 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.26,77.28,77.43,77.18,,76.38,76.32,76.48,76.15,,76.10,76.10,76.22,75.98,,0,0
"2015-08-02 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.23,77.23,77.38,77.10,,76.29,76.33,76.53,76.19,,76.04,76.05,76.17,75.92,,0,0
"2015-08-02 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.06,77.18,77.35,77.04,,76.26,76.30,76.48,76.15,,75.97,76.01,76.13,75.89,,0,0
"2015-08-02 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.21,77.16,77.29,77.03,,76.22,76.24,76.41,76.09,,75.90,75.97,76.10,75.82,,0,0
"2015-08-02 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.15,77.12,77.28,,,76.05,76.15,76.31,76.00,,75.88,75.91,76.07,75.79,,0,0
"2015-08-02 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.08,77.08,77.23,76.96,,75.95,76.05,76.25,75.84,,75.82,75.85,76.01,75.75,,0,0
"2015-08-02 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.06,77.06,77.21,76.95,,75.93,75.96,76.14,75.78,,75.79,75.80,75.92,75.69,,0,0
"2015-08-02 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,76.99,77.04,77.18,76.95,,75.89,75.89,76.07,75.74,,75.71,75.76,75.88,75.66,,0,0
