time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-24 07:15:00",0,0,0,282727.78,282727.78,0.00,70105.43,0,0.00,25985.16,295737.63,295737.63,0,20.65,7.40,21.94,0.94,213.22,123.63,59.01,60.01,16.03,2.34,16.78,90.17,31.08,95.48,0,-6.91,0,115778.34,94610.73,72338.73,0,0,0.00,21584.17,24060.55,24460.71,0,0,0,0,0,0.00,11855.47,7866.29,6263.40,120017.50,99071.45,78701.69,0,0,0.00,7.91,6.18,6.55,1.88,3.05,2.47,8.13,6.89,7.00,0.97,0.90,0.94,213.08,212.90,213.67,123.19,124.09,123.61,65.75,54.53,56.77
"2015-07-24 07:30:00",0,0,0,282732.38,282732.38,0.00,70106.63,0,0.00,25985.49,295742.31,295742.31,0,15.27,1.39,15.34,1.00,213.44,123.76,43.10,60.01,20.91,5.85,21.82,90.17,31.08,95.48,0,-6.91,0,115780.08,94612.15,72340.14,0,0,0.00,21584.30,24061.13,24461.20,0,0,0,0,0,0.00,11855.80,7866.29,6263.40,120019.31,99072.98,78703.18,0,0,0.00,6.02,4.45,4.81,-2.19,1.81,1.76,6.40,4.80,5.12,0.94,0.93,0.94,213.39,212.91,214.02,123.39,124.42,123.48,51.08,37.80,40.42
"2015-07-24 07:45:00",0,0,0,282736.22,282736.22,0.00,70107.53,0,0.00,25985.93,295746.19,295746.19,0,16.20,-0.13,16.20,1.00,212.75,123.37,45.92,60.02,17.24,2.77,17.59,90.17,31.08,95.48,0,-6.91,0,115781.58,94613.37,72341.27,0,0,0.00,21584.30,24061.56,24461.67,0,0,0,0,0,0.00,11856.24,7866.29,6263.40,120020.87,99074.27,78704.35,0,0,0.00,5.67,5.81,3.76,-2.83,1.72,3.47,6.34,5.54,5.11,0.94,0.96,0.99,212.67,212.50,213.09,122.74,123.88,123.48,51.62,44.75,41.38
"2015-07-24 08:00:00",0,0,0,282740.16,282740.16,0.00,70108.48,0,0.00,25986.33,295750.19,295750.19,0,15.82,2.97,15.64,0.99,212.64,123.28,43.38,59.99,15.52,2.08,15.71,90.17,31.08,95.48,0,-6.91,0,115783.08,94614.67,72342.41,0,0,0.00,21584.30,24062.04,24462.13,0,0,0,0,0,0.00,11856.64,7866.29,6263.40,120022.42,99075.66,78705.52,0,0,0.00,6.09,4.95,4.78,-1.13,2.26,1.85,6.19,5.44,4.41,0.98,0.91,1.00,212.42,212.34,213.14,122.85,123.72,123.27,51.45,43.65,40.21
"2015-07-24 08:15:01",0,0,0,282744.13,282744.13,0.00,70109.41,0,0.00,25986.73,295754.19,295754.19,0,17.12,5.53,17.99,0.95,212.72,123.34,49.25,60.02,15.54,2.02,15.72,90.17,31.08,95.48,0,-6.91,0,115784.62,94615.92,72343.57,0,0,0.00,21584.30,24062.54,24462.57,0,0,0,0,0,0.00,11857.04,7866.29,6263.40,120024.02,99077.02,78706.74,0,0,0.00,6.84,5.56,4.74,-1.77,2.10,3.12,6.60,5.94,5.67,1.00,0.88,1.00,212.50,212.49,213.18,122.85,123.77,123.39,53.75,48.01,45.98
"2015-07-24 08:30:00",0,0,0,282747.88,282747.88,0.00,70110.40,0,0.00,25987.08,295758.06,295758.06,0,14.70,2.00,14.84,0.99,213.73,123.92,41.36,60.01,15.80,2.19,15.99,90.17,31.08,95.48,0,-6.91,0,115786.09,94617.13,72344.68,0,0,0.00,21584.38,24062.99,24463.03,0,0,0,0,0,0.00,11857.38,7866.29,6263.40,120025.53,99078.30,78707.90,0,0,0.00,6.09,4.26,4.35,-0.59,2.08,0.51,6.11,4.74,4.32,1.00,0.90,1.00,213.55,213.33,214.32,123.50,124.47,123.79,50.92,36.73,36.42
"2015-07-24 08:45:00",0,0,0,282751.53,282751.53,0.00,70111.21,0,0.00,25987.46,295761.78,295761.78,0,12.00,-0.67,12.02,1.00,214.17,124.17,34.01,60.03,14.93,2.43,15.23,90.17,31.08,95.48,0,-6.91,0,115787.57,94618.33,72345.65,0,0,0.00,21584.46,24063.37,24463.38,0,0,0,0,0,0.00,11857.71,7866.34,6263.42,120027.09,99079.56,78708.92,0,0,0.00,5.43,4.17,2.85,-0.77,-1.20,1.45,5.48,3.99,3.20,0.96,0.81,1.00,213.99,213.76,214.76,123.74,124.61,124.17,44.29,31.99,25.76
"2015-07-24 09:00:00",0,0,0,282754.53,282754.53,0.00,70111.68,0,0.00,25988.20,295764.84,295764.84,0,11.01,-5.30,12.22,0.90,213.93,124.03,31.79,60.00,14.11,1.01,14.42,90.17,31.08,95.48,0,-6.91,0,115788.88,94619.32,72346.34,0,0,0.00,21584.46,24063.61,24463.62,0,0,0,0,0,0.00,11858.12,7866.57,6263.51,120028.45,99080.63,78709.66,0,0,0.00,5.32,2.99,2.90,-1.91,2.95,-1.15,4.96,4.20,2.66,0.88,0.90,0.95,213.72,213.81,214.25,123.36,124.54,124.18,40.21,33.76,21.40
"2015-07-24 09:15:01",0,0,0,282757.38,282757.38,0.00,70112.08,0,0.00,25989.06,295767.78,295767.78,0,11.50,-1.86,11.65,0.99,214.32,124.26,32.43,60.02,11.85,-1.21,12.13,90.17,31.08,95.48,0,-6.91,0,115790.15,94620.27,72346.98,0,0,0.00,21584.46,24063.79,24463.83,0,0,0,0,0,0.00,11858.52,7866.91,6263.63,120029.78,99081.66,78710.34,0,0,0.00,5.66,3.20,2.64,-0.54,-1.94,0.62,5.68,3.74,2.71,1.00,0.86,0.97,214.17,214.02,214.76,123.74,124.70,124.34,47.34,27.43,22.51
"2015-07-24 09:30:01",0,0,0,282760.41,282760.41,0.00,70112.52,0,0.00,25989.90,295770.88,295770.88,0,12.98,-2.07,13.15,0.99,214.33,124.27,36.18,60.02,11.48,-1.85,11.81,90.17,31.08,95.48,0,-6.91,0,115791.44,94621.28,72347.70,0,0,0.00,21584.46,24064.05,24464.00,0,0,0,0,0,0.00,11858.90,7867.18,6263.82,120031.13,99082.73,78711.11,0,0,0.00,5.26,5.90,2.11,-1.19,-0.22,0.63,5.39,5.90,2.20,0.95,1.00,0.94,214.13,214.01,214.87,123.77,124.68,124.37,43.55,47.30,17.68
