time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-25 06:45:00",0,0,0,283481.22,283481.22,0.00,70323.28,0,0.00,26018.69,296525.22,296525.22,0,11.72,0.89,11.75,1.00,213.43,123.78,33.41,60.02,12.29,-0.65,12.51,90.17,31.08,95.48,0,-6.91,0,116078.81,94869.84,72532.57,0,0,0.00,21652.78,24135.49,24535.01,0,0,0,0,0,0.00,11872.75,7878.05,6267.89,120329.58,99343.02,78910.87,0,0,0.00,4.74,4.70,2.28,-1.61,1.37,1.13,5.01,4.90,2.54,0.95,0.96,0.90,213.27,212.97,214.04,123.55,124.41,123.37,40.44,39.68,20.09
"2015-07-25 07:00:00",0,0,0,283484.44,283484.44,0.00,70323.91,0,0.00,26019.27,296528.50,296528.50,0,16.08,2.39,16.26,0.99,214.00,124.07,45.83,59.97,11.61,0.05,11.77,90.17,31.08,95.48,0,-6.91,0,116080.16,94870.94,72533.34,0,0,0.00,21652.78,24135.85,24535.28,0,0,0,0,0,0.00,11873.15,7878.17,6267.95,120330.98,99344.19,78911.69,0,0,0.00,6.66,4.86,5.05,-0.88,2.38,0.21,6.60,5.41,5.05,0.94,0.90,0.90,213.87,213.55,214.60,123.74,124.58,123.89,53.32,43.42,40.77
"2015-07-25 07:15:00",0,0,0,283488.28,283488.28,0.00,70324.83,0,0.00,26019.76,296532.38,296532.38,0,14.65,1.06,14.69,1.00,214.07,124.11,41.91,60.01,13.85,0.63,14.05,90.17,31.08,95.48,0,-6.91,0,116081.70,94872.08,72534.50,0,0,0.00,21652.78,24136.31,24535.73,0,0,0,0,0,0.00,11873.63,7878.17,6267.95,120332.59,99345.41,78912.91,0,0,0.00,5.39,4.75,3.87,-2.64,2.03,2.20,6.00,5.16,4.45,0.94,0.95,0.94,213.91,213.66,214.64,123.73,124.71,123.88,48.46,41.39,35.89
"2015-07-25 07:30:01",0,0,0,283491.84,283491.84,0.00,70325.75,0,0.00,26020.30,296535.94,296535.94,0,15.72,3.54,13.59,1.00,214.85,124.57,38.46,60.01,14.94,1.60,15.04,90.17,31.08,95.48,0,-6.91,0,116083.09,94873.17,72535.57,0,0,0.00,21652.78,24136.73,24536.23,0,0,0,0,0,0.00,11874.17,7878.18,6267.95,120334.04,99346.59,78914.02,0,0,0.00,6.05,4.52,5.15,-3.09,3.07,3.56,5.20,5.46,3.71,1.00,0.83,1.00,214.82,214.27,215.51,124.25,125.24,124.26,50.95,40.82,42.13
"2015-07-25 07:45:00",0,0,0,283495.38,283495.38,0.00,70326.70,0,0.00,26020.76,296539.53,296539.53,0,15.93,5.35,16.81,0.95,213.93,124.07,45.06,60.01,14.25,1.59,14.38,90.17,31.08,95.48,0,-6.91,0,116084.48,94874.27,72536.62,0,0,0.00,21652.78,24137.15,24536.77,0,0,0,0,0,0.00,11874.63,7878.18,6267.95,120335.48,99347.76,78915.09,0,0,0.00,6.09,4.89,4.95,-0.13,2.37,3.10,6.09,5.44,3.86,1.00,0.90,1.00,213.83,213.53,214.43,123.76,124.70,123.76,51.49,42.33,41.36
"2015-07-25 08:00:00",0,0,0,283499.03,283499.03,0.00,70327.67,0,0.00,26021.19,296543.25,296543.25,0,13.36,1.01,13.40,1.00,214.32,124.28,37.26,60.01,14.10,2.06,14.31,90.17,31.08,95.48,0,-6.91,0,116085.97,94875.37,72537.70,0,0,0.00,21652.79,24137.59,24537.30,0,0,0,0,0,0.00,11875.06,7878.18,6267.95,120337.02,99348.92,78916.20,0,0,0.00,5.71,4.15,3.50,-1.37,1.51,0.86,5.87,4.42,3.60,0.97,0.94,0.97,214.23,213.77,214.95,123.97,125.00,123.86,47.36,35.33,29.09
"2015-07-25 08:15:00",0,0,0,283502.75,283502.75,0.00,70328.61,0,0.00,26021.56,296547.03,296547.03,0,14.60,6.54,15.99,0.91,214.52,124.40,40.62,60.02,14.71,2.01,14.90,90.17,31.08,95.48,0,-6.91,0,116087.44,94876.50,72538.82,0,0,0.00,21652.82,24138.04,24537.76,0,0,0,0,0,0.00,11875.44,7878.18,6267.95,120338.55,99350.14,78917.38,0,0,0.00,6.03,5.29,3.61,1.71,2.53,2.25,6.26,4.64,4.26,0.98,0.91,0.79,214.59,214.00,214.98,123.98,125.07,124.16,50.51,37.07,34.29
"2015-07-25 08:30:01",0,0,0,283506.28,283506.28,0.00,70329.55,0,0.00,26021.94,296550.63,296550.63,0,14.00,1.39,13.85,1.00,214.61,124.45,38.67,59.93,14.81,2.50,15.11,90.17,31.08,95.48,0,-6.91,0,116088.78,94877.70,72539.80,0,0,0.00,21652.84,24138.51,24538.20,0,0,0,0,0,0.00,11875.81,7878.18,6267.95,120339.95,99351.41,78918.40,0,0,0.00,5.34,4.88,3.78,-1.06,1.49,0.96,5.44,5.10,3.89,0.98,0.96,0.97,214.35,214.13,215.18,124.06,124.96,124.25,44.70,41.16,31.71
"2015-07-25 08:45:00",0,0,0,283509.88,283509.88,0.00,70330.49,0,0.00,26022.28,296554.28,296554.28,0,15.11,1.83,15.22,0.99,214.59,124.44,42.61,60.01,14.06,1.94,14.23,90.17,31.08,95.48,0,-6.91,0,116090.18,94878.88,72540.81,0,0,0.00,21652.87,24138.98,24538.64,0,0,0,0,0,0.00,11876.16,7878.18,6267.95,120341.39,99352.68,78919.46,0,0,0.00,6.17,4.17,4.77,-0.83,1.73,0.93,6.11,4.51,4.68,1.00,0.92,1.00,214.53,214.13,215.11,123.99,125.03,124.29,51.19,35.76,40.88
"2015-07-25 09:00:00",0,0,0,283513.59,283513.59,0.00,70331.55,0,0.00,26022.66,296558.16,296558.16,0,10.40,-3.43,10.95,0.95,215.00,124.68,29.75,60.01,14.73,2.78,15.08,90.17,31.08,95.48,0,-6.91,0,116091.72,94880.03,72541.85,0,0,0.00,21653.00,24139.43,24539.13,0,0,0,0,0,0.00,11876.44,7878.25,6267.97,120342.98,99353.91,78920.55,0,0,0.00,4.92,3.35,2.13,-1.37,-3.19,1.14,5.10,4.62,1.80,0.96,0.72,1.00,214.96,214.67,215.36,124.13,125.34,124.58,41.09,29.56,18.60
