time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-26 07:30:00",0,0,0,283958.47,283958.47,0.00,70483.84,0,0.00,26058.42,297032.06,297032.06,0,13.27,0.77,13.29,1.00,212.54,123.21,37.12,60.01,12.55,0.10,12.76,90.17,31.08,95.48,0,-6.91,0,116274.52,95033.35,72650.61,0,0,0.00,21700.61,24189.66,24593.56,0,0,0,0,0,0.00,11893.94,7891.66,6272.82,120536.27,99518.03,79044.40,0,0,0.00,5.26,4.19,3.82,-1.81,-0.48,3.06,5.56,4.16,4.89,0.95,1.00,0.78,212.44,212.20,212.98,122.62,123.76,123.24,44.88,34.87,31.60
"2015-07-26 07:45:00",0,0,0,283961.47,283961.47,0.00,70484.48,0,0.00,26059.08,297035.09,297035.09,0,12.41,0.99,12.45,1.00,212.34,123.09,35.57,60.02,12.84,0.90,12.99,90.17,31.08,95.48,0,-6.91,0,116275.82,95034.25,72651.39,0,0,0.00,21700.61,24189.82,24594.04,0,0,0,0,0,0.00,11894.39,7891.85,6272.84,120537.64,99519.00,79045.26,0,0,0.00,5.13,3.97,2.87,-1.91,1.29,1.98,5.48,4.17,3.48,0.96,0.92,1.00,212.31,211.93,212.78,122.53,123.85,122.89,44.69,33.69,28.31
"2015-07-26 08:00:00",0,0,0,283964.91,283964.91,0.00,70485.33,0,0.00,26059.53,297038.59,297038.59,0,16.32,5.75,17.30,0.94,212.67,123.28,48.78,60.01,12.63,0.39,12.83,90.17,31.08,95.48,0,-6.91,0,116277.22,95035.45,72652.27,0,0,0.00,21700.64,24190.16,24594.53,0,0,0,0,0,0.00,11894.80,7891.88,6272.85,120539.10,99520.23,79046.23,0,0,0.00,6.32,5.84,3.79,1.83,2.08,3.66,6.58,6.20,5.27,0.98,0.94,0.88,212.66,212.21,213.14,122.73,123.94,123.17,53.58,49.99,42.76
"2015-07-26 08:15:00",0,0,0,283968.06,283968.06,0.00,70486.02,0,0.00,26059.88,297041.84,297041.84,0,12.01,-2.03,12.18,0.99,213.13,123.55,34.40,60.01,13.40,1.60,13.67,90.17,31.08,95.48,0,-6.91,0,116278.59,95036.48,72652.99,0,0,0.00,21700.75,24190.45,24594.82,0,0,0,0,0,0.00,11895.05,7891.97,6272.87,120540.53,99521.34,79047.04,0,0,0.00,5.06,3.34,3.67,-1.08,-1.87,0.75,5.17,3.83,3.74,0.96,0.91,0.96,213.00,212.79,213.59,122.98,124.13,123.53,42.06,30.83,30.29
"2015-07-26 08:30:00",0,0,0,283970.94,283970.94,0.00,70486.45,0,0.00,26060.61,297044.78,297044.78,0,14.07,-3.87,14.59,0.96,213.23,123.61,39.53,60.02,12.04,0.21,12.28,90.17,31.08,95.48,0,-6.91,0,116279.88,95037.39,72653.65,0,0,0.00,21700.79,24190.62,24595.04,0,0,0,0,0,0.00,11895.39,7892.26,6272.95,120541.87,99522.34,79047.74,0,0,0.00,6.04,3.79,4.24,-2.72,0.39,-1.53,6.62,3.80,3.96,0.91,1.00,1.00,213.10,213.06,213.52,122.89,124.19,123.76,50.40,33.36,34.83
"2015-07-26 08:45:00",0,0,0,283973.59,283973.59,0.00,70486.90,0,0.00,26061.45,297047.53,297047.53,0,10.30,-1.52,10.26,0.97,213.66,123.87,29.79,60.02,11.43,-0.86,11.81,90.17,31.08,95.48,0,-6.91,0,116281.08,95038.27,72654.24,0,0,0.00,21700.80,24190.87,24595.23,0,0,0,0,0,0.00,11895.78,7892.57,6273.10,120543.13,99523.27,79048.38,0,0,0.00,4.50,3.49,2.32,-1.85,1.26,-0.94,4.86,3.71,2.50,0.93,0.94,0.93,213.47,213.50,214.01,123.27,124.41,123.93,39.44,29.78,20.14
"2015-07-26 09:00:00",0,0,0,283976.44,283976.44,0.00,70487.37,0,0.00,26062.17,297050.44,297050.44,0,10.66,-4.48,10.91,0.99,213.64,123.85,31.47,59.97,10.56,-1.75,10.90,90.17,31.08,95.48,0,-6.91,0,116282.32,95039.21,72654.89,0,0,0.00,21700.81,24191.11,24595.45,0,0,0,0,0,0.00,11896.17,7892.82,6273.18,120544.43,99524.29,79049.08,0,0,0.00,5.12,3.09,2.45,-1.63,-2.40,-0.45,5.37,3.91,2.41,0.95,0.79,1.00,213.70,213.29,213.89,123.17,124.47,123.89,43.67,27.80,21.45
"2015-07-26 09:15:01",0,0,0,283979.47,283979.47,0.00,70487.89,0,0.00,26062.71,297053.53,297053.53,0,10.36,-2.07,10.57,0.98,213.74,123.91,30.16,60.01,11.54,-0.98,11.81,90.17,31.08,95.48,0,-6.91,0,116283.59,95040.33,72655.56,0,0,0.00,21700.82,24191.41,24595.66,0,0,0,0,0,0.00,11896.54,7892.93,6273.24,120545.76,99525.48,79049.80,0,0,0.00,4.85,3.19,2.32,-1.69,-1.42,1.04,5.14,3.49,2.54,0.94,0.91,0.91,213.73,213.45,214.03,123.21,124.62,123.89,41.39,28.64,20.46
"2015-07-26 09:30:00",0,0,0,283982.13,283982.13,0.00,70488.28,0,0.00,26063.54,297056.28,297056.28,0,10.53,-1.47,10.64,0.99,213.08,123.53,30.63,60.01,11.94,-0.22,12.14,90.17,31.08,95.48,0,-6.91,0,116284.81,95041.19,72656.15,0,0,0.00,21700.82,24191.62,24595.84,0,0,0,0,0,0.00,11896.93,7893.23,6273.38,120547.04,99526.41,79050.43,0,0,0.00,4.71,3.51,2.32,-1.69,-0.93,1.16,5.00,3.63,2.59,0.94,0.97,0.89,213.03,212.73,213.48,122.81,124.24,123.54,40.18,31.21,20.49
"2015-07-26 09:45:01",0,0,0,283984.84,283984.84,0.00,70488.71,0,0.00,26064.39,297059.06,297059.06,0,10.57,-0.87,10.48,1.00,212.98,123.47,33.10,60.01,10.68,-1.72,11.00,90.17,31.08,95.48,0,-6.91,0,116286.03,95042.05,72656.76,0,0,0.00,21700.82,24191.82,24596.05,0,0,0,0,0,0.00,11897.34,7893.53,6273.52,120548.31,99527.34,79051.11,0,0,0.00,5.11,3.19,2.28,-1.41,-1.82,2.37,5.30,3.67,3.28,0.96,0.87,0.69,212.83,212.76,213.35,122.92,124.03,123.47,43.11,29.59,26.60
