time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-27 07:00:00",0,0,0,284391.44,284391.44,0.00,70630.26,0,0.00,26093.41,297494.22,297494.22,0,10.46,0.60,10.48,1.00,212.85,123.35,30.17,59.99,11.42,-0.29,11.69,90.17,31.08,95.48,0,-6.91,0,116441.55,95190.11,72759.79,0,0,0.00,21748.23,24240.16,24641.87,0,0,0,0,0,0.00,11911.24,7904.26,6277.90,120714.63,99685.49,79164.87,0,0,0.00,4.71,3.58,2.17,-2.16,1.25,1.51,5.18,3.79,2.64,0.91,0.94,0.82,212.91,212.40,213.24,122.70,124.28,123.07,40.37,30.51,19.62
"2015-07-27 07:15:00",0,0,0,284394.28,284394.28,0.00,70630.72,0,0.00,26094.05,297497.13,297497.13,0,12.11,-0.74,12.13,1.00,214.09,124.06,34.55,60.01,11.26,-0.86,11.64,90.17,31.08,95.48,0,-6.91,0,116442.80,95191.02,72760.46,0,0,0.00,21748.27,24240.36,24642.09,0,0,0,0,0,0.00,11911.60,7904.47,6277.97,120715.94,99686.48,79165.59,0,0,0.00,4.62,5.01,2.48,-2.53,2.72,-0.93,5.26,4.20,2.65,0.88,1.00,0.94,214.08,213.51,214.67,123.65,124.92,123.62,39.62,42.19,21.82
"2015-07-27 07:30:01",0,0,0,284397.16,284397.16,0.00,70631.30,0,0.00,26094.75,297500.13,297500.13,0,11.11,-1.00,11.15,1.00,213.75,123.87,31.79,60.02,11.45,-0.64,11.78,90.17,31.08,95.48,0,-6.91,0,116444.05,95192.02,72761.10,0,0,0.00,21748.32,24240.67,24642.31,0,0,0,0,0,0.00,11911.99,7904.68,6278.08,120717.24,99687.52,79166.28,0,0,0.00,4.54,3.78,2.79,-2.81,2.43,-0.62,5.33,2.90,2.72,0.85,1.00,1.00,213.82,213.21,214.23,123.37,124.62,123.62,39.57,32.12,23.69
"2015-07-27 07:45:00",0,0,0,284399.97,284399.97,0.00,70631.87,0,0.00,26095.48,297503.03,297503.03,0,11.29,-2.94,11.66,0.97,214.40,124.25,31.88,60.02,11.32,-0.96,11.73,90.17,31.08,95.48,0,-6.91,0,116445.30,95192.95,72761.74,0,0,0.00,21748.37,24240.95,24642.54,0,0,0,0,0,0.00,11912.39,7904.90,6278.19,120718.55,99688.53,79166.98,0,0,0.00,4.49,4.01,2.80,-3.07,1.75,-1.62,5.44,3.60,3.23,0.83,1.00,0.87,214.31,213.73,215.16,123.86,125.10,123.79,38.52,33.27,23.85
"2015-07-27 08:00:00",0,0,0,284403.00,284403.00,0.00,70632.46,0,0.00,26096.13,297506.09,297506.09,0,9.44,-1.88,9.62,0.98,214.75,124.44,26.97,60.02,11.54,-0.44,11.81,90.17,31.08,95.48,0,-6.91,0,116446.54,95194.03,72762.42,0,0,0.00,21748.39,24241.30,24642.77,0,0,0,0,0,0.00,11912.78,7905.06,6278.30,120719.87,99689.67,79167.72,0,0,0.00,4.33,4.04,1.54,-2.56,-2.98,1.73,5.03,2.72,2.31,0.89,1.00,0.78,214.72,214.05,215.46,124.23,125.03,124.08,40.47,21.79,18.65
"2015-07-27 08:15:00",0,0,0,284405.78,284405.78,0.00,70632.92,0,0.00,26096.87,297508.97,297508.97,0,10.57,0.14,10.57,1.00,214.77,124.47,30.47,60.09,11.73,-0.63,12.06,90.17,31.08,95.48,0,-6.91,0,116447.77,95194.95,72763.06,0,0,0.00,21748.41,24241.53,24642.99,0,0,0,0,0,0.00,11913.18,7905.29,6278.39,120721.16,99690.67,79168.42,0,0,0.00,4.73,3.29,2.55,-1.25,1.96,-0.57,4.89,3.83,2.61,0.97,0.86,0.98,214.62,214.08,215.61,124.23,125.12,124.05,40.77,28.65,22.00
"2015-07-27 08:30:00",0,0,0,284408.56,284408.56,0.00,70633.44,0,0.00,26097.55,297511.84,297511.84,0,10.28,-1.37,10.37,0.99,213.30,123.61,29.84,59.96,11.18,-1.16,11.53,90.17,31.08,95.48,0,-6.91,0,116449.02,95195.85,72763.71,0,0,0.00,21748.47,24241.77,24643.21,0,0,0,0,0,0.00,11913.52,7905.53,6278.50,120722.46,99691.65,79169.11,0,0,0.00,4.95,3.20,2.13,-0.44,-2.07,1.14,4.93,3.81,2.41,1.00,0.84,0.88,213.24,212.96,213.71,123.08,124.29,123.46,41.63,29.12,18.79
"2015-07-27 08:45:00",0,0,0,284411.41,284411.41,0.00,70633.93,0,0.00,26098.20,297514.78,297514.78,0,11.63,-2.32,11.90,0.98,213.25,123.58,33.23,60.01,11.20,-0.60,11.55,90.17,31.08,95.48,0,-6.91,0,116450.29,95196.77,72764.37,0,0,0.00,21748.53,24241.98,24643.43,0,0,0,0,0,0.00,11913.84,7905.78,6278.59,120723.78,99692.63,79169.81,0,0,0.00,4.88,3.01,3.75,-1.49,-1.58,0.75,5.10,3.40,3.82,0.96,0.89,0.98,213.23,212.73,213.97,123.35,124.19,123.30,41.29,26.81,31.34
"2015-07-27 09:00:00",0,0,0,284414.19,284414.19,0.00,70634.31,0,0.00,26098.87,297517.66,297517.66,0,9.88,-4.03,10.67,0.93,213.38,123.66,28.77,59.94,11.42,-0.48,11.75,90.17,31.08,95.48,0,-6.91,0,116451.51,95197.68,72765.03,0,0,0.00,21748.53,24242.17,24643.61,0,0,0,0,0,0.00,11914.21,7905.99,6278.67,120725.07,99693.60,79170.52,0,0,0.00,4.66,2.99,2.23,-1.34,-1.89,-0.80,4.85,3.53,2.37,0.96,0.85,0.94,213.32,212.92,213.91,123.17,124.23,123.58,39.84,26.80,19.68
"2015-07-27 09:15:00",0,0,0,284416.94,284416.94,0.00,70634.55,0,0.00,26099.61,297520.50,297520.50,0,13.82,1.21,13.64,1.00,213.94,123.98,38.08,60.01,11.16,-1.15,11.41,90.17,31.08,95.48,0,-6.91,0,116452.73,95198.58,72765.64,0,0,0.00,21748.54,24242.35,24643.68,0,0,0,0,0,0.00,11914.58,7906.16,6278.87,120726.36,99694.58,79171.19,0,0,0.00,5.83,4.76,3.23,0.61,-1.22,1.82,5.86,4.60,3.71,1.00,1.00,0.87,213.67,213.39,214.63,123.79,124.34,123.74,48.25,39.82,27.58
