time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-28 06:45:00",0,0,0,285229.16,285229.16,0.00,70878.09,0,0.00,26124.71,298372.41,298372.41,0,12.03,-2.11,12.22,0.98,212.87,123.43,34.51,60.02,12.95,-0.98,13.35,90.17,31.08,95.48,0,-6.91,0,116772.45,95483.86,72972.88,0,0,0.00,21831.59,24324.75,24721.76,0,0,0,0,0,0.00,11926.65,7915.20,6282.86,121059.52,99993.12,79394.21,0,0,0.00,5.08,4.79,2.28,-2.23,-2.32,2.01,5.55,4.19,3.04,0.86,1.00,0.95,212.72,212.58,213.33,122.71,124.19,123.41,45.21,33.71,24.59
"2015-07-28 07:00:01",0,0,0,285232.50,285232.50,0.00,70878.65,0,0.00,26125.47,298375.78,298375.78,0,20.89,7.79,22.30,0.94,213.47,123.75,59.16,59.98,12.82,-1.09,13.17,90.17,31.08,95.48,0,-6.91,0,116773.90,95484.89,72973.70,0,0,0.00,21831.60,24325.05,24722.00,0,0,0,0,0,0.00,11927.11,7915.38,6282.98,121061.04,99994.22,79395.09,0,0,0.00,8.02,6.12,6.75,2.66,2.63,2.50,8.45,6.66,7.19,0.95,0.92,0.94,213.37,213.21,213.82,123.13,124.45,123.65,66.84,53.08,57.56
"2015-07-28 07:15:00",0,0,0,285237.69,285237.69,0.00,70880.09,0,0.00,26125.87,298381.09,298381.09,0,22.42,-0.26,22.42,1.00,212.86,123.40,63.27,60.02,15.35,1.09,15.76,90.17,31.08,95.48,0,-6.91,0,116775.86,95486.52,72975.29,0,0,0.00,21831.76,24325.74,24722.59,0,0,0,0,0,0.00,11927.51,7915.38,6282.98,121063.05,99996.00,79396.77,0,0,0.00,8.58,7.09,6.75,-3.97,0.86,2.85,7.60,7.04,6.12,1.00,1.00,1.00,212.68,212.90,213.01,122.65,123.96,123.57,71.83,60.68,57.29
"2015-07-28 07:30:00",0,0,0,285242.94,285242.94,0.00,70881.69,0,0.00,26126.25,298386.56,298386.56,0,20.26,4.71,20.80,0.97,212.50,123.18,59.15,60.02,20.58,3.66,21.09,90.17,31.08,95.48,0,-6.91,0,116777.89,95488.14,72976.89,0,0,0.00,21832.04,24326.42,24723.23,0,0,0,0,0,0.00,11927.89,7915.38,6282.98,121065.13,99997.76,79398.45,0,0,0.00,8.19,5.60,6.46,-2.12,3.83,2.99,7.91,6.78,5.72,1.00,0.83,1.00,212.32,212.52,212.68,122.44,123.75,123.36,68.23,54.60,54.63
"2015-07-28 07:45:00",0,0,0,285247.94,285247.94,0.00,70883.16,0,0.00,26126.66,298391.78,298391.78,0,19.46,6.42,20.49,0.95,213.73,123.92,55.25,60.02,20.99,4.87,21.81,90.17,31.08,95.48,0,-6.91,0,116779.91,95489.63,72978.41,0,0,0.00,21832.25,24327.04,24723.87,0,0,0,0,0,0.00,11928.30,7915.38,6282.98,121067.20,99999.39,79400.05,0,0,0.00,7.49,6.31,5.65,1.76,2.71,1.95,7.69,6.87,5.97,0.97,0.92,0.95,213.56,213.61,214.01,123.27,124.52,123.98,62.42,55.15,48.17
"2015-07-28 08:00:00",0,0,0,285253.31,285253.31,0.00,70885.01,0,0.00,26126.68,298397.50,298397.50,0,21.37,6.34,22.29,0.96,213.69,123.89,61.02,60.03,20.30,5.02,21.21,90.17,31.08,95.48,0,-6.91,0,116781.97,95491.34,72980.02,0,0,0.00,21832.73,24327.73,24724.54,0,0,0,0,0,0.00,11928.31,7915.38,6282.98,121069.31,100001.23,79401.76,0,0,0.00,8.12,7.16,6.10,1.24,2.90,2.20,8.21,7.72,6.48,0.99,0.93,0.94,213.40,213.59,214.09,123.36,124.34,123.98,67.44,62.97,52.66
"2015-07-28 08:15:00",0,0,0,285258.13,285258.13,0.00,70886.52,0,0.00,26126.83,298402.50,298402.50,0,17.32,5.63,18.21,0.95,213.80,123.97,48.23,60.02,21.38,7.29,22.68,90.17,31.08,95.48,0,-6.91,0,116783.83,95492.87,72981.42,0,0,0.00,21833.04,24328.35,24725.12,0,0,0,0,0,0.00,11928.47,7915.38,6282.98,121071.22,100002.87,79403.22,0,0,0.00,7.05,5.19,5.08,-2.03,3.91,3.75,7.33,6.50,6.31,0.96,0.80,0.80,213.50,213.53,214.38,123.50,124.36,124.04,58.59,44.07,42.04
"2015-07-28 08:30:00",0,0,0,285262.59,285262.59,0.00,70887.73,0,0.00,26127.18,298407.13,298407.13,0,16.42,1.20,16.47,1.00,213.92,124.03,46.26,60.01,18.48,4.58,19.22,90.17,31.08,95.48,0,-6.91,0,116785.59,95494.26,72982.74,0,0,0.00,21833.17,24328.88,24725.68,0,0,0,0,0,0.00,11928.82,7915.38,6282.98,121073.04,100004.36,79404.59,0,0,0.00,6.54,4.75,5.14,-1.96,1.77,1.39,6.82,5.07,5.32,0.96,0.94,0.97,213.69,213.54,214.52,123.58,124.51,124.02,55.19,40.70,42.89
"2015-07-28 08:45:00",0,0,0,285266.91,285266.91,0.00,70888.78,0,0.00,26127.60,298411.50,298411.50,0,16.41,7.48,18.04,0.91,214.17,124.18,45.49,60.01,17.68,3.05,18.10,90.17,31.08,95.48,0,-6.91,0,116787.30,95495.56,72984.05,0,0,0.00,21833.21,24329.37,24726.20,0,0,0,0,0,0.00,11929.24,7915.38,6282.98,121074.79,100005.76,79405.95,0,0,0.00,6.61,5.27,4.54,2.38,3.02,2.08,7.02,6.07,4.99,0.94,0.87,0.91,213.97,213.95,214.60,123.59,124.72,124.24,55.01,44.12,37.36
"2015-07-28 09:00:01",0,0,0,285271.13,285271.13,0.00,70890.02,0,0.00,26127.92,298415.88,298415.88,0,11.85,-3.81,12.44,0.95,214.17,124.18,34.03,59.94,17.36,3.02,17.74,90.17,31.08,95.48,0,-6.91,0,116788.98,95496.93,72985.22,0,0,0.00,21833.43,24329.86,24726.73,0,0,0,0,0,0.00,11929.48,7915.44,6283.00,121076.54,100007.21,79407.19,0,0,0.00,5.14,4.19,2.52,-1.66,-1.96,-0.19,5.40,4.62,2.53,0.95,0.91,1.00,213.96,214.14,214.41,123.50,124.63,124.41,44.55,35.98,21.55
"2015-07-28 09:15:00",0,0,0,285274.19,285274.19,0.00,70890.52,0,0.00,26128.67,298419.00,298419.00,0,12.91,0.77,12.94,1.00,214.68,124.47,36.56,60.09,15.79,2.65,16.39,90.17,31.08,95.48,0,-6.91,0,116790.31,95497.99,72985.89,0,0,0.00,21833.43,24330.16,24726.93,0,0,0,0,0,0.00,11929.90,7915.64,6283.13,121077.94,100008.34,79407.90,0,0,0.00,5.52,4.30,3.10,-1.31,3.88,-1.80,5.35,5.79,2.53,1.00,0.74,1.00,214.33,214.58,215.14,124.03,124.64,124.76,46.45,37.10,26.14
"2015-07-28 09:30:00",0,0,0,285277.31,285277.31,0.00,70891.03,0,0.00,26129.45,298422.19,298422.19,0,12.55,0.90,12.58,1.00,214.54,124.40,35.48,59.93,12.38,-0.79,12.57,90.17,31.08,95.48,0,-6.91,0,116791.68,95499.05,72986.60,0,0,0.00,21833.43,24330.47,24727.13,0,0,0,0,0,0.00,11930.35,7915.84,6283.26,121079.38,100009.46,79408.66,0,0,0.00,5.52,4.25,2.68,-1.75,1.77,0.94,5.79,4.61,2.84,0.96,0.95,0.91,214.28,214.48,214.86,123.78,124.84,124.58,46.77,36.89,22.77
"2015-07-28 09:45:01",0,0,0,285280.41,285280.41,0.00,70891.46,0,0.00,26130.23,298425.28,298425.28,0,12.13,-3.43,11.79,1.00,214.23,124.22,33.32,60.01,12.46,-1.37,12.68,90.17,31.08,95.48,0,-6.91,0,116793.06,95500.05,72987.28,0,0,0.00,21833.43,24330.71,24727.31,0,0,0,0,0,0.00,11930.76,7916.08,6283.39,121080.83,100010.52,79409.38,0,0,0.00,5.41,4.33,2.38,-2.54,-2.39,1.50,5.97,3.61,2.82,0.91,1.00,0.85,213.96,214.33,214.58,123.66,124.61,124.52,45.91,37.30,20.68
"2015-07-28 10:00:00",0,0,0,285283.41,285283.41,0.00,70891.88,0,0.00,26131.04,298428.38,298428.38,0,11.67,-4.55,12.52,0.93,213.62,123.87,33.52,60.01,12.18,-1.53,12.39,90.17,31.08,95.48,0,-6.91,0,116794.43,95501.02,72987.95,0,0,0.00,21833.43,24330.94,24727.51,0,0,0,0,0,0.00,11931.17,7916.36,6283.51,121082.25,100011.56,79410.10,0,0,0.00,5.37,3.62,2.68,-1.68,-1.41,1.21,5.62,3.88,2.94,0.94,0.90,0.95,213.34,213.66,213.87,123.16,124.29,124.17,45.64,31.25,23.67
"2015-07-28 10:15:00",0,0,0,285286.41,285286.41,0.00,70892.21,0,0.00,26131.79,298431.44,298431.44,0,11.70,-2.03,11.88,0.99,213.72,123.93,33.75,60.00,12.00,-1.72,12.27,90.17,31.08,95.48,0,-6.91,0,116795.77,95502.01,72988.65,0,0,0.00,21833.43,24331.05,24727.73,0,0,0,0,0,0.00,11931.61,7916.63,6283.55,121083.66,100012.61,79410.84,0,0,0.00,5.26,3.79,2.66,-1.87,-1.22,1.06,5.58,3.98,2.86,0.94,0.95,0.93,213.38,213.82,213.96,123.39,124.34,124.05,44.97,33.31,22.96
