time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-28 16:15:00",0,0,0,285479.25,285479.25,0.00,70946.34,0,0.00,26139.36,298632.22,298632.22,0,50.88,16.72,53.55,0.95,209.63,121.46,145.82,60.00,54.91,18.21,57.95,90.17,31.08,95.48,0,-6.91,0,116876.10,95565.95,73037.20,0,0,0.00,21850.73,24347.99,24747.62,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121166.23,100079.66,79463.84,0,0,0.00,21.48,16.87,12.53,5.13,6.58,5.01,22.07,18.10,13.48,0.97,0.93,0.93,209.61,209.72,209.55,120.54,122.30,121.53,183.35,144.69,109.43
"2015-07-28 16:30:00",0,0,0,285493.16,285493.16,0.00,70950.76,0,0.00,26139.36,298646.84,298646.84,0,53.13,17.15,55.83,0.95,210.58,121.98,153.02,60.00,56.04,17.39,58.77,90.17,31.08,95.48,0,-6.91,0,116881.82,95570.59,73040.77,0,0,0.00,21852.21,24349.53,24749.02,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121172.16,100084.55,79467.67,0,0,0.00,22.03,17.72,13.59,3.85,5.83,6.28,22.35,18.64,14.96,0.96,0.94,0.94,210.87,210.53,210.35,120.91,122.98,122.04,184.87,151.60,122.59
"2015-07-28 16:45:00",0,0,0,285507.16,285507.16,0.00,70955.17,0,0.00,26139.36,298661.53,298661.53,0,56.41,18.55,59.38,0.95,208.86,121.00,163.47,60.01,57.17,18.33,60.10,90.17,31.08,95.48,0,-6.91,0,116887.54,95575.23,73044.39,0,0,0.00,21853.65,24351.10,24750.42,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121178.06,100089.45,79471.56,0,0,0.00,22.60,19.03,14.79,7.40,5.45,5.70,23.76,19.78,15.84,0.95,0.96,0.93,209.15,208.96,208.47,119.75,122.09,121.18,194.85,163.69,131.88
"2015-07-28 17:00:00",0,0,0,285521.72,285521.72,0.00,70959.89,0,0.00,26139.36,298676.84,298676.84,0,63.73,29.02,70.02,0.91,207.14,120.01,187.92,60.02,55.71,17.77,58.53,90.17,31.08,95.48,0,-6.91,0,116893.40,95580.06,73048.26,0,0,0.00,21855.37,24352.67,24751.86,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121184.12,100094.54,79475.71,0,0,0.00,24.50,21.05,18.18,12.53,9.49,7.01,27.50,23.08,19.47,0.89,0.91,0.93,207.01,207.41,206.99,119.14,120.68,120.21,214.63,187.27,161.86
"2015-07-28 17:15:00",0,0,0,285536.91,285536.91,0.00,70964.63,0,0.00,26139.36,298692.78,298692.78,0,64.14,21.05,67.50,0.95,207.59,120.24,187.68,59.95,59.96,19.62,63.19,90.17,31.08,95.48,0,-6.91,0,116899.41,95585.29,73052.22,0,0,0.00,21856.94,24354.35,24753.35,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121190.34,100100.04,79479.95,0,0,0.00,25.64,22.29,16.20,8.14,7.41,5.50,26.89,23.48,17.10,0.95,0.95,0.95,207.53,207.66,207.59,119.41,121.39,119.92,224.51,192.97,145.55
"2015-07-28 17:30:00",0,0,0,285552.38,285552.38,0.00,70969.55,0,0.00,26139.36,298709.00,298709.00,0,55.75,16.38,58.10,0.96,207.33,120.08,161.10,59.92,59.79,18.66,62.70,90.17,31.08,95.48,0,-6.91,0,116905.48,95590.59,73056.29,0,0,0.00,21858.57,24356.05,24754.92,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121196.64,100105.62,79484.31,0,0,0.00,22.22,18.68,14.84,5.59,5.49,5.30,22.91,19.46,15.75,0.97,0.96,0.94,207.31,207.48,207.21,119.29,121.13,119.83,191.13,160.40,131.77
"2015-07-28 17:45:00",0,0,0,285567.56,285567.56,0.00,70974.31,0,0.00,26139.36,298724.97,298724.97,0,67.34,28.70,74.36,0.93,208.68,120.86,202.06,60.01,60.92,19.11,63.91,90.17,31.08,95.48,0,-6.91,0,116911.43,95595.81,73060.33,0,0,0.00,21860.13,24357.74,24756.45,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121202.78,100111.11,79488.64,0,0,0.00,25.79,22.82,18.73,10.15,8.84,9.70,27.71,24.46,21.08,0.93,0.93,0.89,208.37,208.82,208.76,120.14,121.64,120.75,223.25,196.96,169.62
"2015-07-28 18:00:01",0,0,0,285582.75,285582.75,0.00,70979.22,0,0.00,26139.36,298740.97,298740.97,0,70.70,25.42,75.13,0.94,207.59,120.23,206.71,60.00,61.52,19.31,64.57,90.17,31.08,95.48,0,-6.91,0,116917.48,95601.00,73064.30,0,0,0.00,21861.77,24359.43,24758.03,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121209.06,100116.57,79492.92,0,0,0.00,27.85,24.67,18.18,8.20,8.67,8.55,29.02,26.14,20.08,0.96,0.94,0.91,207.60,207.67,207.50,119.26,121.24,120.18,243.18,214.58,162.38
"2015-07-28 18:15:00",0,0,0,285598.25,285598.25,0.00,70984.06,0,0.00,26139.36,298757.19,298757.19,0,68.14,21.04,71.31,0.96,206.76,119.75,199.77,59.93,61.87,19.99,65.09,90.17,31.08,95.48,0,-6.91,0,116923.48,95606.41,73068.37,0,0,0.00,21863.37,24361.16,24759.53,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121215.28,100122.25,79497.27,0,0,0.00,25.93,23.25,18.96,7.36,7.45,6.23,26.94,24.41,19.95,0.96,0.95,0.95,207.06,206.56,206.66,118.76,121.04,119.46,227.33,202.35,169.62
"2015-07-28 18:30:01",0,0,0,285613.47,285613.47,0.00,70989.07,0,0.00,26139.36,298773.19,298773.19,0,61.25,17.43,63.69,0.96,208.44,120.72,177.63,60.00,61.06,19.29,64.10,90.17,31.08,95.48,0,-6.91,0,116929.37,95611.72,73072.36,0,0,0.00,21865.06,24362.92,24761.09,0,0,0,0,0,0.00,11934.98,7920.14,6284.24,121221.41,100127.85,79501.56,0,0,0.00,24.34,20.80,16.11,5.41,5.81,6.22,24.92,21.59,17.26,0.98,0.96,0.93,208.80,208.13,208.37,119.77,121.62,120.77,211.19,178.87,142.82
