time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-29 07:30:00",0,0,0,286074.94,286074.94,0.00,71129.17,0,0.00,26158.85,299257.03,299257.03,0,22.25,11.04,24.84,0.90,210.29,121.80,64.15,60.04,22.57,7.37,23.80,90.17,31.08,95.48,0,-6.91,0,117111.32,95773.80,73189.80,0,0,0.00,21910.04,24410.72,24808.42,0,0,0,0,0,0.00,11944.35,7928.13,6286.37,121411.02,100298.25,79629.48,0,0,0.00,8.30,7.36,6.59,4.25,3.19,3.60,9.32,8.02,7.51,0.89,0.92,0.88,210.26,209.82,210.80,121.46,122.15,121.80,70.24,65.20,57.02
"2015-07-29 07:45:00",0,0,0,286080.25,286080.25,0.00,71130.94,0,0.00,26158.93,299262.66,299262.66,0,19.12,9.45,21.33,0.90,210.48,121.91,54.86,60.02,22.59,7.42,23.87,90.17,31.08,95.48,0,-6.91,0,117113.39,95775.48,73191.38,0,0,0.00,21910.61,24411.37,24808.97,0,0,0,0,0,0.00,11944.43,7928.13,6286.37,121413.14,100300.07,79631.13,0,0,0.00,7.66,5.44,6.02,4.14,3.60,1.71,8.70,6.52,6.26,0.88,0.83,0.96,210.41,209.95,211.08,121.51,122.38,121.84,64.68,48.39,51.51
"2015-07-29 08:00:00",0,0,0,286084.75,286084.75,0.00,71132.03,0,0.00,26159.50,299267.22,299267.22,0,18.43,0.25,18.43,1.00,210.63,122.00,52.45,60.02,20.50,5.88,21.53,90.17,31.08,95.48,0,-6.91,0,117115.14,95776.92,73192.67,0,0,0.00,21910.68,24411.90,24809.45,0,0,0,0,0,0.00,11945.00,7928.13,6286.37,121414.96,100301.60,79632.49,0,0,0.00,7.43,5.32,5.67,-3.43,0.82,2.86,6.59,5.38,4.89,1.00,0.99,1.00,210.51,210.23,211.14,121.54,122.32,122.13,62.61,46.99,47.75
"2015-07-29 08:15:00",0,0,0,286089.22,286089.22,0.00,71132.96,0,0.00,26160.04,299271.75,299271.75,0,17.64,1.18,17.68,1.00,210.17,121.73,50.27,59.93,17.94,1.52,18.04,90.17,31.08,95.48,0,-6.91,0,117116.89,95778.36,73194.00,0,0,0.00,21910.68,24412.43,24809.86,0,0,0,0,0,0.00,11945.54,7928.13,6286.37,121416.77,100303.13,79633.86,0,0,0.00,6.88,5.44,5.23,-2.14,1.97,1.21,7.20,5.78,5.37,0.97,0.96,0.97,209.95,209.87,210.69,121.30,122.01,121.87,59.38,47.37,44.06
"2015-07-29 08:30:00",0,0,0,286093.63,286093.63,0.00,71133.88,0,0.00,26160.58,299276.16,299276.16,0,17.06,3.37,17.39,0.98,210.57,121.96,48.76,60.02,17.91,1.59,17.99,90.17,31.08,95.48,0,-6.91,0,117118.58,95779.77,73195.26,0,0,0.00,21910.69,24412.95,24810.26,0,0,0,0,0,0.00,11946.08,7928.13,6286.37,121418.52,100304.63,79635.16,0,0,0.00,7.32,6.10,5.61,-2.86,1.01,2.69,6.74,6.18,4.92,0.98,0.84,0.98,210.43,210.09,211.19,121.62,122.31,121.95,55.42,50.54,40.33
"2015-07-29 08:45:00",0,0,0,286098.00,286098.00,0.00,71135.03,0,0.00,26161.10,299280.59,299280.59,0,15.53,2.71,15.77,0.99,211.00,122.21,43.80,60.08,17.46,1.70,17.58,90.17,31.08,95.48,0,-6.91,0,117120.23,95781.30,73196.46,0,0,0.00,21910.79,24413.49,24810.75,0,0,0,0,0,0.00,11946.60,7928.13,6286.37,121420.21,100306.25,79636.40,0,0,0.00,5.33,5.12,5.08,-3.33,2.66,3.38,6.28,4.38,6.09,0.85,1.00,0.83,210.89,210.48,211.63,121.78,122.54,122.32,46.21,43.04,42.14
"2015-07-29 09:00:01",0,0,0,286101.72,286101.72,0.00,71135.77,0,0.00,26161.75,299284.41,299284.41,0,13.36,-0.57,13.37,1.00,211.35,122.42,38.28,60.01,17.08,2.23,17.36,90.17,31.08,95.48,0,-6.91,0,117121.73,95782.52,73197.46,0,0,0.00,21910.83,24413.85,24811.09,0,0,0,0,0,0.00,11947.13,7928.21,6286.41,121421.79,100307.55,79637.45,0,0,0.00,5.83,4.37,3.16,-0.38,1.56,-1.75,5.84,4.63,2.64,1.00,0.94,1.00,211.13,210.92,212.00,122.20,122.60,122.44,49.84,37.82,27.19
"2015-07-29 09:15:01",0,0,0,286104.84,286104.84,0.00,71136.09,0,0.00,26162.59,299287.59,299287.59,0,13.80,-2.48,14.02,0.98,211.49,122.49,39.45,60.02,14.36,-0.03,14.63,90.17,31.08,95.48,0,-6.91,0,117123.16,95783.55,73198.13,0,0,0.00,21910.83,24413.98,24811.28,0,0,0,0,0,0.00,11947.62,7928.44,6286.53,121423.29,100308.65,79638.17,0,0,0.00,6.38,4.18,3.24,-3.07,2.25,-1.66,5.59,4.74,2.78,1.00,0.88,1.00,211.45,211.03,211.97,122.23,122.74,122.51,54.19,36.53,27.63
"2015-07-29 09:30:00",0,0,0,286107.94,286107.94,0.00,71136.44,0,0.00,26163.53,299290.81,299290.81,0,11.40,-3.06,11.80,0.97,211.13,122.29,32.93,60.02,12.37,-2.10,12.68,90.17,31.08,95.48,0,-6.91,0,117124.52,95784.58,73198.84,0,0,0.00,21910.83,24414.13,24811.48,0,0,0,0,0,0.00,11948.17,7928.69,6286.68,121424.73,100309.73,79638.93,0,0,0.00,4.69,4.91,1.80,-0.82,-0.44,-1.80,4.61,4.89,2.55,1.00,1.00,0.71,211.04,210.82,211.53,121.97,122.50,122.41,40.90,41.12,16.75
"2015-07-29 09:45:00",0,0,0,286111.00,286111.00,0.00,71136.81,0,0.00,26164.70,299294.00,299294.00,0,13.17,2.18,13.35,0.99,211.03,122.24,38.11,60.01,12.30,-2.82,12.79,90.17,31.08,95.48,0,-6.91,0,117125.88,95785.61,73199.50,0,0,0.00,21910.83,24414.29,24811.70,0,0,0,0,0,0.00,11948.84,7928.98,6286.88,121426.15,100310.84,79639.64,0,0,0.00,5.72,3.80,3.65,-3.34,2.79,2.73,4.64,4.71,2.43,1.00,0.81,1.00,210.95,210.70,211.45,121.76,122.62,122.33,49.81,33.52,30.98
