time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-30 07:00:00",0,0,0,286956.50,286956.50,0.00,71379.62,0,0.00,26195.79,300176.25,300176.25,0,22.77,9.92,24.84,0.92,213.49,123.77,67.54,60.00,13.57,0.49,13.96,90.17,31.08,95.48,0,-6.91,0,117462.66,96074.54,73419.29,0,0,0.00,21990.15,24495.04,24894.43,0,0,0,0,0,0.00,11964.50,7940.55,6290.74,121775.19,100613.52,79876.75,0,0,0.00,8.74,6.77,7.25,1.98,3.66,4.28,8.96,7.70,8.42,0.98,0.88,0.86,213.26,213.15,214.05,123.47,124.39,123.45,72.58,61.87,68.17
"2015-07-30 07:15:00",0,0,0,286962.19,286962.19,0.00,71381.63,0,0.00,26195.79,300182.28,300182.28,0,22.66,7.11,23.75,0.95,213.47,123.77,64.49,59.95,17.57,3.58,18.37,90.17,31.08,95.48,0,-6.91,0,117464.83,96076.30,73421.06,0,0,0.00,21990.61,24495.84,24895.18,0,0,0,0,0,0.00,11964.51,7940.55,6290.74,121777.41,100615.45,79878.68,0,0,0.00,8.79,6.98,6.89,1.65,2.70,2.76,8.94,7.48,7.42,0.98,0.93,0.93,213.46,213.05,213.89,123.16,124.56,123.59,72.98,60.91,59.59
"2015-07-30 07:30:00",0,0,0,286967.56,286967.56,0.00,71383.19,0,0.00,26196.15,300187.81,300187.81,0,22.89,3.03,23.09,0.99,213.53,123.81,65.25,60.02,22.70,7.86,24.06,90.17,31.08,95.48,0,-6.91,0,117466.88,96077.92,73422.77,0,0,0.00,21990.73,24496.57,24895.89,0,0,0,0,0,0.00,11964.87,7940.55,6290.74,121779.52,100617.22,79880.53,0,0,0.00,8.80,6.92,7.17,-1.80,2.12,2.71,8.61,7.23,7.67,1.00,0.96,0.94,213.42,213.32,213.85,123.22,124.43,123.78,73.05,59.57,63.12
"2015-07-30 07:45:01",0,0,0,286972.66,286972.66,0.00,71384.67,0,0.00,26196.50,300193.09,300193.09,0,22.11,2.70,20.95,0.99,213.33,123.70,59.03,60.01,21.11,4.06,21.59,90.17,31.08,95.48,0,-6.91,0,117468.84,96079.40,73424.42,0,0,0.00,21990.86,24497.22,24896.59,0,0,0,0,0,0.00,11965.21,7940.55,6290.74,121781.54,100618.82,79882.30,0,0,0.00,7.91,6.67,7.53,-1.20,2.40,1.50,7.99,6.22,7.68,0.99,1.00,0.98,213.00,213.07,213.73,123.01,124.26,123.72,66.09,57.10,64.71
"2015-07-30 08:00:00",0,0,0,286977.47,286977.47,0.00,71386.13,0,0.00,26196.75,300198.06,300198.06,0,17.96,4.37,18.49,0.97,214.73,124.50,50.77,60.01,20.09,4.75,20.86,90.17,31.08,95.48,0,-6.91,0,117470.73,96080.88,73425.84,0,0,0.00,21991.05,24497.80,24897.27,0,0,0,0,0,0.00,11965.46,7940.55,6290.74,121783.47,100620.42,79883.85,0,0,0.00,7.18,5.69,5.09,-0.29,1.96,2.70,7.17,6.01,5.76,1.00,0.95,0.88,214.53,214.51,215.14,123.87,125.12,124.51,59.90,48.34,44.07
"2015-07-30 08:15:00",0,0,0,286981.66,286981.66,0.00,71387.10,0,0.00,26197.19,300202.31,300202.31,0,17.41,4.96,18.11,0.96,214.85,124.57,48.79,60.02,18.78,4.24,19.42,90.17,31.08,95.48,0,-6.91,0,117472.33,96082.28,73427.03,0,0,0.00,21991.05,24498.32,24897.72,0,0,0,0,0,0.00,11965.91,7940.55,6290.74,121785.13,100621.92,79885.11,0,0,0.00,6.40,5.93,5.09,-0.31,2.44,2.82,6.41,6.41,4.23,1.00,0.93,1.00,214.67,214.48,215.40,124.11,125.17,124.44,53.51,50.77,42.10
"2015-07-30 08:30:00",0,0,0,286986.00,286986.00,0.00,71388.30,0,0.00,26197.56,300206.78,300206.78,0,18.00,1.50,18.07,1.00,215.30,124.83,50.40,60.01,16.56,2.26,16.75,90.17,31.08,95.48,0,-6.91,0,117473.92,96083.80,73428.27,0,0,0.00,21991.11,24498.89,24898.30,0,0,0,0,0,0.00,11966.27,7940.55,6290.74,121786.79,100623.54,79886.40,0,0,0.00,6.76,6.39,4.85,-1.04,0.49,2.05,6.84,6.37,5.26,0.99,1.00,0.92,215.09,215.06,215.74,124.28,125.34,124.88,56.01,54.27,40.92
"2015-07-30 08:45:01",0,0,0,286990.50,286990.50,0.00,71389.60,0,0.00,26197.77,300211.44,300211.44,0,17.42,0.21,17.42,1.00,214.50,124.37,48.94,60.02,17.66,3.60,18.15,90.17,31.08,95.48,0,-6.91,0,117475.63,96085.40,73429.50,0,0,0.00,21991.28,24499.46,24898.86,0,0,0,0,0,0.00,11966.49,7940.55,6290.74,121788.53,100625.23,79887.68,0,0,0.00,6.66,6.06,4.48,-1.50,1.25,3.35,6.48,6.18,5.59,0.96,0.98,0.99,214.29,214.20,215.02,123.90,124.96,124.26,52.33,49.46,45.02
"2015-07-30 09:00:00",0,0,0,286995.00,286995.00,0.00,71390.91,0,0.00,26198.09,300216.13,300216.13,0,11.82,-5.63,13.09,0.90,215.02,124.67,33.68,60.00,17.75,3.91,18.31,90.17,31.08,95.48,0,-6.91,0,117477.38,96086.93,73430.70,0,0,0.00,21991.53,24499.98,24899.40,0,0,0,0,0,0.00,11966.73,7940.60,6290.76,121790.36,100626.88,79888.95,0,0,0.00,5.45,4.19,2.90,-2.00,-2.03,-1.16,5.80,3.66,3.12,0.98,0.73,1.00,214.75,214.82,215.49,124.12,125.07,124.82,46.73,29.28,25.03
"2015-07-30 09:15:00",0,0,0,286998.06,286998.06,0.00,71391.32,0,0.00,26198.94,300219.25,300219.25,0,12.10,-1.21,12.16,1.00,215.30,124.84,34.31,60.01,16.99,2.90,17.80,90.17,31.08,95.48,0,-6.91,0,117478.75,96087.91,73431.40,0,0,0.00,21991.53,24500.17,24899.62,0,0,0,0,0,0.00,11967.17,7940.90,6290.87,121791.80,100627.94,79889.70,0,0,0.00,5.34,3.51,3.25,-1.92,1.44,-0.73,5.68,3.79,3.33,0.94,0.93,0.98,215.08,214.91,215.91,124.39,125.21,124.93,46.11,29.58,27.23
"2015-07-30 09:30:00",0,0,0,287001.09,287001.09,0.00,71391.73,0,0.00,26199.80,300222.38,300222.38,0,12.87,-2.22,13.06,0.99,215.11,124.72,36.38,60.02,12.35,-1.51,12.59,90.17,31.08,95.48,0,-6.91,0,117480.11,96088.91,73432.09,0,0,0.00,21991.53,24500.39,24899.81,0,0,0,0,0,0.00,11967.60,7941.19,6291.02,121793.22,100629.01,79890.43,0,0,0.00,5.32,4.58,2.96,-1.87,1.56,-1.92,5.64,4.31,3.52,0.94,1.00,0.84,214.83,214.91,215.59,124.19,125.14,124.83,45.89,38.51,24.74
"2015-07-30 09:45:00",0,0,0,287004.22,287004.22,0.00,71392.24,0,0.00,26200.63,300225.56,300225.56,0,12.09,0.13,12.09,1.00,215.29,124.83,36.63,60.02,12.19,-1.65,12.47,90.17,31.08,95.48,0,-6.91,0,117481.47,96089.95,73432.80,0,0,0.00,21991.53,24500.66,24900.06,0,0,0,0,0,0.00,11968.05,7941.43,6291.15,121794.66,100630.11,79891.21,0,0,0.00,5.54,3.70,2.85,-1.79,-1.05,2.97,5.82,3.84,4.12,0.95,0.96,0.69,215.05,215.05,215.76,124.38,125.20,124.90,46.43,32.79,30.67
"2015-07-30 10:00:00",0,0,0,287007.31,287007.31,0.00,71392.79,0,0.00,26201.48,300228.69,300228.69,0,12.07,-2.46,12.32,0.98,215.44,124.92,34.47,60.01,12.38,-1.43,12.63,90.17,31.08,95.48,0,-6.91,0,117482.84,96090.93,73433.54,0,0,0.00,21991.53,24500.86,24900.39,0,0,0,0,0,0.00,11968.50,7941.72,6291.26,121796.09,100631.17,79892.08,0,0,0.00,5.54,3.78,2.75,-1.78,-1.67,0.99,5.81,4.13,2.92,0.95,0.92,0.94,215.09,215.31,215.93,124.46,125.23,125.07,46.57,33.00,23.83
"2015-07-30 10:15:00",0,0,0,287010.41,287010.41,0.00,71393.32,0,0.00,26202.29,300231.84,300231.84,0,12.79,-0.57,12.81,1.00,215.54,124.98,35.07,60.01,12.33,-1.35,12.59,90.17,31.08,95.48,0,-6.91,0,117484.23,96091.93,73434.25,0,0,0.00,21991.53,24501.06,24900.72,0,0,0,0,0,0.00,11968.94,7941.98,6291.38,121797.55,100632.24,79892.91,0,0,0.00,5.44,4.51,2.85,-1.57,1.12,-0.12,5.66,4.64,2.84,0.96,0.97,1.00,215.22,215.39,216.10,124.53,125.32,125.15,46.49,37.66,24.34
"2015-07-30 10:30:00",0,0,0,287013.56,287013.56,0.00,71393.89,0,0.00,26203.13,300235.06,300235.06,0,12.80,-1.68,12.91,0.99,215.43,124.91,36.12,60.01,12.40,-1.09,12.64,90.17,31.08,95.48,0,-6.91,0,117485.55,96093.05,73434.96,0,0,0.00,21991.53,24501.37,24901.00,0,0,0,0,0,0.00,11969.38,7942.19,6291.56,121798.95,100633.42,79893.76,0,0,0.00,5.48,4.63,2.69,-1.08,-1.72,1.13,5.37,4.94,2.91,1.00,0.94,0.92,215.17,215.17,215.95,124.36,125.34,125.04,46.10,39.13,23.15
"2015-07-30 10:45:01",0,0,0,287016.63,287016.63,0.00,71394.46,0,0.00,26203.96,300238.22,300238.22,0,13.18,-0.59,13.60,0.98,215.23,124.79,40.07,60.01,12.77,-0.51,12.98,90.17,31.08,95.48,0,-6.91,0,117486.86,96094.08,73435.70,0,0,0.00,21991.53,24501.62,24901.31,0,0,0,0,0,0.00,11969.83,7942.44,6291.69,121800.34,100634.52,79894.61,0,0,0.00,5.58,5.04,2.55,-1.16,-2.44,3.01,5.46,5.60,3.95,1.00,0.90,0.65,214.96,214.91,215.67,124.32,125.18,124.80,46.68,42.20,29.70
"2015-07-30 11:00:00",0,0,0,287019.69,287019.69,0.00,71394.94,0,0.00,26204.78,300241.31,300241.31,0,12.04,-3.42,12.52,0.96,215.14,124.74,34.30,60.02,12.22,-1.16,12.50,90.17,31.08,95.48,0,-6.91,0,117488.23,96095.09,73436.39,0,0,0.00,21991.53,24501.88,24901.53,0,0,0,0,0,0.00,11970.27,7942.68,6291.83,121801.77,100635.59,79895.37,0,0,0.00,5.43,3.90,2.71,-1.94,-0.21,-1.28,5.76,3.91,2.99,0.94,1.00,0.91,214.97,214.94,215.52,124.13,125.08,125.00,45.83,33.57,23.50
"2015-07-30 11:15:00",0,0,0,287023.41,287023.41,0.00,71395.34,0,0.00,26205.72,300245.13,300245.13,0,17.71,1.09,17.74,1.00,215.15,124.75,48.65,60.01,12.18,-1.85,12.44,90.17,31.08,95.48,0,-6.91,0,117489.88,96096.36,73437.18,0,0,0.00,21991.67,24501.94,24901.73,0,0,0,0,0,0.00,11970.59,7943.14,6291.99,121803.47,100636.92,79896.20,0,0,0.00,8.16,5.62,3.92,1.87,-1.40,0.62,7.94,5.44,3.87,1.00,1.00,1.00,214.95,215.06,215.45,124.02,125.14,125.09,67.32,46.45,32.18
