time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-31 07:30:01",0,0,0,287854.44,287854.44,0.00,71646.10,0,0.00,26228.64,301115.16,301115.16,0,21.96,12.06,25.05,0.88,214.10,124.12,63.36,60.02,22.74,8.23,24.34,90.17,31.08,95.48,0,-6.91,0,117820.65,96381.93,73651.87,0,0,0.00,22075.15,24583.79,24987.16,0,0,0,0,0,0.00,11981.44,7953.04,6294.15,122147.51,100936.16,80129.29,0,0,0.00,8.69,6.10,6.64,2.12,4.97,1.35,8.94,7.87,6.78,0.97,0.81,0.80,214.14,213.93,214.24,123.29,124.88,124.20,72.52,62.99,54.57
"2015-07-31 07:45:01",0,0,0,287859.59,287859.59,0.00,71647.88,0,0.00,26228.86,301120.63,301120.63,0,19.69,6.55,19.87,0.96,214.16,124.15,55.50,60.01,22.45,8.62,24.22,90.17,31.08,95.48,0,-6.91,0,117822.66,96383.47,73653.49,0,0,0.00,22075.40,24584.53,24987.96,0,0,0,0,0,0.00,11981.66,7953.04,6294.15,122149.57,100937.84,80131.11,0,0,0.00,8.02,5.57,6.11,1.41,2.03,3.11,7.89,5.92,6.85,1.00,0.94,0.89,213.93,214.10,214.51,123.51,124.73,124.26,66.79,49.26,54.15
"2015-07-31 08:00:00",0,0,0,287864.59,287864.59,0.00,71649.45,0,0.00,26229.14,301125.81,301125.81,0,19.82,4.38,20.30,0.98,213.88,124.00,56.91,60.01,20.11,5.51,21.09,90.17,31.08,95.48,0,-6.91,0,117824.59,96384.92,73655.06,0,0,0.00,22075.57,24585.17,24988.71,0,0,0,0,0,0.00,11981.95,7953.04,6294.15,122151.57,100939.44,80132.84,0,0,0.00,7.88,5.46,6.48,-1.08,2.78,2.68,7.95,6.12,7.01,0.99,0.89,0.92,213.72,213.78,214.14,123.17,124.70,124.13,65.74,47.51,57.47
"2015-07-31 08:15:00",0,0,0,287869.22,287869.22,0.00,71650.94,0,0.00,26229.41,301130.63,301130.63,0,18.81,3.44,19.12,0.98,215.11,124.71,52.75,60.02,19.82,4.89,20.61,90.17,31.08,95.48,0,-6.91,0,117826.41,96386.33,73656.48,0,0,0.00,22075.76,24585.76,24989.42,0,0,0,0,0,0.00,11982.21,7953.04,6294.15,122153.45,100940.95,80134.44,0,0,0.00,7.03,5.62,5.01,-0.95,1.83,4.51,7.09,5.91,6.73,0.96,0.94,0.88,214.86,215.03,215.45,124.08,125.21,124.84,57.11,47.22,53.93
"2015-07-31 08:30:00",0,0,0,287873.31,287873.31,0.00,71652.21,0,0.00,26229.84,301134.88,301134.88,0,17.81,4.77,18.43,0.97,214.83,124.54,51.88,60.01,18.13,4.99,18.97,90.17,31.08,95.48,0,-6.91,0,117827.99,96387.61,73657.73,0,0,0.00,22075.80,24586.28,24990.13,0,0,0,0,0,0.00,11982.64,7953.04,6294.15,122155.09,100942.35,80135.83,0,0,0.00,6.29,5.77,6.07,-1.97,2.74,2.06,6.59,6.38,6.41,0.97,0.89,1.00,214.65,214.66,215.17,123.91,125.00,124.71,53.18,51.07,51.39
"2015-07-31 08:45:01",0,0,0,287877.38,287877.38,0.00,71653.40,0,0.00,26230.30,301139.00,301139.00,0,15.97,2.67,16.19,0.99,214.73,124.49,46.66,59.93,16.21,3.11,16.56,90.17,31.08,95.48,0,-6.91,0,117829.54,96388.91,73658.94,0,0,0.00,22075.80,24586.80,24990.79,0,0,0,0,0,0.00,11983.10,7953.04,6294.15,122156.70,100943.76,80137.18,0,0,0.00,6.51,5.12,4.92,-1.33,1.46,2.36,6.64,5.32,5.46,0.97,0.90,0.93,214.63,214.52,215.04,123.82,125.04,124.63,53.66,42.55,43.77
"2015-07-31 09:00:00",0,0,0,287881.09,287881.09,0.00,71654.46,0,0.00,26230.72,301142.81,301142.81,0,12.30,-1.31,12.37,0.99,215.51,124.95,37.58,60.01,16.05,2.72,16.31,90.17,31.08,95.48,0,-6.91,0,117831.09,96390.05,73659.98,0,0,0.00,22075.85,24587.22,24991.39,0,0,0,0,0,0.00,11983.50,7953.06,6294.16,122158.32,100944.98,80138.38,0,0,0.00,5.50,3.64,3.16,-1.70,-2.07,2.46,5.76,4.18,4.00,0.96,0.87,0.79,215.40,215.27,215.86,124.32,125.58,124.95,46.80,32.24,33.71
"2015-07-31 09:15:00",0,0,0,287884.13,287884.13,0.00,71655.10,0,0.00,26231.50,301145.84,301145.84,0,12.04,-0.59,12.06,1.00,215.15,124.74,34.89,59.98,14.11,1.70,14.40,90.17,31.08,95.48,0,-6.91,0,117832.44,96390.99,73660.70,0,0,0.00,22075.85,24587.35,24991.91,0,0,0,0,0,0.00,11983.95,7953.36,6294.18,122159.74,100946.02,80139.28,0,0,0.00,5.37,3.66,3.01,-1.61,-1.04,2.05,5.60,3.81,3.64,0.96,0.96,0.83,214.99,214.87,215.52,124.16,125.33,124.71,45.63,32.67,29.31
"2015-07-31 09:30:00",0,0,0,287887.16,287887.16,0.00,71655.77,0,0.00,26232.29,301148.94,301148.94,0,12.08,2.61,12.36,0.98,215.75,125.10,36.57,59.98,12.04,-0.24,12.21,90.17,31.08,95.48,0,-6.91,0,117833.78,96391.95,73661.44,0,0,0.00,22075.85,24587.54,24992.38,0,0,0,0,0,0.00,11984.40,7953.64,6294.26,122161.16,100947.07,80140.21,0,0,0.00,5.34,4.01,2.73,-2.31,2.10,2.83,5.81,4.53,3.93,0.92,0.89,0.69,215.59,215.62,216.04,124.50,125.57,125.23,44.98,34.35,30.36
"2015-07-31 09:45:00",0,0,0,287890.22,287890.22,0.00,71656.49,0,0.00,26233.09,301152.09,301152.09,0,12.27,-0.86,12.30,1.00,215.64,125.03,38.36,60.01,12.27,-0.19,12.50,90.17,31.08,95.48,0,-6.91,0,117835.16,96392.93,73662.15,0,0,0.00,22075.85,24587.82,24992.82,0,0,0,0,0,0.00,11984.84,7953.90,6294.35,122162.61,100948.14,80141.11,0,0,0.00,5.47,4.23,2.56,-2.11,-1.48,2.74,5.86,4.48,3.75,0.93,0.94,0.68,215.31,215.51,216.11,124.57,125.41,125.11,46.16,36.42,32.49
