time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-24 00:30:00",0,0,0,102.60,101.97,103.08,101.13,,,,,,,62.72,67.54,80.05,61.31,,58.37,61.19,67.24,58.32,,58.04,63.54,72.80,54.77,,,,,,,,,,,,,,,,,0,0
"2015-06-24 00:45:00",0,0,0,103.93,103.03,104.96,102.13,,,,,,,63.86,67.39,79.11,61.06,,58.87,62.00,66.95,57.98,,68.43,57.65,68.47,54.02,,,,,,,,,,,,,,,,,0,0
"2015-06-24 01:00:00",0,0,0,101.33,102.96,103.95,101.34,,,,,,,65.26,67.39,79.18,61.91,,59.32,61.96,67.73,58.36,,54.29,63.23,73.84,54.23,,,,,,,,,,,,,,,,,0,0
"2015-06-24 01:15:00",0,0,0,99.58,99.47,101.36,98.19,,,,,,,68.55,67.00,79.22,61.16,,62.83,61.19,67.70,57.33,,56.64,65.37,74.14,53.98,,,,,,,,,,,,,,,,,0,0
"2015-06-24 01:30:00",0,0,0,101.98,100.88,102.28,99.56,,,,,,,70.12,67.18,79.70,60.53,,67.08,60.49,67.12,57.15,,74.23,62.56,74.26,52.76,,,,,,,,,,,,,,,,,0,0
"2015-06-24 01:45:00",0,0,0,96.91,99.57,101.99,96.88,,,,,,,74.49,66.70,78.58,60.23,,65.69,60.20,67.24,56.32,,66.57,59.92,74.65,52.03,,,,,,,,,,,,,,,,,0,0
"2015-06-24 02:00:00",0,0,0,94.50,95.59,97.00,94.39,,,,,,,74.85,66.95,78.27,60.45,,65.65,60.61,66.64,56.48,,75.15,73.03,75.28,66.56,,,,,,,,,,,,,,,,,0,0
"2015-06-24 02:15:00",0,0,0,91.84,92.96,94.54,91.75,,,,,,,76.02,66.60,77.61,60.24,,65.46,60.80,66.68,56.13,,77.06,76.11,77.06,75.15,,,,,,,,,,,,,,,,,0,0
"2015-06-24 02:30:00",0,0,0,87.90,90.01,91.91,87.83,,,,,,,75.63,66.39,76.73,59.88,,64.69,60.83,65.93,55.28,,76.56,77.34,78.30,76.55,,,,,,,,,,,,,,,,,0,0
"2015-06-24 02:45:00",0,0,0,84.67,85.97,87.87,84.63,,,,,,,72.06,67.00,76.31,59.46,,59.47,60.89,66.22,55.12,,50.14,60.54,77.90,50.11,,,,,,,,,,,,,,,,,0,0
"2015-06-24 03:00:00",0,0,0,82.71,83.62,84.70,82.71,,,,,,,68.05,67.17,76.50,59.50,,56.08,59.90,65.60,54.92,,49.24,49.48,50.21,49.24,,,,,,,,,,,,,,,,,0,0
"2015-06-24 03:15:00",0,0,0,81.76,82.16,82.79,81.71,,,,,,,65.97,67.45,76.44,59.62,,54.63,59.31,65.40,54.46,,49.03,49.19,49.32,49.02,,,,,,,,,,,,,,,,,0,0
"2015-06-24 03:30:00",0,0,0,81.41,81.60,81.80,81.33,,,,,,,62.39,66.65,75.87,60.31,,62.76,60.46,65.05,54.65,,53.84,57.37,63.45,49.03,,,,,,,,,,,,,,,,,0,0
