time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-24 10:30:00",0,0,0,69.77,70.67,71.32,69.72,,,,,,,64.32,67.88,74.79,57.64,,54.44,59.17,61.94,52.79,,73.82,74.04,74.52,73.79,,,,,,,,,,,,,,,,,0,0
"2015-06-24 10:45:00",0,0,0,69.52,69.85,70.61,69.12,,,,,,,64.65,71.55,74.44,64.30,,59.74,57.76,61.38,51.58,,74.81,73.95,74.84,73.68,,,,,,,,,,,,,,,,,0,0
"2015-06-24 11:00:00",0,0,0,68.87,69.41,70.13,68.76,,,,,,,73.48,67.38,73.52,58.32,,60.40,58.69,61.30,51.49,,74.84,74.56,75.13,73.95,,,,,,,,,,,,,,,,,0,0
"2015-06-24 11:15:00",0,0,0,67.68,68.51,68.99,67.67,,,,,,,71.21,66.69,73.94,57.71,,51.92,58.03,61.09,51.63,,72.64,73.60,74.89,72.61,,,,,,,,,,,,,,,,,0,0
"2015-06-24 11:30:00",0,0,0,67.50,67.53,67.71,67.33,,,,,,,59.00,69.13,73.38,57.59,,59.59,57.80,60.92,51.41,,71.64,72.05,72.68,71.64,,,,,,,,,,,,,,,,,0,0
"2015-06-24 11:45:00",0,0,0,66.18,66.82,67.53,66.18,,,,,,,72.85,69.09,72.90,59.03,,60.24,58.40,60.93,51.16,,71.21,71.42,71.74,71.14,,,,,,,,,,,,,,,,,0,0
"2015-06-24 12:00:00",0,0,0,66.34,66.18,66.35,66.03,,,,,,,71.44,66.78,73.14,58.04,,52.35,57.55,60.98,51.32,,72.66,71.42,72.73,70.75,,,,,,,,,,,,,,,,,0,0
"2015-06-24 12:15:00",0,0,0,66.38,66.25,66.43,66.08,,,,,,,58.33,70.42,73.40,58.41,,59.63,58.22,60.90,51.48,,72.05,72.34,73.14,71.50,,,,,,,,,,,,,,,,,0,0
"2015-06-24 12:30:00",0,0,0,66.67,66.53,66.71,66.34,,,,,,,72.82,67.98,72.90,57.86,,60.63,58.43,60.92,51.26,,72.17,72.89,73.41,72.01,,,,,,,,,,,,,,,,,0,0
"2015-06-24 12:45:00",0,0,0,66.71,66.78,66.93,66.63,,,,,,,70.52,66.59,73.26,57.69,,54.06,57.37,60.94,51.02,,73.73,72.91,73.84,71.81,,,,,,,,,,,,,,,,,0,0
"2015-06-24 13:00:00",0,0,0,67.48,66.99,67.52,66.61,,,,,,,62.15,71.60,73.41,62.21,,59.57,58.07,60.67,51.40,,73.21,73.09,74.00,72.23,,,,,,,,,,,,,,,,,0,0
"2015-06-24 13:15:00",0,0,0,67.93,67.59,67.95,67.39,,,,,,,73.43,67.00,73.57,57.66,,60.57,58.51,60.93,51.38,,73.05,73.55,73.97,73.00,,,,,,,,,,,,,,,,,0,0
"2015-06-24 13:30:00",0,0,0,69.42,68.48,69.46,67.88,,,,,,,69.73,67.51,74.28,58.67,,52.93,57.91,61.35,51.66,,73.97,73.24,74.02,72.47,,,,,,,,,,,,,,,,,0,0
