time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-25 00:00:00",0,0,0,104.43,107.76,110.40,104.38,,,,,,,66.87,65.25,79.31,62.08,,67.08,65.53,70.80,60.31,,78.24,75.99,78.30,69.93,,,,,,,,,,,,,,,,,0,0
"2015-06-25 00:15:00",0,0,0,94.60,100.03,104.60,94.59,,,,,,,61.40,66.25,77.50,61.30,,67.79,65.77,69.82,59.85,,69.44,70.21,78.44,58.05,,,,,,,,,,,,,,,,,0,0
"2015-06-25 00:30:00",0,0,0,89.80,91.80,94.61,89.74,,,,,,,61.71,65.66,74.69,61.14,,67.81,65.64,69.15,59.63,,76.97,75.39,76.97,69.52,,,,,,,,,,,,,,,,,0,0
"2015-06-25 00:45:00",0,0,0,87.03,88.29,89.84,87.03,,,,,,,61.60,65.61,74.81,61.00,,61.52,64.82,69.34,59.14,,65.58,69.12,77.04,56.93,,,,,,,,,,,,,,,,,0,0
"2015-06-25 01:00:00",0,0,0,85.01,85.76,87.07,84.95,,,,,,,61.64,65.58,74.94,60.64,,66.01,64.06,68.22,59.07,,76.98,73.53,77.02,65.61,,,,,,,,,,,,,,,,,0,0
"2015-06-25 01:15:00",0,0,0,89.22,85.63,89.22,84.82,,,,,,,61.60,66.11,76.04,60.57,,67.73,65.32,68.00,59.06,,61.73,76.19,79.17,61.71,,,,,,,,,,,,,,,,,0,0
"2015-06-25 01:30:00",0,0,0,91.17,91.43,92.27,89.14,,,,,,,61.32,66.50,76.35,60.65,,65.26,65.88,69.51,59.23,,75.74,67.77,75.88,56.51,,,,,,,,,,,,,,,,,0,0
"2015-06-25 01:45:00",0,0,0,85.27,88.26,91.20,85.23,,,,,,,60.69,65.88,75.35,60.21,,62.46,63.96,67.71,58.85,,76.61,76.20,76.61,75.78,,,,,,,,,,,,,,,,,0,0
"2015-06-25 02:00:00",0,0,0,84.31,84.15,85.27,83.54,,,,,,,60.77,66.21,76.15,59.99,,66.92,65.17,67.76,58.71,,52.50,68.10,77.60,52.52,,,,,,,,,,,,,,,,,0,0
"2015-06-25 02:15:00",0,0,0,84.20,84.15,84.54,83.65,,,,,,,62.37,67.03,76.51,60.13,,67.08,65.18,67.50,58.49,,48.68,49.46,52.48,48.65,,,,,,,,,,,,,,,,,0,0
"2015-06-25 02:30:00",0,0,0,81.64,82.78,84.20,81.61,,,,,,,69.99,63.15,70.01,58.33,,59.58,64.09,67.47,58.28,,48.01,48.28,48.71,47.98,,,,,,,,,,,,,,,,,0,0
"2015-06-25 02:45:00",0,0,0,80.04,80.80,81.65,80.00,,,,,,,73.36,65.73,74.25,58.64,,65.52,63.81,67.10,58.04,,67.67,53.21,67.72,47.78,,,,,,,,,,,,,,,,,0,0
"2015-06-25 03:00:00",0,0,0,78.99,79.50,80.07,78.92,,,,,,,73.87,65.46,74.49,58.59,,67.53,64.67,67.61,57.81,,48.04,55.34,69.37,48.04,,,,,,,,,,,,,,,,,0,0
