time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-25 03:15:00",0,0,0,78.10,78.54,79.04,78.05,,,,,,,73.17,66.12,74.66,59.65,,64.95,65.16,68.88,58.28,,52.13,52.91,59.61,47.71,,,,,,,,,,,,,,,,,0,0
"2015-06-25 03:30:00",0,0,0,77.25,77.70,78.14,77.24,,,,,,,69.36,65.67,73.40,59.30,,60.72,63.87,67.87,58.52,,54.99,48.79,54.98,47.31,,,,,,,,,,,,,,,,,0,0
"2015-06-25 03:45:00",0,0,0,76.64,76.93,77.35,76.60,,,,,,,67.28,66.39,74.57,59.59,,66.29,64.01,67.00,58.29,,47.50,51.70,58.52,47.46,,,,,,,,,,,,,,,,,0,0
"2015-06-25 04:00:00",0,0,0,76.45,76.52,76.67,76.37,,,,,,,64.54,65.74,73.98,59.00,,67.76,65.17,67.81,58.12,,48.53,52.50,58.93,47.25,,,,,,,,,,,,,,,,,0,0
"2015-06-25 04:15:00",0,0,0,75.90,76.17,76.47,75.83,,,,,,,63.03,65.94,74.43,58.83,,61.46,64.30,68.30,58.10,,60.37,52.77,60.34,47.04,,,,,,,,,,,,,,,,,0,0
"2015-06-25 04:30:00",0,0,0,75.47,75.63,75.90,75.41,,,,,,,63.56,66.29,74.61,58.73,,64.24,63.53,67.49,57.85,,54.71,53.53,62.79,47.19,,,,,,,,,,,,,,,,,0,0
"2015-06-25 04:45:00",0,0,0,75.10,75.30,75.50,75.07,,,,,,,62.19,66.54,74.74,59.21,,66.57,64.02,66.59,57.71,,50.23,60.89,64.41,50.21,,,,,,,,,,,,,,,,,0,0
"2015-06-25 05:00:00",0,0,0,75.12,75.03,75.17,74.90,,,,,,,60.59,66.21,74.47,59.12,,66.69,64.92,67.68,57.87,,66.75,53.77,66.74,47.15,,,,,,,,,,,,,,,,,0,0
"2015-06-25 05:15:00",0,0,0,74.71,75.14,75.39,74.68,,,,,,,60.15,65.85,74.01,58.45,,59.55,64.19,67.49,57.66,,47.94,61.36,68.89,47.94,,,,,,,,,,,,,,,,,0,0
"2015-06-25 05:30:00",0,0,0,74.35,74.67,74.85,74.31,,,,,,,60.32,66.39,74.35,58.34,,63.89,62.79,65.59,57.27,,67.19,58.29,67.64,47.29,,,,,,,,,,,,,,,,,0,0
"2015-06-25 05:45:00",0,0,0,73.91,73.99,74.35,73.79,,,,,,,64.74,67.30,74.35,58.45,,64.68,63.77,66.74,57.31,,55.24,54.71,67.33,46.93,,,,,,,,,,,,,,,,,0,0
"2015-06-25 06:00:00",0,0,0,73.41,73.82,74.02,73.39,,,,,,,67.56,66.16,73.98,58.19,,66.26,63.73,66.35,57.24,,55.83,61.50,67.88,55.21,,,,,,,,,,,,,,,,,0,0
"2015-06-25 06:15:00",0,0,0,72.60,73.04,73.46,72.57,,,,,,,72.89,66.27,73.98,58.18,,61.64,63.70,67.11,57.47,,61.44,55.67,61.48,48.19,,,,,,,,,,,,,,,,,0,0
"2015-06-25 06:30:00",0,0,0,71.91,72.25,72.68,71.89,,,,,,,73.48,65.97,73.55,58.13,,61.29,62.23,65.10,56.85,,68.82,66.66,71.38,61.44,,,,,,,,,,,,,,,,,0,0
