time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-25 10:00:00",0,0,0,69.08,68.77,69.14,68.42,,,,,,,67.08,66.75,73.14,58.40,,63.33,63.02,65.65,56.93,,74.33,73.93,74.35,73.72,,,,,,,,,,,,,,,,,0,0
"2015-06-25 10:15:00",0,0,0,68.63,68.93,69.16,68.58,,,,,,,60.08,67.86,73.10,57.97,,64.15,63.08,65.79,56.81,,74.33,74.79,75.40,74.30,,,,,,,,,,,,,,,,,0,0
"2015-06-25 10:30:00",0,0,0,67.97,68.27,68.67,67.92,,,,,,,64.97,68.46,72.82,60.14,,65.13,63.00,65.21,56.58,,74.31,74.19,74.42,74.00,,,,,,,,,,,,,,,,,0,0
"2015-06-25 10:45:00",0,0,0,67.44,67.71,67.98,67.39,,,,,,,72.19,65.64,72.19,57.42,,64.54,62.91,65.34,56.68,,74.06,74.08,74.30,73.92,,,,,,,,,,,,,,,,,0,0
"2015-06-25 11:00:00",0,0,0,67.25,67.25,67.45,67.12,,,,,,,69.73,65.59,72.65,57.36,,59.69,62.57,65.54,56.46,,74.88,74.40,75.25,73.79,,,,,,,,,,,,,,,,,0,0
"2015-06-25 11:15:00",0,0,0,67.70,67.47,67.70,67.24,,,,,,,62.35,67.62,72.80,58.03,,57.85,62.94,66.57,56.42,,72.05,73.18,74.86,72.01,,,,,,,,,,,,,,,,,0,0
"2015-06-25 11:30:00",0,0,0,67.90,67.74,67.94,67.61,,,,,,,67.24,69.53,72.90,62.32,,62.50,63.30,66.48,56.70,,71.11,71.55,72.10,71.12,,,,,,,,,,,,,,,,,0,0
"2015-06-25 11:45:00",0,0,0,67.55,67.85,68.13,67.52,,,,,,,72.26,66.01,72.39,57.95,,63.63,63.53,66.31,56.85,,70.60,70.85,71.26,70.53,,,,,,,,,,,,,,,,,0,0
"2015-06-25 12:00:00",0,0,0,67.12,67.15,67.54,67.00,,,,,,,70.12,65.98,72.70,57.93,,63.88,63.56,66.04,56.84,,72.22,71.65,72.69,70.44,,,,,,,,,,,,,,,,,0,0
"2015-06-25 12:15:00",0,0,0,66.92,66.99,67.17,66.82,,,,,,,64.24,66.67,72.44,57.65,,62.99,63.26,66.38,56.66,,73.10,72.12,73.14,71.23,,,,,,,,,,,,,,,,,0,0
"2015-06-25 12:30:00",0,0,0,66.71,66.89,67.05,66.67,,,,,,,64.26,69.83,72.42,64.19,,64.56,62.77,65.35,56.48,,72.98,72.55,73.22,71.77,,,,,,,,,,,,,,,,,0,0
"2015-06-25 12:45:00",0,0,0,67.19,66.95,67.27,66.59,,,,,,,71.91,65.62,71.98,57.36,,65.74,63.34,65.77,56.55,,72.39,72.85,73.44,72.03,,,,,,,,,,,,,,,,,0,0
"2015-06-25 13:00:00",0,0,0,67.19,67.12,67.21,67.02,,,,,,,69.22,66.01,72.49,57.85,,65.74,63.42,66.10,56.77,,72.47,73.06,73.62,72.33,,,,,,,,,,,,,,,,,0,0
"2015-06-25 13:15:00",0,0,0,68.36,67.73,68.41,67.15,,,,,,,59.73,68.15,72.82,58.05,,65.65,63.08,66.12,56.80,,73.75,73.06,73.85,72.15,,,,,,,,,,,,,,,,,0,0
