time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-25 13:30:00",0,0,0,69.20,68.80,69.25,68.35,,,,,,,73.12,68.84,73.17,59.77,,62.96,63.07,65.83,56.73,,73.44,73.14,73.84,72.52,,,,,,,,,,,,,,,,,0,0
"2015-06-25 13:45:00",0,0,0,70.38,69.79,70.39,69.14,,,,,,,72.70,66.11,73.05,58.18,,59.29,63.23,66.14,56.89,,73.09,73.68,74.28,73.02,,,,,,,,,,,,,,,,,0,0
"2015-06-25 14:00:00",0,0,0,71.78,71.09,71.81,70.33,,,,,,,68.22,66.88,73.73,58.58,,59.19,63.21,66.23,57.27,,74.00,73.51,74.11,72.85,,,,,,,,,,,,,,,,,0,0
"2015-06-25 14:15:00",0,0,0,75.34,73.37,75.39,71.73,,,,,,,61.91,68.38,73.87,58.87,,63.12,63.86,66.88,57.55,,73.72,73.92,74.58,73.29,,,,,,,,,,,,,,,,,0,0
"2015-06-25 14:30:00",0,0,0,78.55,76.87,78.60,75.33,,,,,,,66.46,70.30,74.52,61.87,,64.35,63.20,65.61,57.42,,74.09,74.16,74.79,73.68,,,,,,,,,,,,,,,,,0,0
"2015-06-25 14:45:00",0,0,0,81.01,79.84,81.02,78.51,,,,,,,74.57,67.30,74.62,59.21,,64.35,63.86,65.68,57.67,,74.28,73.95,74.23,73.67,,,,,,,,,,,,,,,,,0,0
"2015-06-25 15:00:00",0,0,0,81.95,81.84,82.35,80.99,,,,,,,73.98,67.32,74.89,59.53,,65.54,64.40,66.71,58.22,,74.19,74.52,75.08,74.02,,,,,,,,,,,,,,,,,0,0
"2015-06-25 15:15:00",0,0,0,80.97,81.89,82.45,80.90,,,,,,,73.00,67.61,75.15,59.75,,66.40,64.53,66.68,58.17,,75.11,74.66,75.49,74.14,,,,,,,,,,,,,,,,,0,0
"2015-06-25 15:30:00",0,0,0,80.36,80.41,80.98,80.12,,,,,,,71.01,68.17,75.56,60.16,,66.17,64.78,67.17,58.37,,74.23,74.34,75.15,73.77,,,,,,,,,,,,,,,,,0,0
"2015-06-25 15:45:00",0,0,0,80.80,80.54,80.85,80.29,,,,,,,67.12,68.27,76.06,60.15,,60.17,64.62,67.25,58.48,,75.11,74.86,75.59,74.16,,,,,,,,,,,,,,,,,0,0
"2015-06-25 16:00:00",0,0,0,81.66,81.26,81.71,80.73,,,,,,,65.38,68.51,76.36,60.47,,65.10,64.23,66.69,58.55,,74.98,74.75,75.11,74.60,,,,,,,,,,,,,,,,,0,0
"2015-06-25 16:15:00",0,0,0,82.08,81.75,82.07,81.52,,,,,,,64.38,68.62,76.51,60.80,,65.66,65.29,67.77,59.15,,75.03,75.41,75.91,74.91,,,,,,,,,,,,,,,,,0,0
"2015-06-25 16:30:00",0,0,0,82.89,82.39,82.92,81.98,,,,,,,63.57,68.94,77.02,61.21,,66.43,65.09,66.92,59.00,,75.84,75.34,76.04,74.89,,,,,,,,,,,,,,,,,0,0
