time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-25 19:15:00",0,0,0,93.22,92.57,93.33,91.08,,,,,,,62.79,68.66,79.77,62.77,,68.49,66.19,69.84,60.82,,77.01,76.95,77.07,76.86,,,,,,,,,,,,,,,,,0,0
"2015-06-25 19:30:00",0,0,0,93.10,93.23,93.45,93.04,,,,,,,63.06,68.57,79.68,62.68,,68.78,66.79,70.16,61.17,,77.19,77.06,77.22,76.94,,,,,,,,,,,,,,,,,0,0
"2015-06-25 19:45:00",0,0,0,94.07,93.71,94.11,93.04,,,,,,,62.99,68.78,79.17,62.98,,64.87,66.69,70.21,60.59,,74.26,68.27,77.59,59.63,,,,,,,,,,,,,,,,,0,0
"2015-06-25 20:00:00",0,0,0,94.36,94.14,94.38,93.89,,,,,,,63.13,68.20,79.25,62.65,,60.98,65.59,70.26,60.94,,77.43,76.40,77.43,74.19,,,,,,,,,,,,,,,,,0,0
"2015-06-25 20:15:00",0,0,0,94.60,94.31,94.76,93.78,,,,,,,63.80,68.03,78.99,62.65,,69.03,66.45,70.41,60.96,,77.84,77.65,77.88,77.37,,,,,,,,,,,,,,,,,0,0
"2015-06-25 20:30:00",0,0,0,95.41,95.15,95.61,94.44,,,,,,,64.94,68.39,78.24,63.05,,69.08,66.81,70.86,61.00,,74.38,69.90,78.28,61.20,,,,,,,,,,,,,,,,,0,0
"2015-06-25 20:45:00",0,0,0,96.90,95.75,96.93,95.17,,,,,,,65.38,67.92,78.52,63.10,,65.12,66.78,70.84,61.40,,78.18,76.91,78.20,74.42,,,,,,,,,,,,,,,,,0,0
"2015-06-25 21:00:00",0,0,0,96.34,97.01,97.43,96.27,,,,,,,66.93,67.23,76.98,62.75,,61.70,65.86,71.37,61.37,,66.21,73.34,78.63,62.03,,,,,,,,,,,,,,,,,0,0
"2015-06-25 21:15:00",0,0,0,96.90,96.37,96.95,95.69,,,,,,,73.80,66.83,77.47,62.75,,69.63,66.23,70.82,61.39,,78.14,75.03,78.19,66.21,,,,,,,,,,,,,,,,,0,0
"2015-06-25 21:30:00",0,0,0,97.98,97.20,98.05,96.15,,,,,,,75.05,66.08,75.07,62.37,,69.92,67.00,71.18,61.58,,70.58,73.00,78.70,62.08,,,,,,,,,,,,,,,,,0,0
"2015-06-25 21:45:00",0,0,0,98.62,98.74,99.42,97.95,,,,,,,68.33,66.12,77.10,62.66,,69.17,67.12,71.37,61.85,,78.67,76.46,78.67,70.60,,,,,,,,,,,,,,,,,0,0
"2015-06-25 22:00:00",0,0,0,100.14,99.17,100.22,98.47,,,,,,,62.62,67.09,77.55,62.57,,64.03,66.78,72.42,62.00,,74.40,71.84,79.01,62.08,,,,,,,,,,,,,,,,,0,0
"2015-06-25 22:15:00",0,0,0,100.61,100.05,100.87,99.37,,,,,,,63.21,67.48,77.50,62.46,,62.37,66.02,71.43,61.80,,79.11,77.60,79.12,74.40,,,,,,,,,,,,,,,,,0,0
"2015-06-25 22:30:00",0,0,0,107.51,102.81,107.52,100.49,,,,,,,64.42,67.15,76.73,62.29,,69.75,66.53,72.75,61.91,,76.19,70.43,79.20,61.42,,,,,,,,,,,,,,,,,0,0
