time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-25 22:45:00",0,0,0,110.85,109.68,110.92,107.49,,,,,,,70.91,66.91,78.45,63.02,,70.26,67.02,71.69,62.25,,79.32,78.34,79.34,76.10,,,,,,,,,,,,,,,,,0,0
"2015-06-25 23:00:00",0,0,0,111.45,110.16,111.50,108.22,,,,,,,71.76,64.61,71.71,62.39,,71.20,67.26,72.41,62.03,,77.04,71.01,79.51,61.73,,,,,,,,,,,,,,,,,0,0
"2015-06-25 23:15:00",0,0,0,112.54,112.38,113.31,111.40,,,,,,,62.91,67.21,78.48,62.87,,66.52,67.15,72.24,62.38,,74.18,78.63,79.59,74.21,,,,,,,,,,,,,,,,,0,0
"2015-06-25 23:30:00",0,0,0,112.25,112.52,112.92,112.09,,,,,,,64.29,67.05,77.41,62.34,,63.94,66.51,72.10,62.10,,78.49,71.40,78.49,62.08,,,,,,,,,,,,,,,,,0,0
"2015-06-25 23:45:00",0,0,0,114.20,112.42,114.44,110.40,,,,,,,62.32,63.18,64.32,62.28,,62.81,66.30,72.10,62.31,,61.49,74.69,79.55,61.46,,,,,,,,,,,,,,,,,0,0
"2015-06-26 00:00:00",0,0,0,114.02,113.76,114.58,113.13,,,,,,,64.09,67.12,75.56,62.30,,62.52,66.18,71.93,62.05,,78.74,73.95,78.75,61.55,,,,,,,,,,,,,,,,,0,0
"2015-06-26 00:15:00",0,0,0,114.96,114.83,115.33,113.97,,,,,,,63.28,63.69,64.28,62.85,,70.33,66.66,72.15,62.13,,69.32,72.63,79.30,61.47,,,,,,,,,,,,,,,,,0,0
"2015-06-26 00:30:00",0,0,0,115.27,114.84,115.53,114.40,,,,,,,64.14,66.87,74.37,63.16,,70.23,66.89,71.91,62.21,,78.79,75.95,78.81,69.32,,,,,,,,,,,,,,,,,0,0
"2015-06-26 00:45:00",0,0,0,115.06,115.60,116.05,114.95,,,,,,,71.73,64.12,71.76,62.46,,70.62,66.93,71.96,61.96,,73.14,71.34,79.22,61.20,,,,,,,,,,,,,,,,,0,0
"2015-06-26 01:00:00",0,0,0,110.64,114.44,115.38,110.64,,,,,,,63.19,66.24,75.44,63.23,,66.76,66.90,71.76,62.22,,78.59,76.79,78.65,73.14,,,,,,,,,,,,,,,,,0,0
"2015-06-26 01:15:00",0,0,0,111.90,111.27,112.05,109.86,,,,,,,64.77,66.14,75.56,62.05,,63.20,66.15,71.37,61.60,,75.57,70.28,78.73,60.46,,,,,,,,,,,,,,,,,0,0
"2015-06-26 01:30:00",0,0,0,105.13,109.90,112.03,105.11,,,,,,,71.47,63.75,71.45,62.21,,61.40,65.56,71.03,61.29,,78.24,77.36,78.25,75.54,,,,,,,,,,,,,,,,,0,0
"2015-06-26 01:45:00",0,0,0,107.38,105.57,107.46,103.60,,,,,,,62.85,65.10,75.85,61.57,,68.73,66.40,72.24,61.00,,75.86,69.67,78.25,60.23,,,,,,,,,,,,,,,,,0,0
