time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-26 02:00:00",0,0,0,105.53,107.00,107.84,105.52,,,,,,,61.60,66.04,76.20,61.50,,68.98,66.43,70.31,60.80,,77.45,76.99,77.49,75.85,,,,,,,,,,,,,,,,,0,0
"2015-06-26 02:15:00",0,0,0,102.25,103.89,105.64,102.27,,,,,,,61.71,66.10,76.14,61.24,,63.36,65.91,70.07,60.40,,77.27,77.43,77.57,77.23,,,,,,,,,,,,,,,,,0,0
"2015-06-26 02:30:00",0,0,0,96.05,99.01,102.32,95.98,,,,,,,61.02,64.92,73.98,60.28,,59.47,64.42,69.19,59.28,,53.20,58.70,77.41,53.12,,,,,,,,,,,,,,,,,0,0
"2015-06-26 02:45:00",0,0,0,91.73,93.87,96.08,91.67,,,,,,,60.59,65.09,74.54,59.97,,67.06,64.80,68.30,58.72,,51.95,52.58,53.20,51.90,,,,,,,,,,,,,,,,,0,0
"2015-06-26 03:00:00",0,0,0,87.73,89.54,91.72,87.70,,,,,,,61.18,65.58,75.05,59.26,,67.22,65.16,67.95,58.50,,50.93,51.28,51.99,50.89,,,,,,,,,,,,,,,,,0,0
"2015-06-26 03:15:00",0,0,0,85.13,86.30,87.79,85.07,,,,,,,60.40,65.10,74.20,59.47,,60.55,64.39,67.72,57.96,,50.24,50.58,51.03,50.22,,,,,,,,,,,,,,,,,0,0
"2015-06-26 03:30:00",0,0,0,82.94,83.99,85.11,82.94,,,,,,,60.18,65.06,73.96,59.00,,65.19,63.14,67.24,57.81,,49.63,49.82,50.30,49.58,,,,,,,,,,,,,,,,,0,0
"2015-06-26 03:45:00",0,0,0,81.07,82.00,82.99,81.04,,,,,,,59.54,65.14,73.09,59.50,,66.99,64.84,67.72,58.38,,51.12,55.51,61.81,49.58,,,,,,,,,,,,,,,,,0,0
"2015-06-26 04:00:00",0,0,0,79.61,80.35,81.13,79.58,,,,,,,60.52,65.32,72.87,59.31,,64.83,64.73,68.05,58.64,,55.92,49.32,55.93,48.48,,,,,,,,,,,,,,,,,0,0
"2015-06-26 04:15:00",0,0,0,78.20,78.94,79.66,78.16,,,,,,,62.90,64.87,72.65,58.72,,59.35,62.95,67.31,58.04,,48.07,53.96,60.70,48.07,,,,,,,,,,,,,,,,,0,0
"2015-06-26 04:30:00",0,0,0,76.82,77.48,78.24,76.80,,,,,,,64.90,65.38,72.75,59.07,,64.30,63.48,66.68,57.72,,58.61,53.25,60.95,47.49,,,,,,,,,,,,,,,,,0,0
"2015-06-26 04:45:00",0,0,0,76.36,76.49,76.86,76.27,,,,,,,64.74,65.99,73.87,58.85,,64.89,63.80,66.93,57.74,,58.00,50.74,58.54,46.69,,,,,,,,,,,,,,,,,0,0
"2015-06-26 05:00:00",0,0,0,75.69,75.89,76.38,75.55,,,,,,,64.52,65.85,73.87,58.46,,59.80,63.99,67.61,57.43,,46.54,53.52,62.09,46.54,,,,,,,,,,,,,,,,,0,0
