time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-06-26 05:15:00",0,0,0,75.16,75.52,75.82,75.11,,,,,,,64.93,66.13,73.92,58.92,,64.20,62.33,65.20,57.44,,63.39,58.16,65.07,46.32,,,,,,,,,,,,,,,,,0,0
"2015-06-26 05:30:00",0,0,0,76.21,75.59,76.24,75.11,,,,,,,64.50,66.64,74.40,58.84,,64.57,64.06,67.48,57.54,,55.11,51.80,63.62,46.59,,,,,,,,,,,,,,,,,0,0
"2015-06-26 05:45:00",0,0,0,74.83,75.61,76.28,74.77,,,,,,,62.21,66.92,74.59,58.42,,65.10,63.30,65.51,57.09,,64.98,62.89,65.49,55.14,,,,,,,,,,,,,,,,,0,0
"2015-06-26 06:00:00",0,0,0,74.26,74.37,74.83,74.17,,,,,,,60.47,66.49,74.47,58.29,,58.17,62.47,65.43,57.05,,68.33,66.81,68.35,64.96,,,,,,,,,,,,,,,,,0,0
"2015-06-26 06:15:00",0,0,0,73.79,74.04,74.24,73.73,,,,,,,58.37,66.96,74.28,58.40,,63.73,62.96,65.44,56.74,,70.82,70.77,72.66,68.30,,,,,,,,,,,,,,,,,0,0
"2015-06-26 06:30:00",0,0,0,72.42,73.01,73.83,72.41,,,,,,,60.24,67.35,74.04,58.40,,64.36,63.02,65.21,56.74,,71.70,71.26,71.76,70.72,,,,,,,,,,,,,,,,,0,0
"2015-06-26 06:45:00",0,0,0,71.95,72.29,72.61,71.92,,,,,,,62.78,66.60,74.04,58.04,,62.70,63.19,65.21,56.69,,72.52,72.75,73.67,71.65,,,,,,,,,,,,,,,,,0,0
"2015-06-26 07:00:00",0,0,0,71.12,71.56,71.99,71.07,,,,,,,67.37,67.02,74.30,58.33,,62.81,62.37,65.36,56.97,,72.85,72.65,72.90,72.44,,,,,,,,,,,,,,,,,0,0
"2015-06-26 07:15:00",0,0,0,70.12,70.62,71.15,70.06,,,,,,,73.52,65.99,73.53,57.81,,63.67,63.02,65.23,56.57,,73.31,73.81,75.21,72.71,,,,,,,,,,,,,,,,,0,0
"2015-06-26 07:30:00",0,0,0,69.31,69.59,70.14,69.26,,,,,,,72.17,65.50,73.60,57.47,,64.24,62.94,65.00,56.53,,73.22,73.21,73.46,73.09,,,,,,,,,,,,,,,,,0,0
"2015-06-26 07:45:00",0,0,0,68.68,69.07,69.38,68.64,,,,,,,70.72,66.11,73.53,57.90,,62.88,63.10,64.99,56.68,,73.92,73.90,75.08,73.14,,,,,,,,,,,,,,,,,0,0
"2015-06-26 08:00:00",0,0,0,68.42,68.61,68.93,68.37,,,,,,,65.60,66.17,73.55,57.42,,60.24,61.87,64.89,56.39,,73.56,73.63,73.94,73.46,,,,,,,,,,,,,,,,,0,0
"2015-06-26 08:15:00",0,0,0,68.37,68.57,68.78,68.33,,,,,,,63.52,67.06,73.50,58.27,,63.50,62.60,64.80,56.47,,74.52,73.77,74.57,73.55,,,,,,,,,,,,,,,,,0,0
"2015-06-26 08:30:00",0,0,0,67.87,68.26,68.56,67.86,,,,,,,57.18,67.64,73.29,57.24,,63.56,62.70,64.87,56.23,,73.77,73.95,74.55,73.70,,,,,,,,,,,,,,,,,0,0
